"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"43";"1585";"John Stewart Reid.";"Londres";"Uma machina destinada a fabricação do arame farpado";"Idem";"Idem."
"41";"1583";"Feliciano Pires de Abreu Sodré";"Rio de Janeiro.";"Nova applicação do taquarussú e outros bambús á fabricação de vassouras, escovas e outros artigos semelhantes";"Idem";"Idem."
"43";"1587";"Eugenio Elmo";"Estado de s. Paulo";"Um apparelho impulsor para bonds.";"Idem";"Idem."
"46";"1588";"Dr. João James Marchant";"Idem";"Um estojo aperfeiçoado, denominado- Den- tista ein casa";"12 de maio";"Idem."
"47";"1580";"José Manfredi";"Idem";"Uma machina de escolher café, denominada - Catador Manfredi.";"Idem";"Idem."
"48";"1590";"D. Gregorio Guerreiro Laplaza.";"Hespanha";"Uma machina de segar com força.";"Idem";"Idem."
"40";"1591";"Henrique Mielck.";"Capital Federal.";"Novo processo de esterilisação de liquidos";"17 de maio";"Idem."
"50";"15.2";"Zanello Santo";"Estado de S. Paulo";"Um novo ventilador(desciscador para beneficiar o café, denominado - Ventilador Zanello Santo";"1de";"Idem."
"51";"1593";"John Drennan Curtis.";"Worcester, Estados Unidos da America do Norte.";"Melhoramento do arame farpado";"Idem";"Idem."
"52";"15)4";"Albert Legg e Charles W. Weston.";"Milton, Estados Unidos da America do Norte";"Melhoramento em machinas de costura.";"Idem";"Idem."
"53";"1535";"Dr. Carlos Cianconi";"Capital Federal.";"Novo systema de forno continuo para a cal.";"Idem";"Idem."
"54";"1593";"Ricardo Guimarães Filho.";"Estado de s. Paulo";"Um fogão economico denominado Calpe, para cozinhar";"27 de maio";"Ide.n."
"55";"1597";"Elihu Thomson";"Swampsc ott, Estados Unidos da America do Norte.";"Para-raios e protectores contra descargas.";"5 de junho";"Idem."
"56";"1598";"Elihu Thomson";"Ide.n";"Para-raios";"Idem";"Idem."
"57";"1590";"Odilon Baltzar Hannibal Hanneborg";"Urskong, Noruega";"Uma machina de cavar e assentar canos de tubos de drainage.";"Idem";"Idem."
"58";"1600";"Companhia Industrial do Brazil";"Capital Federal.";"Um systema aperfeiçoado de ferraduras deno- minado - Ferradura Progress).";"Iden";"Idem."
"59";"1601";"Manoel Luiz de Mesquita.";"Idem";"Lavadeira economica domestica.";"Idem";"Idem."
