"";"N";"CONCESSIONARIO";"RESIDENCIA";"OBJECTO";"DECRETO";"DURAÇÃO"
"104";"2.273";"Alberto Cushing Cuhore e George Owen Squire";"Estados Unidos da America do Norte";"A perfeiçoamentos em apparelho para manejar correntes electricas para transmittir signaes ou mensagem";"2 de junho";"Idem."
"105";"2.276";"Martin Bernhard Zerener.";"Midlees (Inglaterra).";"Aperfeiçoamentos na precipitação de metaes pre- ciosos das suas soluções cyanogeneas.";"Idem";"Idem."
"106";"1.697bis";"Bernhard Witenz, Frederico Bender. Hen- rique Mielck e Augusto Eugemio de Le- mos";"Capital Federal.";"Melhoramentos introduzidos em sua invenção de novo systema de calçamento, privilegiada pela patente n. 1.697, de 23 de maio de 1894";"7 de junho";"Emquanto vigorar a patente n. 1.697, de 23 de maio de 1897."
"107";"2,277";"Walter Thomas Newman.";"Toronto (Canadá)";"Processo aperfeiçoado de separar methes de seus minereos";"9 de junho";"15 annos."
"103";"2.278";"Hans Schleier";"Bahia.";"Processo de fabricação de cal hydraulica";"Idem";"Idem."
"109";"2.279";"Wiener & Lenoir";"Capital Federal.";"Syphão aperfeiçoado para cerveja.";"Idem";"Idem."
"110";"2.280";"Alvaro Botelho, Gantier & Comp";"s. Paulo.";"Novo processo de torneação a esmeril";"Idem";"Idem."
"111";"2.281";"Anton Rakye";"Allemanha";"Aperfeiçoamentos em apparelhos perfuradores para furos profandos";"Idem";"Idem."
"112";"2.282";"Michael Karnick";"Varsovia (Russia).";"Apparelho para salvação de pessoas enterradas vivas,";"ídem";"Idem."
"113";"2.283";"John Armstrong";"Londres";"Aperfeiçoamentos no tratamento de minereos e minereos complexos e nos fôrnos para esse empregados";"Idem";"Idem."
"114";"2.284";"David Grove.";"Berlim";"Aperfeiçoamentos em fórnos moveis de padaria.";"Idem";"Idem."
"115";"2 285";"James Albert Bonsark e Hugo Bilgram";"Philadelphia.";"Mecanismo de alimentação automatica para enchi- mento de cigarros";"Idem";"Idem."
"116";"2.286";"Francisco Silverio de Oliveira";"Capital Federal";"Processo de refinação de sal marinho, denomi- nado- sal de cocção alimentar";"11 de junho";"Idem."
"117";"2.237";"Luiz Corrêa de Brito e Edward Johnson.";"Recife.";"Melhoramento em fornalhas proprias para quei- mar bagaço verde";"11 de junho.";"15 annos."
"118";"2.288";"Francisco Couto da Silva";"Capital Federal";"Formicida denominado--Couto da Silva.";"14 de junho.";"Idem."
"119";"2.289";"Francisco Couto da Silva";"Idem";"Apparelho para destruição da formiga saúva";"Idem";"Idem."
"120";"2.290";"Auguste Miranda";"Idem";"Systema de figuras automaticas para exhibição scenica.";"15 de junho.";"Idem."
"121";"2.291";"João F. Blakshy Cavenos";"Idem";"Novo apparelho para distillação de aguardente ou alcools inodoros denominado-Alambique De- purador.";"22 de junho.";"Idem."
"122";"2.292";"Ramon Alarcon.";"Porto Alegre";"Processo de publicidade consistente na interca- lação de annuncios e reclames entre folhas dos cadernos em uso no commercio.";"Idem";"Idem."
"123";"2.293";"Theodor Köhler.";"Limback (Allemanha)";"Machina para fabricar telhas de cimento.";"25 de junho.";"Idem."
"124";"2.294";"Albino Lybaert.";"s. Paulo";"Alambique denominado-Alambique systema Albino Lybaert.";"Idem";"Idem."
"125";"2.295";"Costa, Pires & Comp.";"Capital Federal";"Novo apparelho para producção de gaz acetylene.";"Idem";"Idem."
"126";"2.293";"Antonio Mendes Botelho.";"Cintra (Portugal).";"Aperfeiçoamentos em fogareiros para cozinha";"Idem";"Idem."
"127";"2.297";"Frederick Augustus Knapp e George Goolwin";"Toronto (Canadá).";"Aperfeiçoamentos em navios de grande velo- cidade";"Idem";"Idem."
"128";"2.298";"Paul Lochmann.";"Leipzig (Allenanha).";"A perfeiçoamentos em recipientes combinados para transporte e conservação dos liquidos.";"Idem";"Idem."
"129";"2.299";"Geremia Giordano";"Turim (Italia)";"Garrafas especiaes com mecanismo interior que não podem ser enchidas sinão uma vez";"23 de junho";"Idem."
"130";"2.300";"Augusto Matitsch";"Vienna d'Austria";"Tear para fabricação de verdadeiras rendas de bilros";"Idem";"Idem."
"131";"2.301";"Dr. Pasquale Ambrosino.";"Acerno (Italia).";"Reservatorio refrigerante";"Idem";"Idem."
"132";"2.302";"Henri Stephan";"Capital Federal";"Novo gerador de gaz acetylene";"26 de junho";"Idem."
"133";"2.303";"Manoel Maximino Nogueira Jaguaribe";"Idem";"Forno electrico de fundo movel para o fabrico de carbureto de calcio denominado-Forno Jagua- ribe";"Idem";"Idem."
"134";"2.304";"Dr. Joaquim Raymundo da Cunha Lobo e Ivon Nolf Filho";"Batataes (S. Paulo)";"Processo e dispositivo para producção de gaz de illuminação para carboração do ar, systema Kohler";"28 de junho";"Idem."
"135";"2.305";"Bento Xavier.";"Capital Federal";"Insecticida fertilisador";"1 de julho";"Idem."
"136";"2.306";"Hubert Meziat e José Maria Bernes.";"Idem";"Novo systema de apparelho automatico para es- goto, denominado-Syphão Meziat";"Idem";"Idem."
"137";"2.307";"Alfredo Ludolf e Americo Ludolf.";"Idem";"Novo systema defôrma para fabricação de telhas.";"5 de julho";"Idem."
"138";"2.308";"Ernesto Betim Paes Leme";"Idem";"Gazogeneo encinerador, denominado-Cario";"6 de julho";"Idem."
"133";"2.119bis";"George Gruber";"S. Paulo";"Melhoramentos introduzidos em sua invenção de applicação do pó do talco ao tratamento ou be- neficiamento do café, privilegiado pela patente n. 2.119, de 10 de setembro de 1896.";"7 de julho";"Emquanto vigorar a patente n. 2.119, de desetembro 1896."
"140";"2.300";"Dr. Charles Berthaud";"Cambuquira (Minas Geraes).";"Processo aperfeiçoado de extracção do ouro de qualquer minereo.";"Idem";"15 annos."
"141";"2.310";"Edward Makim Junior";"Manchester";"Aperfeiçoamentos em geradores e sobre aquece- dores de vapores e aquecedores de agua.";"8 de julho";"Idem."
"142";"2.311";"João Pinheiro Salinos";"Porto Alegre";"Machinismos para o fabrico de crina vegetal";"Idem";"Idem."
"143";"2.212";"Ernest Charles Dealtry";"Capital Federal";"Apparelho aperfeiçoado de fabricar caixinhas ou cartuchos de papel";"16 de julho";"Idem."
"144";"2.313";"Ernest Charles Dealtry";"Idem";"Apparelho de fabricar caixinhas ou cartuchos de papel.";"Idem";"Idem."
"145";"2.314";"Marcus Mason";"New-York";"Machina de classificar ou aparar café.";"16 de julho";"15 annos."
"146";"2.315";"Marcus Mason";"Idem";"Descascador de café";"Idem";"Idem."
"147";"2.316";"Marcus Mason";"Idem";"Machina de brunir café";"Idem";"Idem."
"148";"2.317";"William Herbert Wiggin.";"Worcester (E. U. da Ame- rica do Norte)";"Esquentador para machina de seccar café.";"21 de julho.";"Idem."
"149";"2.318";"Robert Conrad.";"Vienna d'Austria";"Machina ou motor a gaz, aperfeiçoado.";"Idem";"Idem."
"150";"2.319";"Beda Berker.";"Enpen (Allemanha)";"Aperfeiçoamentos na extracção dos metaes pre- ciosos dos minereos que os conteem e appare- lhos para esse fim.";"22 de julho";"Idem."
"151";"2.320";"Elie Grosset.";"Capital Federal.";"Automato cyclista actuado mecanicamente de um posto fixo";"Idem";"Idem."
"152";"2.321";"Adolf Schmidt";"Cassel (Allemanha)";"Novo processo de fabricação de graxa, colla, es- trume, etc., por meio de materias animaes e apparelho para esse fim";"Idem";"Idem."
"153";"2.322";"Deutsch Bierfas Automaten Gesellschaft, G. M. c. H.";"Lubek (Idem)";"Novo deposito transporte de cerveja encorporado em parte a um apparelho pneumatico de acido carbonico";"Idem";"Idem."
"154";"2.323";"Santiago Lezan.";"Capital Federal";"Carteira para cigarros e phosphoros.";"Idem";"Idem."
"155";"2.32%";"Santiago Lezan.";"Idem";"Carteira para cigarros e phosphoros.";"Idem";"Idem."
"156";"2.325";"Reginaldo Guedes Barreto";"Bahia";"Machina denominada-Motor continuo universal.";"23 de julho";"Idem."
"157";"2.326";"Possidonio de Carvalho Moreira e Carlos Accioli de Azevedo Bastos";"Capital Federal";"Novo systema de velocipedes electricos.";"Idem";"Idem."
"158";"2.327";"Tiburcio Furtado de Mendonça";"Idem";"Tijolo destinado á construcção de casas de qual- quer especie, denominado - Modelado";"29 de julho";"Idem."
"159";"2.328";"Maria Benno von Donnat";"Berlim (Allemanha)";"Novo processo de preparar cacáo, chocolate e materias semelhantes albuminosas";"Idem";"Idem."
"160";"2.329";"Madame Roza Kanitz.";"Capita Federal.";"Novo sabonete, denominado - Sabonete de fel.";"Idem";"Idem."
"161";"2.330";"Dr. Charles Berthaud e William Newland Junior";"Cambuquira (Minas Geraes).";"Applicação nova das argillas como meio de secca- mento, conservação e transporte do café";"Idem";"Idem."
"162";"2.331";"David Levy";"Capital Federal";"Systema aperfeiçoado de pausinhos para segurar embrulhos ou pequenos volumes, denominado - Porte-paquet";"Idem";"Idem."
"163";"2.332";"Pedro Alfeld.";"Juiz de Fora";"Machina de beneficiar café.";"Idem";"Idem."
"164";"2.333";"Companhia Maskin forretninger Interes- sesest Rabet";"Stavanger (Noruega).";"Machina para imprimir sobre objetos cylindricos.";"Idem";"Idem."
"165";"2.334";"Joseph Tombeur.";"Bruxellas.";"Novo systema para extineção de incendios, deno- minado - Systema para fogo Tombeur e appa- relhos para esse fim";"Idem";"Idem."
"166";"2.335";"Juan Craveir.";"Buenos-Ayres";"Processo para substituir completamente o em- prego do phosphoro na fabricação dos phos- phoros";"Idem";"Idem."
"167";"2.336";"Henry Lédier";"Couflans (França).";"Apparelho gerador do gaz acyteline.";"Idem";"Idem."
"168";"2.337";"J. Luiz de Freitas.";"S. Paulo.";"Machina para fabricar saccos de papel.";"Idem";"Idem."
"169";"2.338";"Dr. Climaco Barbosa.";"Capital Federal";"Applicação nova da palmeira e seu fructo coco da Bahia a usos industriaes";"2 de agosto";"Idem."
"170";"2.339";"Delphin Silvain Parrain";"S. Paulo.";"Systema de freio hydraulico";"5 de agosto";"Idem."
"171";"2.340";"Verissimo Barbosa de Souza";"Capital Federal";"Machina geradora de força motriz por meio dos gazes atmosphericos";"Idem";"Idem."
"172";"2.341";"Eduardo José de Souza Proença";"Idem";"Apparelho denominado - Gazometro do Fazen- deiro - destinado á producção, reserva e dis- tribuição do gaz acetylene. simples ou assimilado com qualquer outro gaz illuminante.";"Idem";"Idem."
"173";"2.342";"Padre José Armani,";"s. Paulo.";"Uma telha denominada - Economica.";"Idem";"Idem."
"174";"2.313";"Antonio Marechal";"Buenos-Ayres";"Apparelho hydraulico para a producção auto- matica e gradual do gaz acetylene, denominado -Gaz Luz Argentina";"7 de agosto";"Emquanto vigo- rar a patente concedida por cinco annos pelo Governo Argentino em 19 de janeiro de 1897."
"175";"2.341";"Empreza Industrial Brazlieira";"Capital Federal";"Processo especial destinado a formas modeladas em geral e especialmente ás de fabricação de telhas, modelo francez.";"13 de agosto";"15 annos."
"176";"2.345";"Dr. Manoel Monte Godinho.";"Nictheroy";"Preparado medicinal, denominado - Canforina, como cicatrizante e contra a dôr";"Idem";"Idem."
"177";"2.316";"Adolpho Vasconcellos & Comp.";"Capital Federal";"Preparado denominado - Cesalpinia Opodeldock.";"Idem";"Idem."
"178";"2.347";"Antonio da Silva Barros e Presciliano Sa- bino Pessoa de Mello";"Idem";"Farinha de hervilha";"Idem";"Idem"
"179";"2.330 bis";"Dr. Charle Berthand e Willian Newlands Junior";"Idem";"Melhoramentos introduzidos em sua invenção de applicação nova das argillas como meio de sec- camento, conservação e transporte do café, pri- vilegiado pela patente n. 2.330, de 29 de julho de 1897";"17 de agosto.";"Emquanto vigorar a patente n. 2.330, de 29 de julho de 1897."
"180";"2.348";"Madame Bascom Pinto";"Idem";"Novo collete aperfeiçoado para senhoras";"19 de agosto.";"15 annos."
"181";"2.319";"Henry Low Webster";"Republica Sul Africana.";"Aperfeiçoamentos em brocas annullares de dia- mante, em parte applicaveis a outras ferra- mentas ou machinas destinadas a cortar pedras ou materias analogas";"Idem";"Idem."
"182";"2.350";"Mario de Noronha Motta";"Capital Federal";"Apparelho denominado - Indicador Brazil, para indicar ruas e numeros, applicavel nos bonds";"Idem";"Idem."
"183";"2.351";"Adolpho Mattos da Costa";"Idem";"Apparelho denomirado - o Signal";"Idem";"Idem."
"184";"2.352";"Etienne Ballet, Antoine Léon e François Barbin";"Pariz";"Machina de pregar solas em calçado por meio de garras não apparentes, formando un todo semelhante ao cosido";"Idem";"Idem."
"185";"2.353";"Christiano Ottoni Vieira.";"Capital Federal";"Rodas de madeira curvada para carros, car- roças, carrinhos e quaesquer outros vehi- culos.";"[dem";"Idem."
"186";"2.351";"Alfredo Casemiro de Souza Bastos";"Idem";"Processo especial destinado a utilisar os arte- factos imprestaveis e retalhos de qualquer metal na produção de novos productos deri- vados desses metaes";"Idem";"Idem."
"187";"2.355";"Alexandre Sterza";"Italia";"Gazogeneo automatico";"26 de agosto";"Idem."
"183";"2.356";"P. Bouré.";"Pariz";"Systema de engate (enclanchement) por meio de fechaduras.";"Idem";"Idem."
"189";"2.337";"Mariti & Alimonda.";"S. Paulo.";"Processo rapido de curtir couros.";"14 de setembro.";"Idem."
"190";"2.358";"Aristides Kouri.";"Espirito Santo.";"Relogio astronomico marcando dias, mezes, ho- ras, etc.";"Idem";"Idim."
"191";"2.359";"Christiano Ottoni Vieira.";"Capital Federal";"Nova estufa de seccar pelo ar quente";"Idem";"Idem."
"192";"2.330";"João Vasques de Freixas";"Idem";"Apparelho para a applicação do gaz extrahido do carbureto de calcio, denominado-Lampada Gazometro.";"15 de setembro.";"Idem."
"193";"2.361";"Lawrence du Salusse";"Rio de Janeiro.";"Machina denominada - A Veloz, para empacotar cigarros em carteirinhas";"Idem";"Idem."
"194";"2.201 bis";"Graça Pereira & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção de caixa dupla para cigarros e phosphoros denominada- Nec plus ultra, privilegiada pela patente n. 2.020, de 13 de março de 1896.";"16 de setembro.";"Emquanto vigo- rar a patente n. 2.020, de 13 de março de 1896."
"195";"2.362";"Joaquim Gomes Jardim";"Rio de Janeiro.";"Novo systema de tratamento do capim, canna e outros vegetaes, aproveitando as materias or- ganicas como forragem e outros fins.";"Idem";"15 annos."
"196";"2.363";"Manoel Joaquim da Silva";"Capital Federal";"Nova cera para sapateiro, denominada-- Cera estrella.";"Idem";"Idem."
"197";"2.364";"George Crawforn Elliot e Walter Platt Hatch";"New York";"A perfeiçoamentos em machinas de escrever";"17 de setembro.";"Idem."
"198";"2.335";"A. Bruère & Comp.";"s. Paulo.";"A pparelho para a fabricação industrial do hypo- sulfito de cal composto.";"Idem";"Idem."
"199";"2.366";"Carl A. Dick.";"Capital Federal";"Preparado denominado-Cortim Extracto Brazil, para ser empregado na fabricação do couro abreviando o processo do curtimento.";"17 de setembro.";"15 annos."
"200";"2.367";"Sidney Pratt Blackmore, Richard Oliver Gardner Drummond e Edward John Way.";"Republica Sul Americana.";"Aperfeiçoamentos em brocas de furar rochas e brocas analogas.";"Idem";"Idem."
"201";"2.368";"Samue] Alves de Azevedo";"Capital Federal";"Applicação aperfeiçoada do sal grosso ao serviço domestico";"18 de setembro.";"Idem."
"202";"2.369";"Jules Braun";"Idem";"Novo systema de casas de madeira.";"Idem";"Idem."
"203";"2.370";"Lopes, Sá & Comp.";"Idem";"Caixa para phosphoros, denominada-Aurora";"Idem";"Idem"
"204";"2.371";"Lopes, Sá & Comp.";"Idem";"Nova carteira para cigarros";"Idem";"Idem."
"205";"2.372";"Dr. Octavio Pacheco e Silva";"S. Paulo.";"Nova telha denominada o. P. E. S";"14 de outubro.";"Idem."
"203";"2.373";"Capitão João Paulo B. de Carvalho.";"Capital Federal";"Systema de carteira para uso das escolas deno- minada - Carteira Progresso";"Idem";"Idem."
"207";"2.374";"A. Bruérs & Comp.";"S. Paulo.";"Processo de descoloração e purificação dos caldos de canna";"Idem";"Idem."
"208";"2.375";"Gesellschaft fur stoss feste Gluhhet frenner Patent Fritz Gesellschaft mit bescherun Rten Huftring";"Berlim";"Aperfeiçoamentos e.n combustores para luz in- candescente";"Idem";"Idem."
"209";"2.376";"Henrique Bastos & Comp.";"Capital Federal";"Carteira aperfeiçoada para cigarros.";"Idem";"Idem."
"210";"2.377";"Dr. Ugo Nery";"s. Paulo.";"Novo systema de encanamento";"Idem";"Idem."
