"";"N";"CONCESSIONARIO";"RESIDENCIA";"OBJECTO";"DECRETO";"DURAÇÃO"
"262";"2.425";"Dr. Luiz Carlos Duque-Estrada";"Capital Federal.";"Producto denominado - Sabão chloro-naphto- phenicado, destinado á lavagem de roupas, soa- lhos, etc.";"Idem";"Idem."
"263";"2.426";"Alexandre Gordon";"Australia.";"Aperfeiçoamentos em apparelhos para mergulha- dores.";"2 de dezembro";"Idem."
"264";"2.427";"Izidoro Narde'li e Ganbaldi Coccapieller";"S. Paulo.";"Novo systema de accendedores de fogo, denomi- nado - Accen le fogo rapido e economico";"Idem";"Idem."
"265";"2.428";"Antonio José Luiz Pereira e Cesario Gomes de Oliveira.";"Capital Federal.";"Talão destinado à cobrança de passagens de bonds";"Idem";"Idem."
"266";"2.429";"Carlos Poma";"Idem";"Novo systema de gazogeneo destinado á fabri- cação automatica do gaz acetylene, denomi- nado : Lucifer lucem fert.";"Idem";"Idem."
"267";"2.430";"Manoel Antonio Galvão";"Recife.";"Fornalha destinada a queimar combustiveis hu- midos";"Idem";"Idem."
"268";"2.431";"Gustavo Lebrum.";"Pariz";"Systema de apparelho para a producção de gaz acetylene";"IO de dezembro.";"Idem."
"239";"2.432";"William Samuel Colwell";"Chicago";"A perfeiçoamento em machinas rotativas.";"Idem";"Idem."
"270";"2.433";"Michel Darmancier e Aimé Dalzon";"França";"Aperfeiçoamentos em reparos sobre rodas.";"Idem";"Idem."
"271";"2.434";"Francisco Bovio.";"Buenos-Ayres";"Bomba rotativa e um motor de agua combinados.";"Idem";"Idem."
"272";"2.435";"Compagnie Générale pour l'Exploitation des machines à fabriquer les cigares (brevets Jean Reuse)";"Bruxellas.";"Aperfeiçoamentos nas machinas de fazer charutos.";"Idem";"Idem."
"273";"2.436";"Compagnie Générale por l'Exploitation des machines d fabriquer les cigares (brevets Jean Reuse)";"1dem";"Aperfeiçoamento nas machinas de fabricar cha- rutos.";"Idem";"Idem."
"274";"2,437";"Auguste ColleteTifho e Auguste Boidim.";"França";"Processos para extracção do alcool pela saccha- rificação e fermentação pelas mucedinias";"1dem";"Idem."
"275";"2.438";"Isidoro Nardelli.";"s. Paulo.";"Aapparelho a ,gaz denominado : Gaz electrico para todos.";"17 de dezembro.";"Idem."
"276";"2.439";"Isidoro Nardelli.";"Idem";"Movimento automatico productor de ar, deno- minado : Movimento automatico Nardelli";"Idem";"Idem."
"277";"2.440";"Charles Joseph Lacost";"Bruxellas.";"Machina de fabricar charutos.";"18 de dezembro.";"Idem."
"278";"2.441";"Henry Simeoe e Frederick Bostock";"Inglaterra";"Aperfeiçoamento na manufactura de botas e sapatos";"Idem";"Idem."
"279";"2.164 bis";"Gustave Trouvé.";"Pariz";"Melhoramentos introduzidos na invenção de sys- tema de producção continua, ar nazenagem e utilização industrial do gaz acetylene puro ou misturado com outros gazes, privilegiada pela patente n. 2.164, de 16 de dezembro de 1896.";"22 de dezembro.";"Emquanto vigo- rar a patente n. 2.164, de 16 de dezembro de 1896."
"280";"2.442";"Ernesto Betim Paes Leme";"Capital Federal";"Novo gazogeneo Carioca.";"22 de dezembro.";"15 annos."
"281";"2.443";"José Francisco Corrêa & c.";"Idem";"Carteira para cigarros";"Idem";"Idem."
"282";"2.441";"Francisco da Silva.";"Idem";"Novo combustivel, denominado: Carvão dos pobres";"Idem";"Idem."
"283";"2.445";"Luiz Ridoli";"S. Paulo.";"Systema de esteira articulada sem fim para quaesquer machinas em geral e especialmente para as de tratar de café.";"Idem";"Idem."
"284";"2.446";"Victor Thuan";"Pariz";"Enxergão aperfeiçoado systema Thuan.";"Idem";"Idem."
"285";"2.147";"Dr. Reinholdo Muller.";"Capital Federal";"Material denominado - Asbostolina, para cons- trucção de casas, telhados, tectos, etc., resis- tindo ao calor, fogo e humidade";"Idem";"Idem."
"286";"2.418";"Elie Pizimon";"Nitheroy.";"Novo guia denominado - Guia brazileiro, para linhas maritimas, fluviaes e terrestres";"Idem";"Idem."
"237";"2.449";"Decio Antonio da Costa Mesquita";"Curityba";"Seccador de herva-matte.";"Idem";"Idem."
"288";"2.450";"Julio Perris";"Capital Federal";"Invenção denominada - Seccuritas Perris para garantir as cintas de borracha que estão appli- cadas nas rodas dos vehiculos";"Idem";"Idem."
"289";"2.451";"Emmanuel Couret";"Campos";"Aperfeiçoamentos em columnas de rectificação de alcool";"30 de dezembro.";"Idem."
"290";"2.452";"Sento Xavier";"Capital Federal";"Machina de lavar roupa, denominada - Ma- china familiar.";"Idem";"Idem."
"291";"2.433";"Ernesto Betim Paes Leme";"Idem";"Aproveitamento das estopas servidas nas es- tradas de ferro ou turbinas";"Idem";"Idem."
