"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.220";"29 """;"Idem";"Idem";"Aperfeiçoamentos em apparelho de amalgamação."
"3.221";"29 "" """;"Idem";"Idem";"Aperfeiçoamentos em apparelhos para separação de minerios."
"3.222";"29 """;"Societé Preduart, Blanc & C";"Suissa.";"Apparelho distribuidor automatico."
"3.223";"29 "" """;"Theophilo Henriques de Sant'Anna.";"Capital Federal.";"Processo para fabricação de graxas e lubrificantes."
"3.224";"29 """;"José Francisco de Oliveira Moraes e Frederico Rodrigues de Faria";"Idem";"Fecho ou fechadura de segurança."
"3.225):";"30 "" "" "" """;"Manoel Corrêa de Almeida.";"Idem";"Novo systema de machinas para fabricar farinha, polvilho de mandioca e outras."
"3.226";"30 "" """;"João de Castro Lima e Silva";"Idem";"Tres bancos-carteiras escolares a que denominou -Municipal, Republica e Estrella."
"3.227";"6 "" dezembro """;"Henock Romidoff.";"Idem";"Indicador hydro-auto-regulador, systema uni- versal, para os serviços dos depositos d'agua, industriaes e domesticos."
"3.228";"6 "" """;"Emilio Julio Hess, Severiano An- tonio de Castilho e Manoel Fer- reira Delamare.";"Idem";"Novo processo de utilisação do calor solar por in- termedio do ar liquefeito."
"3.229";"7 "" """;"Arthur Vianna";"Idem";"Tinta denominada <<Forestina""."
"3.330";"7 "" """;"Francisco da Rocha Camargo Ar- ruda.";"Estado de S. Paulo";"Apparelho economico para fabricar gaz de illumi- nação, extrahido de lenha, de palha de café, de turfa e outros combustiveis, denominado-Gazo- metro domestico economico."
"3.331";"7 x "" """;"Reinaldo Arut.";"Estado do Rio Grande do Sul.";"Novo meio de acondicionamento em saccos de cal, farinha, feijão, milho e outros cereaes."
"3.332";"19 "" """;"Guglislino Marconi";"Inglaterra";"Aperfeiçoamentos em apparelhos para telegraphia sem fio."
"3.333";"19 "" """;"Francisco Corrêa";"Estado do Amazonas";"Apparelho para sondagem automatica, denominado -Sondador automatico Corrêa."
"3.334";"19 """;"Companhia Luz Stearica";"Capital Federal.";"Aperferçoamentos em machinas de fundir velas."
"3.335";"27 "" """;"Juan Aramburú";"Republica Argentina";"Plataforma movel para transportar de uma via a outra locomotivas ou vagões de estradas de ferro."
"3.336";"29 "" "" """;"Henrique Thaddeu";"Capital Federal.";"Apparelho destinado a vedar a passagem do gaz quando o medidor se achar inclinado, denomi- nado - Obturador Thadeu."
"3.044";"15 ""   ";"Miguel Guerquim.";"Idem";"Nova mesa elastica denominada - Mesa Michel."
