"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.001";"23 "" """;"Malaquias Perminio Carcia";"Capital Federal.";"Invenção denominada - Cartuxo Garcia e que ser- ve para tiro reduzido ao alvo e para manobras ou tiro de festim, servindo o mesmo cartuxo centena de vezes."
"3.002";"25 "" "" """;"Franz Eugen Muller.";"Allemanha";"Processo e apparelho aperfeiçoados de refrigeração."
"3.003";"25 "" "" """;"A Wright's Toper Roller Bearings Syndicate Limited.";"Inglaterra.";"Aperfeiçoamentos em mancaes ou chumaceiras para rodas."
"8.004";"25 "" """;"La Continentale Nouvelle Incandes- cence e Chauffage par l'Alcool et le Petrole.";"Belgica";"Aperfeiçoamentos em apparelhos de illuminação por incandescencia por meio de liquidos combus- tiveis (alcoo!, petroleo, etc.)."
"3.005";"25 de janeiro de 1900";"Adonis Desbuisson";"Belgica";"Processo e apparelho para esterilisação da man- teiga natural e artificial e quaesquer gorduras alimenticias em geral."
"3.006";"25 "" "" "" """;"Euzebio Maximiniano Pires Ferreira.";"Capital Federal.";"Novo apparelho para divertimento publico deno- minado - Montanha Russa circular."
"3.007";"27 "" "" """;"David Gilman";"Canadá";"Processo aperfeiçoado parr preparação da madeira."
"3.008";"27 "" """;"Josef Diether e Maximilian Meiz.";"Russia e Allemanha";"Novo processo para tratamento de minerios de ouro."
"3.009";"27";"Victor Belanger";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de fiar."
"3.010";"27 "" """;"John Voughan Sherin";"Inglaterra.";"Novo processo de fabricar vernizes e substancias analogas."
"3.011";"27 """;"Eisenbach & Hurhmann.";"Estado do Paraná.";"Novo methodo de confecção de caixinhas de ma- deira para phosphoros."
"3.012";"27 "" """;"Companhia Nacional Manufactora de Fumos.";"Capital Federal.";"Caixinha cigarreira."
"3.013";"3 >> fevereiro";"Bernardo Lichtenfels.";"Estado do Rio Grande do Sul.";"Apparelho denominado - Contador fiscal."
"3.014";"9 "" "" """;"Carlos Piquet";"Capital Federal.";"Carteira para cigarros ou charutos denominada - Carteira fiscalisadora."
"3,015";"9 "" "" """;"James Meldrum, Thomaz F. Mel- drum e John F. Meldrum.";"Inglaterra.";"Aperfeiçoamentos em ou pertencentes a fornalhas de apparelhos geradores de vapor e outras e meios de provel-as de ar."
"3.016)";"9 "" "" "" """;"Dr. Theodore Janug Kume";"Estados Unidos da America do Norte.";"Aperfeiçoamentos na esterilisação de substancias empregadas na cirurgia, no vasilhame, processo e apparelho para produzir a esterilisação das ditas substancias."
"3.017";"9 "" "" """;"Edward Candish Millord";"Inglaterra.";"Aperfeiçoamentos em chaleiras e vasos congeneres."
"3.018";"9 "" "" "" """;"Hans Ritter von Dolmen";"Allemanha";"Aperfeiçoamentos na manufactura de explosivos de segurança."
"3.019";"10 "" """;"Manoel de Miranda Rosa e Dr. An- tonio Candido Borges.";"Capital Federal.";"Processo e apparelhos aperfeiçoados para fabrica- ção de sal (chlorureto de sodio) obtendo 0 pro- ducto isento de humidade."
"3.020";"14 "" "" """;"Henri de Salusse e Lawrence de Sa- lusse.";"Idem";"Novo systema de telha aperfeiçoada, denominada - Multiples."
"3.021";"22 "" """;"Victor Leivas";"Estado do Rio Grande do Sul.";"Novo apparelho formicida denominado - Victoria."
"3.022";"22 "" "" """;"Borel & Comp.";"Capital Federal.";"Apparelho applicavel ás machinas de cigarros con- tinuo para obter cigarros com duas voltas conse- cutivas de mortalhas."
"3.023";"22 "" "" """;"Pasquale Farsia Morisco";"Estado de S. Paulo";"Apparelho para tirar agua dos poços."
"3.024";"22 """;"Henri Aubertes e João Baptista Gau- tier.";"Idem";"Novo apparelho de salubridade denominado - Irri- gador Sanitario Gautier."
"3.025";"22 """;"Henrique Estrella.";"Republica Argentina";"Aperfeiçoamentos em barcos de salvação."
"3.026";"22 "" """;"Arthur Valles e Felix Giraud.";"França";"Systema de fabricação de assucar em pó."
"3.027";"22 "" """;"Henry James Kumann";"Estados Unidos da America do Norte.";"Aperfeiçoamentos relativos aos apparelhos de cra- var."
"3.028";"22 "" """;"José Bento Pereira Gandra.";"Capital Federal.";"Preparado e sua applicação na destruição da vege- tação nos logradouros publicos."
"3.029";"23 "" """;"Moura Serapião & Comp.";"Estado do Maranhão";"Refinador mecanico, apparelho proprio para refi- nar assucar."
"3.030";"23 > "" """;"José Moreira de Figueiredo Vascon- cellos.";"Estado do Rio de Janeiro";"Nova machina - Triplicador Indigena, para o fa- brico de polvilho, farelo e estopa indigenas."
"3.031";"28 de fevereiro de 1900.";"Clarence Sivingston Burgea.";"Estados Unidos da America do Norte.";"Navio de guerra."
"3.032";"28 "" """;"Joseph Usbando";"Inglaterra.";"Aperfeiçoamentos em chapéos de sol e de chuva e em artigos semelhantes."
"3.033";"7 março";"Antonio Honestinghel e João Anto- nio Teixeira Barroso.";"Capital Federal.";"Novo apparelho para a producção do gaz acetileno."
"3.034";"8 "" """;"Henry Alonzo Buck";"Inglaterra.";"Novo systema de produzir vapor nas machinas de vapor."
"3.035";"8 "" """;"Ricardo Arnó";"Italia";"Aperfeiçoamentos para lampadas do typo Vernit."
"3.036";"8 "" "" """;"Alexandre Imschenetzky.";"Russia.";"Processo para fabricação de uma nova materia refractaria."
"3.037";"€ "" "" """;"Idem";"Idem";"Aperfeiçoamentos relativos á fabricação de mate- rias refractarias ao fogo."
"3.038";"9 "" """;"Albert Kritzer Keller";"America do Norte";"Novo apparelho para systema telephonico."
"3.039";"9 "" """;"Almicari Lisnardi.";"Estado de S. Paulo";"Processo para produzir pedra artificial sob a de- nominação de Ferro-lytho."
"3.040";"9 "" "" """;"A. J. Peixoto de Castro";"Capital Federal.";"Graxa composta propria para os bocks de carros."
"3.041";"12 A "" """;"Dr. Victorio A. de Perini.";"Idem";"Descoberta para producção do carbureto de calcio por meio da delomite e outros carburetos cal- careos de procedencia nacional."
"3.042";"15 "" """;"Rodolpho Augusto França.";"Estado do Rio Grande do Sul.";"Aperfeiçoamento em latas para banha."
"3.043";"15 "" "" """;"Emanuele Cresta";"Capital Federal.";"Ladrilho de cimento hydraulico imitando os pavi- mento a mosaico de Veneza."
"3.059";"14 de abril de 1900";"Henrique Boccolini";"Estado de S. Paulo";"Moinho vertical para café, denominado - Moinho vertical Engenheiro Boccolini."
"3.060";"14 "" """;"Societé Siderurgica Glisenti";"Italia";"Aperfeiçoamentos em armas de fogo automaticas."
"3.061";"14 """;"Sidney George Brown";"Inglaterra.";"Aperfeiçoamentos em apparelhos de telegraphia electrica."
"3.062";"14";"José Macedo Protugal";"Capital Federal.";"Novo systema de acondicionamento de cigarros, charutos e outros artigos analogos."
"3.063";"14";"Julien Dislait. Constantin Zelmay e Leon Rosenfeld.";"Belgica";"Systema de propulsão electro-dynamica."
"3.064";"18";"Erich Eduard Bintz e Carl Emile Ri- chter.";"Capital Federal.";"Novo processo de conservar indefinidamente fructas tropicaes, sem alterar a sua qualidade natural."
"3.065";"20";"Edward Lacey Anderson";"Estados Unidos da America do Norte.";"Processo chimico para a producção de electrici- dade."
"3.066";"20";"Ewen Mc. Gregor";"Nova Zelandia";"Apparelho aperfeiçoado para excavar, dragar, trans- portar e elevar terra e para operações seme- lhantes."
"3.067";"20";"Francis Elleishausen";"Inglaterra";"Aperfeiçoamentos no tratamento de minerios com- plexos e refratarios."
"3.068";"25";"Augusto Adriano.";"Estado de S. Paulo";"Machinismo de beneficiar arroz."
"3.069";"25";"Dr. Pedro de Mello Souza Junior.";"Idem";"Mesa portatil."
"3.070";"25";"Henry Mailes";"Inglaterra";"Machina para moldar ou esculpir."
"3.071";"25";"Arthur da Costa Lima e Guilherme Augusto de Andrade Lima.";"Capital Federal.";"Apparelho denominado==yydro elevador automatico, destinado a levar agua ás alturas."
"";"";"";"";"Fabrico de sapatos para crianças e"
"3.073";"2 "" maio 2 "" """;"Donysio Golindo Joseph Jardley Johnston";"Idem Inglaterra.";"ou em liso ou em relevo em em prensas de imprimir ou em ambos os generos."
"3.074 3.074";"2 "" """;"Gian Domenico Segui";"Estado de S. Paulo Suissa.";"Novo apparelho para collecta e deposito de lixo. Motor hydraulico para leques denominado - Pun- kas."
"3.075";"2 "" A";"Heinrich Spuhl.";"";"Motor electrico para leques denomidado - Punkas."
"3.076";"2 """;"Idem. Henri Sevena e Emile David Cahen.";"Idem França";"Aperfeiçoamentos na fabricação de massas inflam- maveis proprias para phosphoros. chalets,"
"3.077 3.078";"2 "" 4";"character(0) Joaquim José das Trinas";"Capital Federal.";"Novo de construcção mecanica de de destinados systema á exploração de qualquer ramo negocio."
"3.079";"8 """;"Luiz Vieira de Almeida";"Idem";"Almofada portatil de pequenas dimensões, que 0 passageiro poderá facilmente transportar. Banco carteira para uso escolar."
"3.080 3.081";"9 "" "" 9 >";"Capitão João Paulo Baptista de Car- valho. Dr. Augusto Carlos da Silva Telles.";"Idem Estado de S. Paulo";"Applicação Malvaceas e do genero Huma á da fibra de um vegetal da fabricação familia das dos tecidos, cordames e artigos semelhantes."
"3.082";"9 "" """;"Andres Gustaf Lundin";"Estados Unidos da America do Norte. Idem";"Aperfeiçoamentos em aços fundidos e na fabricação dos mesmos. Novos aperfeiçoamentos em aços fundidos e na fa- bricação dos mesmos."
"3.083";"17";"Idem";"Estado de S. Paulo";"Motor-leme. estradas de"
"3,084 3.085 3.086";"17 27 23";"José de Souza Barros. Frank Simon Dodgson Francisco de Mello Albuquerque.";"Estados Unidos da America do Norte. Estado do Maranhão";"Apparelhos para chaves e signaes de ferro. Producto denominado - Sumagre Brazileiro desti- nado ao cortume de pelles."
"3.087";"23 de maio de 1900";"Socrates Marchesi";"Estado de S. Paulo";"Machina para bater arroz, feijão ou trigo, denomi- nada - Batedor Marchesi."
"3.088";"23";"Gustave Weissmann e Alfred Wyds.";"França";"Novo systema de utilisação das correntes electricas alternadas."
"3.089";"23";"Idem";"Idem";"Novo modo de transformação de correntes electricas continuas em correntes continuas de voltagem differente."
"3.090";"23";"Luiz Lombard Girin.";"Idem";"Dispositivo de trolly antomatico."
"3.091";"23";"Melvin D. Compton";"Estados Unidos da America do Norte.";"Systema de utilisação das marés como fonte de força."
"3.092";"23";"William Thomaz Lugg.";"Inglaterra";"Aperfeiçoamentos em apparelhos de illuminação pelo gaz e nos motores de gaz destinados a com- primir o gaz para illuminação por incandescen- cia e quaesquer outras applicações."
"3.093";"23";"Lucien Landier, Felix Duibuisson de Christot e Charles Stokes.";"França";"Novo systema de tracção mecanica para automoveis, sem correntes nem correias de mudanças de velo- cidade e marcha de diante para traz."
"3.094";"23";"Giueseppe Marchi.";"Estado de S. Paulo";"Apparelho aperfeiçoado para produzir gaz acetylene."
"3.095";"23 """;"Idem";"Idem";"Apparelho aperfeiçoado, gerador de gaz acetylene."
"3.996";"";"Idem.";"Idem";"Lampada portatil de gaz acetylene."
"3.097";"";"Paschoal Segreto";"Capital Federal.";"Apparelhos distribuidores automaticos de merca- cadorias."
"3.098";"23";"Benedicto Resende de Sampaio";"Idem";"Systema de molde de papelão ou outro material, para cortar qualquer peça de vestuario para se- nhoras e crianças."
"3.099";"25 "" * "" """;"João Francisco de Lemos";"Idem";"Applicação das fibras da casea de amoreira á fabri- cação de tecidos."
"3.100";"29";"Alexandrino Duarte Pinto Coelho";"Idem";"Sabão denominado - Brazileiro."
"3.101";"31";"Leonardo Palhares Ribeiro.";"Idem";"Pavilhão Urbano."
"3.102";"31";"Virginie Valentine Mastre.";"Idem";"Collete aperfeiçoado para senhoras."
"3.103";"31";"Napoleão Francisco Guedes.";"Estado da Bahia";"Processo e apparelho para producção de acido sul- phuroso livre de acido sulphurico."
"3.104";"31";"Tarcy Barbour Hatch";"Estados Unidos da America do Norte.";"Motor electrico."
"3.105";"6 de junho";"Jean Baptiste Emile Philippot.";"Capital Federal";"Processo de solidificação da borracha da serin- gueira, da mangabeira e da maniçoba, assim como de todos os leites vegetaes prestando-se á solidi- ficação."
"3.106";"6";"Paulo Victor Lanzone e Rodolpho Lanzone.";"Estado de S. Paulo";"Aperfeiçoamentos em lampadas de kerosene, (incan- descencia.)"
"3.107";"6";"Companhia Nacional Manufactora de Fumos.";"Capital Federal.";"Carteira melhorada para cigarros."
"3.108";"6";"Napoleon Dei Bull";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas para fabricar ci- garros."
"3.109";"6";"Mario Eugenio Olivari";"Italia";"Novo processo de estereotypia a secco."
"3.110";"6";"Engenheiro civil José Eduardo Mer- cadante.";"Capital Federal.";"Apparelho para indicar o peso ou carga das car- roças denominadas - pesometro."
"3.111";"8";"John Mac Leod Murphy.";"Estados Unidos da America do Norte";"Aperfeiçoamentos em estructuras e vias para es- tradas de ferro electricas."
"3.112";"";"Idem.";"Idem";"Aperfeiçoamentos em vias ferreas electricas."
"3.113";"8";"Lopes, Sá & Comp";"Capital Federal.";"Aperfeiçoamento em caixas de phosphoros, espe- cialmente as de papelão."
"3.114";"S";"D. M. Costa & C.";"Idem";"Processo aperfeiçoado de fabricar estojo simples para cigarros e artigos semelhantes."
"3.115";"9 de junho de 1900.";"Almino Reis";"Capital Federal.";"Machina e processo de fabricação de farinha dos productos musaceos e de qualquer outro analogo."
"3.116";"16 "" "" """;"Victor Duchein";"Estado de S. Paulo";"Filtro automatico denominado-Filtro automatico Paulista."
"3.117";"16 """;"Frank James Ludington";"Estados Unidos da America do Norte";"Machina aperfeiçoada para fabricar cigarros de boquilha."
"3.118";"20";"José Telles de Carvalho";"Capital Federal.";"Processo para annuncios, denominado - -Combusto- res reclames."
"3.119";"20";"José Martins Gomes Villas Boas.";"Idem";"Processo de preparação de papel para revelar provas photographicas, denominado-Pigmento"
"3.120";"21";"Alfred Masion.";"Belgica";"Aperfeiçoamento na fabricação de correntes ou ca- dêas."
"3.121";"27";"Henrique Brigmann";"Republica do Uruguay";"Serigote destinado ao serviço de cavallaria militar, denominado-Serigote militar,"
"3.122";"27";"Macedonio Oitaben";"Estado de S. Paulo";"Nova machina para beneficiar arroz, denominada -Descascador Brunidor Oitabenn."
"3.123";"27";"John Francis Olivier e John P. Breen";"Estados Unidos da America do Norte";"Machina aperfeiçoada registradora de passagens em quaesquer vehiculos."
"3.124";"27 """;"Jules Delattre";"França";"Apparelho de desgorduramento industrial."
"3.125";"28 """;"Charles Eastman Tripler";"Estados Unidos da America do Norte";"Processo e apparelho para liquefazer o ar atmos- pherico."
"3.126";"12 de julho";"José Penha Zalabeto e Valentim Gonzalles y Solle";"Capital Federal.";"Lampada automatica portatil e gazometro automa- tico de pressão constante."
"3127";"12";"Jules Delattre.";"França";"Processo aperfeiçoado de purificação de aguas in- dustriaes e particularmente das que conteem ma- teria gordurenta."
"3128";"12";"Peter Cooper Hewitt";"Estados Unidos da America do Norte";"Processo aperfeiçoado de illuminação electrica e lampadas para esse fim."
"3129";"12";"Graça, Pereira & C.";"Capital Federal";"Systema de baralho de cartas para reclames de cigarros."
"3130";"16";"Esther da Silva Guimarães";"Idem";"Collete para senhoras."
"3131";"19";"Alfred Molet";"Republica Argentina";"Apparelho denominado-Dosador-misturador auto- matico de gazes Molet."
"3132";"21";"Antonio Rodrigues de Mello";"Capital Federal";"Caçarola instantanea."
"3133";"26";"Odilon Baltzar Hannibal Hamuborg.";"Noruega";"Apparelho denominado-Photo-Phor para trans- mitrir luz ou calor aos diversos logares de casas e edificios."
"3134";"28 "" "" """;"Antonio Matheus Dias Fernandes";"Capital Federal";"Medicamento denominado-Palustrina, para ap- plicação pas molestias paludosas."
"3135";"2 de agosto";"Dr. A. Calmette";"França";"Novo processo da extracção do anil ou indigo das plantas indigoferas."
"3136";"9";"Geraldo Dannemann.";"Estado da Bahia";"Systema de cigarros com capas de fumo."
"3137";"9 """;"Jorge Eisenbach";"Estado do Paraná.";"Processo de branquear palitos de madeira para phosphoros."
"3138";"9";"Macedonio Oitaben";"Estado de Minas Geraes";"Nova machina para descascar e brunir café, deno- minada-Descascador Brunidor Oitaben."
"3139";"9 """;"Thomas Henry Pearse";"Estados Unidos da America do Norte";"Descaroçador de algodão e limpador de lã aper- feiçoado."
"3.140";"9 de agosto de 1900.";"Gremier Art Company";"Estados Unidos da America do Norte";"Processo para fazer photographias coloridas."
"3.141";"9 """;"Ferdinand Christoph von Heyde- trand";"Idem";"Novo combustivel artificial."
"3.142";"9";"William Laurence Voelker";"Inglaterra";"Aperfeiçoamento na fabricação de lampadas electri- cas incandescentes."
"3.143";"13";"José Moreira de Figueiredo Vascon- cellos";"Estado do Rio de Janeiro";"Apparelho donominado-Dominador de incendio."
"3.144";"16";"Hector Gomes Ferreira";"Republica Argentina";"Incinerador domestico de lixo."
"3.145";"16";"Charles Werley Newton";"Estados Unidos da America do Norte";"Aperfeiçoamento em caldeiras de vapor."
"3.146";"16";"Melvin Linword Severy";"Idem";"Aperfeiçoamento em superficies de impressão para imprimir."
"3.147";"16";"Idem";"Idem";"Aperfeiçoamentos em quadros de imprimir."
"3.148";"16";"Herbert B. Gillete";"Idem";"Aperfeiçoamentos em mancaes de rolos."
"3.149";"18 "" """;"Ataliba Alves de Brito";"Capital Federal";"Systema de annuncios ambulantes."
"3.150";"20 "" """;"Vicente Polla";"Idem";"Apparelho para suspender do fundo do mar os corpos ou navios submersos, denominado-Doca balança fluctuante submarina."
"3.151";"20 """;"Antonio Alves da Silva Junior";"Idem";"Novo parallelipipedo para calçamento de ruas, de- nominado-Parallelipipedo Brazil"
"3.152";"22";"William Laurence Voelker";"Inglaterra";"Aperfeiçoamento na fabricação de filamentos para lampadas electricas."
"3.153";"22";"John Hamilton Brown";"Estados Unidos da America do Norte";"Carga para impellir projectis."
"3.154";"25";"Alfred Molet";"Republica Argentina";"Apparelho automatico para produzir gaz acetyleno- denominado apparelho X."
"3.155";"27";"Luis Laganique";"Chile";"Novo processo para tratar os mineraes auriferos e outros por amalgamação."
"3.156";"27";"José Maria Carneiro da Cunha";"Estado de Pernambuco";"Novo processo de alimentação automatica, uni- forme e ininterrupta dos xaropes nas caldeiras de cozinhar assucar no vacuo."
"3.157";"29";"João Ribeiro de Carvalho Chaves.";"Capital Federal.";"Apparelho de hygiene culinaria."
"3.158";"29";"Francieco de Medeiros Muniz";"Idem";"Novo systema de annuncios em geral, tendo em vista a propaganda dos phosphoros."
"3.159";"30";"Oluf Tyberg, Rufus Senoir Patterson e George Mento Junior";"Estados Unidos da America do Norte";"Aperfeiçoamentos nas machinas de fazer cha- rutos."
"3.160";"30";"Tebaldo José Ricaldoni.";"Republica Argentina";"Aperfeiçoamentos em vibradores electricos."
"3.161";"30";"Frederico Pfeiffer e Francisco Fer- reira da Rosa";"Capital Federal.";"Novo systema de organisar olhinhas-kalendarios, a que deram o nome de - Kalendario illus- trado,"
"3.162";"1 * setembro de 1900";"João Sylvio de Lemos";"Idem";"Apparelho impressor fiscal, destinado a imprimir, fiscalisando sellos e estampilhas."
"3.163";"6";"Joaquim de Freitas Marques";"Idem";"Novo processo mecanico de tratamento do sal commium."
"3.164";"6";"Geraldo Dannemann.";"Estado da Bahia";"Machina para fabricar cigarros com capa de fumo."
"3.165";"10 "" """;"Alexandre Carlos Barbariz.";"Capital Federal.";"Apparelho para fazer fluctuar embarcações ou quaesquer outros corpos submergidos."
"3.166";"10 de setembro de 1900.";"Pedro Rodrigues Peres";"Capital Federal.";"Aperfeiçoamentos em calçado."
"3.167";"10 "" """;"Rosauro Tavares";"Republica do Uruguay";"Novo systema de preparo e salga de carne para xarque."
"3.168";"11 """;"João José de Macedo e Jayme Chris- tiano Ferreira Serpa.";"Capital Federal.";"Nova applicação do jogo de bilhar, denominada - Academia de bilhar."
"3.169";"12";"Joaquim Vieira Ferreira Lobo";"Idem";"Invenção de fazer desapparecer uma grande lacuna existente na arte musical, qual o vagaroso pro- cesso lithographico empregado nas impressões de arias, a que denominou -- Musicographia Brazil,"
"3.170";"20 "" "" """;"Francisco Antonio Maria Esberard";"Idem";"Systema aperfeiçoado de aquecimento dos fornos de tanques para fabricação de vidros."
"3.171";"20 "" """;"Miguel Arthur";"Estado do Pará.";"Apparelho batedor e despolpa ior para assahi,tama- rindo, cajá e outros fructos analogos, denomi- nado - Despolpador Amazonia."
"3.172";"20";"John Charles Hamer.";"Inglaterra";"Aperfeiçoamentos em apparelhos para tingir, des- gordurar, branquear e tratar algodão, seda, juta, canhamo e outros fios em maçarocas ou outras fórmas compactas semelhantes."
