"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.906";"5 >> "" A";"Antonio Izidro Gonçalves";"Capital Federal.";"Systema de acondicionamento incontundivel para fructos."
"3.907";""" "" """;"Luiz Presser";"Idem";"Novo apparelho extinctor de incendio."
"3.908";"8 "" """;"Dr. Paulo Fernandes dos Santos.";"Idem";"Sabão allemão."
"3.909";"10 >> "" """;"Albert Dillemann";"França.";"Novo systema de lampada de incandescencia pelo alcool."
"3.910";""" "" "" """;"A. Naamlooze Wennotschap Boter Separator & Comp. ( Patente van Deursen).";"Hollanda";"Novo apparelho para fabricação da manteiga."
"3.911";"17 "" >> >";"Ricardo Goulart";"Capital Federal.";"Applicação de uma fibra vegetal para o fabrico de tecidos semelhantes à seda, linho, algo- dão, linhos e outros."
"3.912";"18 de ag. de 1903";"George Archibald Lowry";"Estados Unidos da Amc- rica do Norte.";"Aperfeiçoamentos em apparellos para carregar fluidos e samelhantes com acido carbonico ou outros gazes."
"3.913";""" "" >> >";"Jules Lafaurie.";"França.";"Machina de stenographar."
"3.914";""" >> > > >>";"Roberto Piscicelle Taeggi";"Italia";"Processo para recolher e transportar a corres- pondencia por meio da electricidade, sob a denominação de - Correio electrico."
"3.915";""" "" "" "" """;"José da Silva Lemos.";"Capital Federal.";"Annunciador mechanico."
"3.916";"19 "" "" """;"Aristoteles Pereira, Pedro Ro- drigues da Costa Doria e Ma- noel Rufino Nelson.";"Estado de S. Paulo.";"Uma tinta denominada - Indigolina Paulista."
"3.917";"20 "" "" """;"João Baptista da Rocha.";"Idem";"Novo apparelho para lavagem do café, deno- minado - Lavador economico."
"3.918";""" "" "" A """;"A. Oderich & Comp.";"Estado do Rio Grande do Sul.";"Latas aperfeiçoadas para enlatar banha e outros productos."
"3.919";""" "" "" """;"Companhia Agua Superaris do Brazil.";"Estado de S. Paulo.";"Novo dispositivo em tapamento ou fechamento para garrafas ou outros vasilhames."
"3.920";""" "" "" """;"Joaquim Lucio da Silva Souza.";"Portugal";"Apparelho denominado - Formolisador - des- tinado a desinfecções."
"3.921";"31 "" "" > """;"Alfred Williams";"Inglaterra.";"Novo systema para descobrir e determinar a posição de minerios e outros depositos mi- neraes e um apparelho para esse fim."
"3.922";"2";"Syndicat pour l'Exploitation des inventions du professeur Oettli.";"Suissa";"Novo processo electrolytico para fabrico de alvaiade de chumbo."
"3.923";"";"Grove Johnson e Percy Richard Hare.";"Inglaterra.";"Aperfeiçoamentos relativos á fermentação de liquidos."
"3.924";""" A """;"Louis Lazare August Seguin.";"Françi.";"Novo producto analogo à borracha."
"3.925";"""";"De Roude - Osborn Company.";"Estados Unidos da Ame- rica do Norte.";"Nova composição de materias para tirar tinta e verniz."
"3.926";""" >> >> """;"Charles Beale.";"Inglaterra.";"Novo process) de conservação de materias or- ganicas."
"3.927";""" >> "" """;"International Senohdess Powder & Chemical Company.";"Estados Unidos da Ame- rica do Norte.";"Aperfeiçoamentos em polvora sem fumaça."
"3.928";"12 de set. de 1903";"Balfour Fraser Mc Dear";"Inglaterra.";"Aperfeiçoamentos na fabricação de tubos ou corpos tubulares ou em connexão com ella."
"3.929";""" > "" "" """;"James Edward Smith";"Estados Unidos da Ame- rica do Norte.";"Machina para fazer tripas de charutos de enchi- mento frouxo."
"3.930";"14 >> "" A """;"Bernardo Lichteufeld Senior e Ber- nardo Lichteufeld Junior.";"o primeiro nesta Capital e o segundo no Estado de S. Paulo.";"Systema para prevenir encontros de trens e evitar desastres nas estradas de ferro, com- binado com signalações, denominado - Sys- tema Lichteufels."
"3.931";"2> "" "" "" >>";"Palhares, Gruhnf & Comp.";"Capital Federal.";"Novo systema de cinta ou tira de garantia, para garrafas, destinada a evitar falsificações. (¹)"
"3.932";""" "" "" >";"George Jones Attrins";"Inglaterra.";"Aperfeiçoamentos na electrolyse de chloruretos e em apparelhos para esse fim."
"3.933";"16 A "" x """;"Frederico Henrique Lowndes";"Capital Federal. dezembro do";"Relogio fiscalisador de passagens de bonds. mesmo anno."
"3.934";"24 de set. de 1903";"Francisco Estanisláo Prezewo- dowski.";"Estado do Rio de Janeiro.";"Apparelho que permitte o emprego do iman e do electro-iman para dar auto-dirigibilidade aos torpedos."
"3.935";"25 "" "" "" """;"Gonçalo do Rego Monteiro.";"Capital Federal.";"Novo systema de impressão e reproducção - Chromo-lithographica artistica sobre metaes."
"3.936";"28 >> >>";"Syndicat pour l'Exploitation des inventions du professeur Oettli.";"Suissa";"Processo electrolytico para fabrico de alvaiade de zinco."
"3.937";""" """;"The Cotton Seed Company, Li- mited.";"Inglaterra.";"Aperfeiçoamentos em machinas para descarogar algodão."
"3.938";""" "" """;"Martin Alberto de Palacio.";"Hespanha.";"Novo systema de caminho de ferro aereo."
"3.939";""" "" """;"Frank Taylor Cable e Lowrence York Sepear.";"Estados Unidos da Ame- rica do Norte.";"Novo barco submarino."
"3.940";""" "" "" """;"George Washington Doming e Harry Tabe Ambrose.";"Idem";"Nova machina para escrever especialmente em livros."
"3.941";">> >> """;"Frederick White.";"Idem";"Apparelho para tratamento de ar."
"3.942";"6 de out. de 1903";"Pedro de Menezes";"Estado de S. Paulo.";"Carrinho para trabalho do terreiro, denomi- nado - Carrinho Menezes."
"3.943";"8 "" "" "" """;"Armando Alvares Peuteado";"Inglaterra.";"Systema de balão dirigivel, que se denomi- nará - Plano aerostado Alvares Penteado."
"3.944";">> > "" "" >>";"Walter William Fiddes e James George W. Aldridge.";"Belgica";"Aperfeiçoamentos em apparelhos usados em usinas de gaz para descarregar coke e car- regar carvão em retortas de gaz."
"3.945";"8 > A "" """;"La Société Anonyme L. Auto Me- tallurgie.";"Idem";"Emprego de diaphragmas com teor de sub- stancias albuminoides organicas insolubi- lisadas para as applicações eletrolyticas e galvanoplasticas."
"3.946";"A A "" """;"Idem.";"Idem";"Processo de extracção do cobre pela electrolyse de dissoluções cupricas."
"3.947";"9 "" "" "" """;"Borlido, Muniz & Comp.";"Capital Federal.";"Um bico de gaz incandescente de chamma vol- tada para baixo e dispositivo para prender os véos aos referidos bicos."
"3.948";"13 "" "" "" """;"Guilherme Einloft";"Estado do Rio Grande do Sul.";"Apparelho denominado - Sul Rio Grandense - destinado a purificar a manteiga na- cional."
"3.949";">> "" "" "" """;"Manoel Gomes & Comp.";"Capital Federal.";"Nova lampada para illuminação por incan- descencia a alcool."
"3.950";">> > "" "" """;"Luiz Vianna de Oliveira.";"Idem";"Apparelho automatico accionador de freios, destinado ao uso de estrada: S de ferro e ferro- carril."
"3.951";"14 "" > "" """;"Pedro de Menezes";"Estado de S. Paulo.";"Fecho de segurança para porta de sahida, de- nominado - Fecho Santa Maria."
"3.952";""" "" "" """;"Companhia Mechanica e Importa- dora de S. Paulo.";"Idem";"Esbrugador de café, denominado - Mechanico."
"3,953";""" """;"Poock & Comp";"Estado do Rio Grande do Sul.";"Novo systema de marcar charutos em caixas e em maços ou pacotes."
"3.954";"""";"José David.";"Idem";"Novo apparelho para gaz acetylene."
"3.955";""" "" > A";"José Moreira Barbosa e João Simas Enéas.";"de Capital Federal.";"Filtro para agua, denominado - Ideal."
"3.956";"21 de out. de 1903 .";"D. Izolina Virginia Martins Souto.";"Estado do Rio Grande do Sul.";"Carro-batel que satisfaz as condições de uma canôa, e por sua ligação com outras da mesma especie fórma balsas e pontes para passagens de tropas em cursos de agua."
"3.957";"24 . > >";"Carlos Cayres.";"Capital Federal.";"Systema de fechamento para latas destinadas a conter banhaemanteigadefabricaçãonacional"
"3.958";"""";"Dr. Antonio Soares de Gouvêa.";"Idem";"Colher aperfeiçoada."
"3.959";">";"Dr. Marcos Ayrosa";"Estado de S. Paulo.";"Novo producto alimenticio."
"3.960";"29 "" """;"Cassiano do Carmo Fróes Junior.";"Estado de Minas Geraes.";"Carroças mechanicas para conducção de mor- cadorias, cargas e outros misteres."
"3.961";"31 > >> >";"Maria Clemencia de Castagnone.";"Capital Federal.";"Novo systema de pacotes de sal refinado inalte- raveis ás transformações atmosphericas."
"3.962";"3 de nov. de 1903";"Luiz Alves Ribeiro e Nicolão Vi- cente Alvares.";"Idem";"Novas couraças tubulares aperfeiçoadas para aquecimento da agua em fogão."
"3.963";"51 > . "" A";"Nemo Telmo Junior";"Idem";"Luminarias-reclame."
"3.964";"9 "" >> > """;"Mendes & Santos.";"Idem";"Prensa de duplo effeito, denominada - Sys- tema Mendes & Santos - destinada ao em- pacotamento de fumos."
"3.965";""" > A >> """;"John Gell";"Inglaterra.";"Machina de perfurar fita ou cadarço para os instrumentos telegraphicos automaticos com- muns de Wheatstons ou para outros fins, accionada por meio de machina de escrever ou outro apparelho de teclado."
"3.966";"11 >> >> "". """;"John Edward Cooper";"Idem";"Aperfeiçoamentos em mecanismo de antifricção applicados a carros de estradas de ferro ou outros vehiculos."
"3.967";"A >> >> "" A";"Edward Cooper e John Westgate.";"Idem";"Processo para melhorar farelo ou outra ma- teria tirada das pelliculas de cereaes."
"3.968";"14 A A """;"Antonio de Castro Brown.";"Capital Federal.";"Nova farinha alimenticia, denominada - Ga- lozéa."
"3.969";""" D "" "" >>";"Roberto Gustavo Hoennig";"Estado da Bahia.";"Novo meio de encapamento de charutos com palha da Pourretia-tuberculata."
"3.970";""" """;"Dario Vianna Barbosa";"Estado de S. Paulo.";"Separador de café denominado - Prodigio."
"3.971";">> """;"Castaing & Cornut";"França.";"Systema de fechar as latas contendo ameixas."
"3.972";""" "" """;"Bernardo Lichteufeld Senior e Ber- nardo Lichteufeld Junior.";"o primeiro nesta Capital e o segundo no Estado de S. Paulo.";"Novo conductor electrico, denominado-Brazil."
"3.973";""" "" "" "" """;"Andrew Miller";"Capital Federal.";"Carimbo automatico para marcar saccos."
"3.974";""" "" "" """;"Aristides Leterre.";"Idem";"Invenção denominada - Armario Solar - des- tinado a obtenção de photographia por meio da luz artificial."
"3.975";"16 "" >> "" """;"Romolo Bruzzone.";"Idem";"Uma tinta denominada - Romolina."
"3.976";"2> > "" "" >";"Manoel de Mesquita Cardoso.";"Idem";"Processo para formar dobra em collarinhos engommados."
"3,977";"D "" """;"Affonso de Albuquerque";"Estado de S. Paulo.";"Melhoramento em cigarreira, denominada - Paulista."
"3.978";"18 "" "" "" """;"João Xavier Pinheiro";"Estado do Rio de Janeiro.";"Um preparado formicida, denominado - Ta- najuricida Paulista."
"3.979";"18 de nov. de 1903 .";"John C. Moore e Cristofore Ba- zano.";"o primeiro em Londres e o segundo em Genova, Italia.";"Aperfeiçoamentos relativos a machinas de cozer ou aos accessorios dellas, do genero das que são empregadas para pontos de fantasia, ponto sumido, sobre-cozer e tra- balhos semelhantes."
"3.980";""" "" "" A";"Christiano J. Trein & Comp.";"Estado do Rio Grande do Sul.";"Systema novo e util de fabricação de latas com facil abertura e consequente aproveita- mento das ditas latas."
"3,981";"26 "" "" """;"Ernest Charles Dealty";"Capital Federal.";"Novo systema denominado - Contador e dis- tribuidor de cigarros para machinas de en- carteirar os mesmos."
"3.982";"27 "" > "" """;"Getulio Candido Maviguier.";"Idem";"Apparelho para interceptar a violação nos actnaes registros de pennas d'agua e sua completa substituição, denominado - Hydro- Penna-Maviguier."
"3.983";""" >> "" """;"Christiano J. Freire & C.";"Estado do Rio Grande do Sul.";"Aperfeigoamentos em tampas para latas."
"3.984";">> "" "" """;"E. Berla & C.";"Idem";"Fogão aperfeiçoado."
"3.985";""" >> "" """;"Antonio Izidro Gonçalves";"Capital Federal";"Lata aperfeiçoada, denominada Lata-Excel- sior."
"3.986";"2 de dez. de 1903.";"Henrique Schüler";"Estado do Rio de Janeiro";"Novo systema de refinação de banha de porco em fria pressão, denominado - Schüler."
"3.987";"3 "" > A >";"George Henry Hergbes";"Inglaterra.";"Alimento aperfeiçoados para animaes."
"3.988";">> > > , >>";"James Bergan.";"Australia.";"Apparelho para accender e apagar automati- camente os combustores de gaz de ruas e outros combustores."
"3.989";""" "" "" """;"João Simões & C.";"Estado do Rio Grande do Sul.";"Apparelho de alvo de tiro com marcador au- tomatico electrico que denominaram - Ex- celsior."
"3.990";""" """;"William Newton Best";"Estados Unidos da America do Norte.";"Fornalhas para combustivel liquido."
"3.991";""" "" """;"Idem.";"Idem";"Apparelho para queimar hydrocarburetos."
"3.992";"26 >> "" "" >>";"Anton Frederihsen";"Dinamarca";"Aperfeiçoamentos em rolhas para garrafas."
"3.993";"7 "" "" """;"Gustav Müller";"Allemanha";"Aperfeiçoamentos no tratamento da manteiga de côco."
"3.994";""" """;"Frederico Otte.";"Capital Federal";"Bancada mecanica para collocação e funccio- namento de machinas de costura."
"3.995";"8 "" """;"Charles Whitfield e Charles Guest Norris.";"Inglaterra";"Gerador aperfeiçoado e processo para fabricar gaz de agua."
"3.996";""" "" "" """;"João Piñero Salinas";"Estado do Rio Grande do Sul.";"Apparelho aperfeiçoado destinado á fabricação da crina vegetal."
"3.997";"9 "" "" "" """;"Antonio By.";"Capital Federal";"Aperfeiçoamento em construcção de grades, postes e janellas de ferro."
"3.998";""" "" "" "" >";"Paul Lucas.";"Allemanha";"Novo processo para producção de fortes luzes em lampadas de incandescencia pelo gaz."
"3.999";"14 "" "" "" """;"Joseph Lybrand Ferrel";"Estados Unidos da America do Norte.";"Nova composição para tornar a madeira in- combustivel."
"4.000";"14 de dez. de 1903";"Joseph Dybrand Ferrel";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processos para tornar a madeira incombustivel."
"4.001";""" > "" >";"Frederico Otte.";"Capital Federal";"Apparelho aperfeiçoado para emprego de luz de gaz incandescente."
"4.002";"17 "" "" """;"Antonio Gonçalves Pinto e José Maria da Cunha.";"Idem";"Apparelho denominado Gazometro Indiano, destinado á fabricação do gaz acetyleno."
"4.003";"21 >> """;"Nelson Wilmarth Aldrich e Tho- mas Fortune Byan.";"Estados Unidos da America do Norte.";"Apparelho aperfeiçoado e processo para ex- trahir borracha sem emprego de dissol- ventes."
"4.004";""" "" "" >";"Isidro Pinho";"Capital Federal`";"Uma lançadeira aperfeiçoada Modelo Confiança, para teares."
"4.005";"22 "" "" >>";"José Coelho Barbosa";"Idem";"Novo systema de Botica Homceopathica."
"4.006";"23 "" "" """;"Christiano J. Freire & C.";"Estado do Rio Grande do Sul.";"Novos aperfeiçoamentos em tampas para latas."
"4.007";""" "" """;"Pedro França Pinto";"Estado de S. Paulo.";"Novo systema de tampar ou arrolhar garrafas de cerveja, aguas mineraes e outros li- quidos, denominado - Ideal."
"4.008";"26 "" "" >";"Jesé Nuñez Molinos";"Idem";"Machina de beneficiar café."
"4.009";""" , >> "" """;"Aldré Ulson Junior";"Idem";"Applicação da terra denominada taguá ama- rello à fabricação de tintas de côres."
"4.010";"31 "" "" >> >>";"Arens Irmãos";"Capital Federal";"Novo catador para café e outros grãos, deno- minado - Catador turbilhar."
"4.011";"> >>";"Dr. Carlos Wallan";"Estado do Rio Grande do Sul.";"Novo instrumento cirurgico, denominado Ecraseur Dr. Wallan (Esmagador Dr. Wal- lan)."
"4.012";""" >> """;"José Francisco Jorge.";"Capital Federal.";"Uma carteira de cigarros, contendo entre outros um cigarro, a que denominou - Ci- garro-Perfume."
"22";"13 agosto de 1903";"Edouard Mezergues ";"Capital Federal.";"Novo systema de calçamento "
"23";"13 "" "" """;"João Tiburcio Fiuza Lima ";"Idem";"Motor electrico circular "
"24";"13 >> """;"Francisco Innocencio da Silva. ";"Estado do Rio de Janeiro.";"Novo motor hydraulico, denominado -Hydrothenio continuo. "
"25";"17 "" >";"Gregorio Gonçalves Castro Mascarenhas. ";"Estado de S. Paulo";"Novo meio com apparelho para adubação e extru- mação permanente do cafeeiro e outras arvores. "
"23";"17 "" """;"Idem ";"Idem";"Cafeteira sempre nova por esmaltada ou louçada e articulada. "
"27";"18 >";"Edward Leslie Graham ";"Inglaterra";"Novo e util processo aperfeiçoado para despedaçar e esmiuçar mineraes. "
"28";"27 "" """;"Mouroe Lee Rass ";"França";"Aperfeiçoamentos nas fornalhas para fogões "
"29";"28 """;"Francisco Innocencio da Silva. ";"Estado do Rio de Janeiro.";"Systema de extincção de pó nas estradas de ferro, denominado-Pluvithenio-Railway "
"30";"1 sct. >";"Joseph Levy, Frères & C.";"Capital Federal.";"Processo de reconstituição, sem compressão, pedra e da madeira. da"
"31";"3 "" >";"Carlos Alberto do Espirito Santo. ";"Idem";"Novos fechos inviolaveis (dous systema) applicaveis as malas postaes e wagons de carga de estradas de ferro, aos quaes denominou - Eureka. "
"32";"5 "" """;"Luiz de Mello Marques ";"Estado de S. Paulo.";"Um systema de accumuladores electricos, que a vantagem de grande reducção, no peso apparelhos congeneres. traz dos"
"33";"23 >>";"Eugenio Dilermando da Silveira.";"Capital Federal.";"Uma telha destinada a cobertura de casas."
"34";"26 >";"Gregorio Gonçalves Castro Mascarenhas.";"Estado de S. Paulo.";"Um novo apparelho para obturar, com segurança e sem soldas, os objectos contendo substancias ex- plosivas e inflammaveis."
"35";"30 """;"Domingos da Rocha Meira";"Idem";"Um novo lavador de café, denominado -- Lavador Rocha Meira."
"36";"22 out.";"João Maria da Silva Ju- nior.";"Capital Federal.";"Aperfeiçoamentos em material bellico, referentes a mochila, bolsas a tiracollo, bornaes, cartu- chos, etc."
"37";"26 A";"Hugo Alexandre Freitz- hein.";"Idem";"Novos suspensorios para calças"
"38";"20 """;"José Soares Marcondes";"Estado de S. Paulo.";"Descascador de arroz, denominado - Marcondes"
"30";"27 """;"Alberto Pereira Gomes";"Capital Federal.";"Fecho A. Gomes"
"40";"6 nov.";"Gonçalo do Rego Monteiro";"Idem";"Uma nova substancia isoladora do calorico, deno- minada-Massa isoladora S. Pedro."
"41";"7 >>";"João de Simas Enéas.";"Idem";"Um lubrificante -denominado Omega."
"42";"16 """;"Adel Barreto Pinto";"Idem";"Um apparelho de segurança - Adel"
"43";"19 """;"Antonio Brito Lyra e Ho- norio Romeral.";"Idem";"Camada anathemia e isolador economico destinados a conseguir a inalterabilidade no timbre das vi- brações, nos pianos e em todos os instrumentos de repercussão pelo martello enfeltrado,"
"41";"25 """;"Ricardo Honorato Pereira de Carvalho.";"Estado de S. Paulo";"Novo processo na confecção de cigarros, charutos, piteiras e cachimbos, denominado- Asepticos."
"45";"26 """;"Augusto Baguani";"Idem";"Um preparado chimico destinado a retirar a tinta de superficies pintadas, denominado- Limpolina."
