"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"50";"26 dez. "" """;"Pedro Cardoso de Azevedo";"Idem";"Novo systema de graduar por meio de um appa- relho denominado- - Rheostato Azevedo - a in- tensidade da luz electrica n'uma lampada incan- descente."
"51";"30 >> "" A";"João Evangelista de Ne- greiros Sayão Lobato.";"Estado do R. G. do Sul";"Aeronave projectil dirigivel."
"3.758";"8 de jan. de 1903";"Melvin David Comptou";"Estados Unidos da America.";"Reguladores para gaz."
"3.759";"""";"Luiz Antunes & Comp.";"Estado do Rio Grande do Sul.";"Latas aperfeiçoadas para acondicionamento de banha de porco."
"3.760";">";"Hubert Cecil Booth";"Olau, Escossia";"Aparelho removedor de pó ou poeira."
"3.761";""" "" """;"Ernest Friederich Wilhem Vieda.";"Paterson, New Jersey, Es- tados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de misturar e amassar."
"3.762";""" "" > > >";"Henry Blaud";"Sydney, Australia";"Aperfeiçoamentos em apparelhos para com- pressão de fluidos elasticos."
"3.763";""" A """;"Dr. Miecrystaw Kowalski.";"Polonia, Russia.";"Processo para purificar por meio da extracção, jorros, xaropes e molaços na fabricação de assucar,"
"3.764";"21 "" "" """;"Domingos Gonçalves.";"Capital Federal.";"Machina para a separação completa por lava- gens de metaes preciosos, especialmente ouro, de minas e terras de alluvião."
"3.765";""" "" "" >>";"Alfredo de La Fuentes.";"Idem";"Massa economica isolante."
"3.766";"22 "" "" """;"Antonio Elbert";"Estado de Minas Geraes.";"Novo systema de molas para beneficiar cafe e arroz."
"3.767";"31";"Companhia Manufactora de Fumos.";"Capital Federal.";"Aperfeiçoamentos em machinas de fabricar ci- garros ditas de cigarros continuo."
"3.763";""" "" "" "" """;"A St. Louis Slats Plate Company.";"St. Louis, Missouri, Es- tados Unidos da Ame- rica.";"Machina para alisar e polir vidro."
"3.769";""" """;"José Mujica Mattos e Guilherme Drein Sobrinho.";"Porto Alegre, Estado do Rio Grande do Sul.";"Apparelho motor a vento, denominado Colosso, Mujiter."
"3.770";""" "" """;"Thomas H. Deuney";"Estado de Virginia, Es- tados Unidos da Ame- rica.";"Tinta anti-corruptiva para navios."
"3.771";""" "" "" """;"Arthur Bernard Gilb";"Londres, Inglaterra";"Aperfeiçoamentos em apparelhos para illu- minar trens de estrádas de ferro."
"3.772";"4 de fev. de 1903";"José Gonçalves de Freitas e Alcêo de Oliveira Pinto Dias.";"Estado de S. Paulo.";"Aperfeiçoamentos em serpentinas."
"3.773";"6 "" "" A";"John Edgar Touks e Willian Ge- orge Sanders Symmons.";"Londres, Inglaterra.";"Aperfeiçoamentos em chaleiras e utensilios se- melhantes."
"3.774";""" >> "" "" """;"Thomas Adam Clayton";"Idem";"Apparelho aperfeiçoado para gerar, produzir e distribuir gaz qxente ou frio para fumi- gação, esterilisação, extincção de incendios e semelhantes."
"3.775";""" "" "" """;"Najib Antonio Badani";"Capital Federal";"Extracção do oleo de sementes de Sésamo á applicação do mesmo oleo e outros pro- ductos resultantes da mesma materia a fins industriaes."
"3.776";"12 "" "" "" """;"Casimiro Prats";"Idem";"Apparelho denominado - Fiscalisador de pas- sageiros modelo."
"3.777";""" "" "" "" """;"Pedro Lahr";"Idem";"Catraia de escotilha corrediça."
"3.778";"13 "" "" """;"Heinrich Nicolaus Haegely.";"Santos, Estado de S. Paulo.";"Applicação de um cylindro ou reservatorio á apparelhos para conter e distribuir aguas gazeificadas."
"3.779";"13 de fev. do 1903";"Luiz M. Pinto de Queiroz";"Estado de S. Paulo.";"Applicação da fibra da planta Hibiscus-tiliaceus á fabricação de tecidos, cordoaria, etc."
"3.780";""" "" "" """;"Arens & Irmãos";"Capital Federal.";"Catador aperfeiçoado para café e outros grãos, denominado - Catador Maravilha."
"3.781";"14 "" "" "" """;"Dr. Alvaro Alberto da Silva";"Idem";"Apparelho denominado - Thermo-desinfector- automatico."
"3.782";"16 "" "" """;"James Edwin Gee.";"Londres, Inglaterra.";"Aperfeiçoamentos em ou referentes a appa- relhos para lavar, esfregar ou limpar as- soalhos."
"3.783";">> "" """;"A. R. des Santos.";"Capital Federal";"Novo systema de fabricação e manufactura de productos de pequena tecelagem."
"3.784";""" """;"Borlido, Muniz & Comp.";"Idem";"Systema de caixa para acondicionar e tran- sportar carbureto de calcium e outras ma- terias analogas."
"3.785";""" "" """;"Luiz Antonio Pereira da Cruz.";"Idem";"Nova maneira para o emprego da industria textil da taquara, taquarussú, cipós o suas varias qualidades na manufactura e con- fecção de chapéos, peneiras, cestas e envo- lucros para vasilhame."
"3.786";"25 "" "" """;"Sir Oliver J. Ledge, Alexander Muichead e Edward E. Ro- binson.";"Inglaterra.";"Receptores de telegraphia sem fio."
"3.787";""" "" "" """;"Ferreira & Ribeiro.";"Capital Federal";"Novo systema de phosphoro reclame."
"3.788";"26 "" "" "" """;"Pedro Benjamin de Cerqueira Lima Junior.";"Capital Federal";"Nova fórma de calendario perpetuo aperfei- coado."
"3.789";">> "" """;"E. Berta & Comp.";"Estado do Rio Grande do Sul.";"Aperfeiçoamento em camas de ferro."
"3.790";""" "" "" """;"Henrique Christiano Röhe";"Capital Federal.";"Tilbury aperfeiçoado denominado - Demi- Coupé."
"3.791";""" "" "" """;"Companhia Manufactora de Fu- mos.";"Idem";"Novos aperfeiçoamentos em machinas de fa- bricar cigarros ; ditas de cigarros continuo."
"3.792";""" "" """;"João Carvalho.";"Estado de S. Paulo";"Sellim aperfeiçoado."
"3.793";"9 de mar. de 1903.";"Francisco José da Silva Bastos.";"Capital Federal.";"Applicação da nova planta Agave Braziliensis ás industrias textis e outras."
"3.794";"10 "" "" "" """;"Ernesto Stasjano.";"Roma, Italia.";"Novo systema de forno electrico universal com duplo multiplo de electrodes."
"3.795";""" "" "" "" """;"Idem.";"Idem";"Novo systema de forno electrico giratorio, des- tinado a reducção dos mineraes e refinação dos metaes."
"3.796";""" "" "" """;"José Moreira Barbosa";"Capital Federal.";"Systema de escarradeira denominado - Sani- taria."
"3.797";"11 "" "" """;"Robert Dempter";"Estados Unidos da Ame- rica do Norte.";"Apparelho para fabricar gaz de oleo."
"3.798";"";"Hector de Rocco";"Republica Argentina";"Nova massa para phosphoros."
"3.799";"";"Julius Ribbert";"Allemanha";"Novo processo de impressão a anil. em baixa tempera-"
"3.800";".> "" """;"Carl Christian Leopold Gether Budde.";"Dinamarca";"Processo para esterilisar, tura, generos alimenticios e outras sub- stancias organicas sujeitas á deterioração."
"3.801";"12 de mar. de 1903.";"John Samuel Rigby";"Inglaterra.";"Aperfeiçoamentos no processo de fabrico de tijolos e de pedra artificial."
"3.802";"18 "" >> "" >>";"José Pinto Rodrigues de Britto.";"Capital Federal.";"Um utensilio de toucador, que denominou - Esponjador de roupa."
"3.803";"23 "" >> >";"Pedro Augusto Gomes Cardim e Rachid Khoury.";"Estado de S. Paulo.";"Machina que denominaram - Remissista-me- chanico-destinada á remessa de jornaes."
"3.804";"24 "" "" >>";"Joann Rudolf Schmit.";"Allemanha";"Machina para fabricar cigarros, charutos e se- molhantes."
"3.805";">> "" "" "" >>";"Louis Joseph Renoy";"França.";"Apparelho para cozinhar economica e rapida- mente os alimentos submettidos à ebul- lição."
"3.806";"25 "" >> """;"Corydon Willard Munsen";"Estados Unidos da Ame- rica do Norte.";"Aperfeiçoamentos em compressores para fluidos gazosos."
"3.807";""" >> >> >>";"Charles Waldren Stanton";"Idem";"Aperfeiçoamentos em apparelhos de conden- sação."
"3.808";"x """;"Max Naegeli";"Capital Federal.";"Novo processo chimico para curtir couros e pelles, denominado - Naegeli."
"3.809";"1 de abril de 1903";"Luiz Felippe Freire de Aguiar.";"Idem";"Apparelho de desinfecção, applicavel a car- roças de conducção de lixo, caixas de de- trictos de cozinha e outros e tambem appli- cavel a outros recipientes."
"3.810";""" >> "" >> """;"Max Henins";"Estados Unidos da Ame- rica do Norte.";"Aperfeiçoamentos em tina-materia e separador de mosto combinados."
"3.811";""" n "" """;"Arens & Irmão";"Capital Federal.";"Chapa descascadora aperfeiçoada para descas- cador de café e outros grãos e systema de fixação ajustavel para a mesma."
"3.812";"7 A "" """;"Queiroz & Cid.";"Estado de S. Paulo.";"Caixinhas ou estojos aperfeiçoados para acon- dicionamento de polvora."
"3.813";""" """;"Arens & Irmão";"Capital Federal.";"Aperfeiçoamentos em separadores de café e grãos semelhantes."
"3.814";""" "" """;"Alexandre Nikiforoff";"Moscow, Russia.";"Processo aperfeiçoado servindo para fabrico dos benzoes e seus homologos."
"3.815";">> """;"Tore Gustaf Emanuel Linduark";"Suecia";"A per feiçoamentos em turtinas."
"3.816";"29 """;"José Moreira Barbosa e João de Simas Enéas.";"Capital Federal.";"Filtro para a agua, denominado - Brazil."
"3.817";""" "" . "" """;"Balfour Fraser Mc Dear.";"Inglaterra.";"Aperfeiçoamentos em machinas de furar me- taes para fabricar tubos sem costura ou corpos ôcos."
"3.818";""" "" """;"Schrö 1er & Comp.";"Porto Alegre, Estado do Rio Grande do Sul.";"Folle composto de corrente continua, desti- nado aos apparelhos formicidas."
"3.819";""" "" """;"James Henry Reid";"Estados Unidos da Ame- rica do Norte.";"Methodo a perfeiçoado de producção de electrici- dade por meio de combustivel e gazes de com- bustão e mechanismo, para execução do mesmo."
"3.820";"""";"Victor Barreto.";"Inglaterra.";"Aperfeiçoamentos no processo de fabricar blocos ou tijolos para construcções e apparelhos para o mesmo fim."
"3.821";"";"Leocadio José de Oliveira.";"Capital Federal.";"Aperfeiçoamentos em recipientes e latas para detrictos de cozinha."
