"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.483";"";"João de Simas Enéas.";"Inglaterra Capital Federal.";"Aperfeiçoamentos em apparelhos para distribuição de liquidos superaerados. Preparado denominado Sanitas, destinado a desin- fecção."
"3.484";"";"Baldensperger & Greiges";"França";""
"3.485";"10";"A. Brusati.";"Capital Federal.";"Commutador electrico á combinações. Bolsas isoladoras do ar."
"3.486 3.487";"11 11";"Luiz Felippe Freire de Aguiar. Angelo Vieira da Silva Borges e José Barreiro Guedes.";"Idem Idem";"Novo processo de fabricação de productos derivados da distillação da hulha. Machina motora rotativa."
"3.488";"11";"Antonio da Silva Campos";"Idem";"Carteirinhas <Madureira> para cigarros com brindes aos consumidores."
"3.489 14";"";"Frank Lemont Dodgson.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em systemas de signaes para es- tradas de ferro."
"3.490 14";"";"William Frederick Ellis e Edwin Courtis Davis.";"Idem";"Rodas de vehicules."
"3.491,22";"";"Maráu Ferreira & Comp.";"Capital Federal.";"Aperfeiçoamentos em ferros de"
"3.492|25";"";"Silva, Macieira & Oliveira.";"Idem";""
"3.493";"";"James Albert Chambers";"";"Chaminé ou manga para os lampeões de kerosene e outros, denominada <Providencia>."
"3.494";"27";"John Hylard";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processo de estirar o vidro e apparelho para esse fim."
"3.495";"27";"R. de Carvalho & Comp.";"Australia.";"Cartuxeira ou cinturão porta-cartuxos destinada a transportar munições para deposito de carabinas ou de pequenas armas."
"3.496";"27";"Balfour Frazer Mc. Tear";"Capital Federal. Inglaterra";"Processo de estamparia em chapas ou folhas metal- licas."
"3.497";"27";"José Alves Sardinha";"";"Aperfeiçoamentos em ou referentes ao fabrico de tubos de aço ou metal duro ou de corpos tubulares"
"3.498";"27";"Affonso Segreto";"Capital Federal. Idem";"Machina para modelar bastões rectangulares de lacre."
"3.499";"27";"Philipps Abott.";"Estados Unidos da America do Norte.";"Mesa moderna destinada a estabelecimentos commer ciaes. Machina de desfibrar ramie, herva da China, juta plantas fibrosas similares tanto verdes como seccas. e"
"3.500";"30";"Paulino Julio de Almeida Nuro";"Capital Federal.";"Invento denominado <<Locomoção aerea por meio de"
"3.501";"31";"Antonio de Salles Ferreira";"Idem";"aza"". Cafeteira economica."
"3.502";"1 fevereiro";"Eduardo B. Kneese";"Idem";"Suppositorios electricos."
"3.503 3.504";"1";"Emil Knudsen.";"Noruega";"Aperfeiçoamentos em processo e meios de tratar py- rites ou minerios sulfuretados."
"3.505";"";"Gomer Emons Highley William Martin";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em meios de condensar vapor de agua e esfriar fluidos."
"3.506";"";"King-Senior. John Edward Coleman";"Idem. Idem";"Aperfeiçoamentos em fechamentos para plataformas de carros. Novo processo de mineração"
"";"";"";"";""
"";"";"";"";""
"3.507";"3 de fevereiro de 1902.";"Benvindo T. de Araujo Brandão.";"Capital Federal.";""
"3.508 3.509";"3 "" "" 7";"William Frederick Singer Alessandro Paluzzi.";"Estados Unidos da America do Norte.";"Apparelho denominado <Hydrometro Brandão"". Aperfeiçoamento radores. novo e util em systemas refrige-"
"3.510";"7";"Johan August Janson";"Capital Federal. Suecia.";"Escada aperfeiçoada,"
"3.511 3.512";"7 7";"Joseph Lee Morris San.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em teares. Idem materiaes. em machinas de misturar e amassar quaesquer"
"3.513 7";"";"Paul Hallot.";"Estados Unidos da America do Norte. França";"Aperfeiçoamentos phoros. em machinas para fabricar phos-"
"3.514 7";"";"Idem";"Idem";"Aperfeiçoamentos em freios. Idem idem de caminhos de ferro."
"3.515 7";"";"Idem.";"Idem";""
"3.516,17";"";"Francisco Gonçalves Ribeiro";"Estado de S. Paulo";"Novos ferro. aperfeiçoamentos em freios de caminhos de"
"3.517 17 3.518 17";"";"Albino Wiltgen Companhia Federal de Fundição.";"Estado do Rio Grande do Sul";"Descascador para café, denominado "" Novo descas- cador Ribeiro"". Processo (amido). de fabricação de polvilho para engommar"
"3.519 17";"José";"Batlle y Hernandez e José Ma- ria Bueno y Oliver.";"Capital Federal. Hespanha.";"Aperfeiçoamentos cargas. em caixa hydraulica para des- Medidor de energia electrica, denominado "" Watt- metes B e B"" ""."
"3.520";"17 "" A "" """;"Robert Hopfelt";"Allemanha";""
"3.521";"21";"Arando Zavaleta";"";"Processo de fabricação de electrodes de carbureto para lampadas de arco."
"3.522";"21";"y Garagarza.";"Republica Argentina";"Systema de fabricação de alpargatas e machinas para esse fim."
"3.523";"21";"International Smokeless Powder and Dynamite Company. Eduardo W. Arthur.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em polvora sem fumaça."
"3.524";"21";"The Colton Seed Company Limited.";"Capital Federal.";"Ferro mobilia. aperfeiçoado para camas e outros objectos de"
"3.525";"21";"William John Knox.";"Inglaterra";"Aperfeiçoamentos no tratamento de cascas de caro- cos de algodão."
"3.526";"21";"Bernardo Caymari";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processos do tratamento de minerios de cobre."
"3.527";"25";"Idem.";"Capital Federal.";"Uma invenção denominada Rasta pari-peri, para similares. destinada à industria de papel, papelão e mais o aproveitamento da planta do brejo "" pari-peri"
"3.528 3.529";"27 27";"Aktiengesellschaft "" Magneta Ele- ohne Contact. ctrische Uhrenohne Batterie und";"Idem Suissa.";"Fornos calcareos Caymari, destinados á fabricação de cal por meio de electricidade. Armadura pulsativa. para relogió secundario com corrente"
"3.530";"27";"Frederick William Meyer Mendes & Santos.";"Estados Unidos da America do Norte. Capital";"Apparelho para revelar a existencia de fogo nos porões ou carvoeiros de um navio."
"3.531 3.532 28";"28";"Dr. Francisco de Assis Cintra";"Federal. Estado de S. Paulo";"Novo processo de enfardar ou empacotar fumos. Apparelho nado para calculos trigonometricos, denomi- """
"";"";"Fabrik für Mechanische Hirnholz- mosaik enkter Haftung. Gesellschaft mit beschra-";"Allemanha";"Aperfeiçoamentos em machinas para fabricar mo- materia. saicos compostos de blocos de madeira ou outra"
"3.533 3.534";"8 de março de 1902. 8";"E. Fontenille & Lumay. Idem";"França e Capital Federal";"Depuração e descoloração dos liquidos assucarados assucares. no fabrico e principalmente na fabricação dos"
"3,535";"8";"Idem";"Idem Idem";"Apparelho e processo de concentração e de cozi- mento dos assucares a baixa temperatura."
"3.536";"8";"Idem";"Idem";"Novo systema de concentração e deshydratação de materias assucares de para a especialmente qualquer natureza de vacuo, dos assucares refinados em pó finamente producção, debaixo da acção do Brazil. granulados, taes quaes elles são consumidos no"
"3.537";"8";"Henry Clay Heckendorn";"Estados";"Processo de refinação dos assucares permittindo de sem operar a sua dissolução. obter perfeitamente refinades os assucares brutos,"
"3.538";"8";"José Vicente Marella";"Unidos da America do Norte. Capital";"Aperfeiçoamentos garros. em machinas de fabricar ci-"
"3.539 22";"";"Octavio Teixeira Mendes";"Federal. Estado de s. Paulo";"Gazometro acetyleno Invencivel Marella """
"3.541 22";"";"Achille Van Steenkiste.";"Belgica";"Resfriador a ar comprimido denominado "" Resfria- dor Mendes.,"
"3.541 1 3.542 1";"de abril "" """;"Augusto Barbosa da Silva e Joseph Gerspacher. Carlos Hamberger.";"Estado de Minas Geraes. Estado do Rio de Janeiro";"Processo linho. e apparelho para curtimento rapido do Processo de fabricação de ferro-guza, aço, ferro e suas ligas e forno electrico para esse fim. Apparelho para"
"3.513";"1";"Sven Carlson";"Suecia,";""
"3.544";"";"Idem.";"";"Aperfeiçoamentos em combustores de petroleo."
"3.545";"4";"Adrien Delpech";"idem";"Dispositivo limpador aperfeiçoado para apparelhos de illuminação por meio de hydro-carbureto va- porisado."
"3.546";"4";"Charles Borel";"Capital Federal. França";"Processo de tratamento do sangue dos animaes para obter os productos industriaes applicaveis á fi- e engommação de tecidos. xação das cores nos tecidos, fabricação de papel"
"3.547";"4";"John Klein.";"Sstados Unidos da America do Norte.";"Novos cabos para transmissão, a grandes distancias, das correntes alternativas de alta frequencia. Classificador de minerio aperfeiçoado."
"3.548";"4";"Joseph Ethan Forsyth";"Idem";""
"3.549";"4";"Menéres & Comp";"Portugal.";"Juntas automaticas para carros de estradas de ferro."
"3.550 3.551";"4 10";"D. Georgina de Figueiredo Reid Fairbaim. João de Figueiredo Rocha";"Capital Federal. Idem";"Invenção de botija de grez. Preparado pharmaceutico denominado Londrino "". Peitoral"
"3.552";"12";"Gustavo Kindleim";"";"Mappa explicativo cujo fim é tornar conhecidas em todos os seus detalhes as cidades, villas, etc. em que for applicado."
"[3.553 3.554";"12 14";"Julio Augusto da Silva Gouvêa Bernardo Caymari";"Estado do Rio Grande do Sul. Capital Federal. Idem";"Machina de apparelhar couro para curtir, denomi- nada "" Machina G. Kindleim "". Ferro de engommar destinado a alfaiates e costu- reiras denominado "" ferro economico Confiança"". Invenção denominada "" pedra electrica"
"3.555 3.556";"17 22";"Antonio José da Costa Sampaio Antonio Gonçalves Barreiros. Leovegildo de Leão";"Idem Idem";"Caymari"". Lubrificador brazileiro destinado a evitar a forma- ção de ferrugem em todas as peças e especial- mente para as armas de fogo. Invençãoque denominou ""Carteira Leão>.par o acon- dicionamento de véos-ineandescentesgelatinados."
"3.557 3.558";"22 de abril de 1902 22";"Nicoláu Ferraro";"Capital Federal.";"Lampada aperfeiçoada para acetyleno, denominada "" Lampada Ferraro ""."
"3.559";"22";"Idem. Barão Pierre de Caters";"Idem Belgica";"Apparelho para gaz acetyleno, denominado "" Gazo- metro Ferraro "". Protector para aros pneumaticos."
"3.560 3.561";"22";"Carlos Antonio da Silva. Francis Edward Elmore.";"Estado de s. Paulo Inglaterra";"Fogão aperfeiçoado denominado Fogão Carlos Silva ""."
"3.562";"22";"Clans Angust Spreckele Charles Albert Kern.";"Estados Unidos da America do Norte.";"Methodo aperfeiçoado para a separação da parte metallica dos minerios da parte petrea dos mes- mos e apparelhos para esse fim. Aperfeiçoamentos no tratamento do assucar."
"3.563";"1 maio";"Guilherme Massoni";"Capital Federal.";"Aperfeiçoamentos de caixinhas de papelão para con- duzir véos incandescentes."
"3.564";"5";"Joseph Lybrand Ferrell.";"Estados Unidos da America do Norte.";"Processo para preservação da madeira e apparelhos para esse fim."
"3.565 3.566";"5 5";"Eduardo Hamer e Isidoro José Ma- chado Lapa. Gustav Amberg";"Estado do Rio de Janeiro Allemanha";"Apparelho para gaz acetyleno, denominado "" Bri- Thante"", destinado a pharóes de qualquer especie. Telephone fallando alto."
"3.567";"15";"Antonio Ferreira de Carvalho.";"Capital Federal.";"Apparelho desinfectador de objectos de barbearia, denominado Carvalho""."
"3.568";"15";"Bauer & Comp.";"Idem";"Machinismo para collectores principalmente de fins 1 postaes, denominado Collector Unificador ""."
"3.569;15";"";"Hugo Bruner";"Allemanha";""
"3.570";"15";"Idem";"";"Lampada electrica de arco voltaico."
"3.571";"16";"Carlos Monteiro de Lacerda";"Idem";"Aperfeiçoamentos arco. em electrodos para lampadas de"
"3.572";"16";"Dias, Serpa & Oliveira.";"Estado do Rio Grande do Sul Estado da Bahia";"denominado"
"3.573";"16";"Roberto Helling";"Estado do Paraná.";"Apparelho destinado a salvar do fundo do oceano os navios ou quaesquer corpos submersos, denomi- nado "" Rapido ascensor - ductuante-submarinor)"
"3.574";"16";"John Alfred Dahlqvist e Carl Lud- wig Holm.";"Suecia.";"Seccador de herva-mate em folhas, com gavetões mo- veis, denominado "" Seccador Helling"". Processo"
"3.575";"16";"Frank Wiggins";"Estados";"para augmentar a efficiencia machi- nas centrifugas e meios para esse fim. das"
"3.576";"16";"Louis Bernhard Baron";"Unidos da America do Norte. Inglaterra.";"Aperfeiçoamentos em garras de pressão automatica para polias."
"3.577";"16";"Huldreich Wilhelm Buff";"Suissa.";"Idem em apparelhos para a fabricação de cigarros."
"3.578";"16";"Joaquim Gomes Ferreira, Domingos Gomes Ferreira de Menezes e Gre- gorio de Freitas Vasconcellos.";"Capital Federal.";"Machinismo a applicar.no calçado para que o gasto do salto seja Novo systema de movel, denominado "" Cama-com- moda-guarda-roupa"" ""."
"3.579 3.580";"16 16";"João Teixeira de Vasconcellos Raffaele Rouco";"Idem Italia";"Invenção de lamparinas, denominadas "" Brazi- zeiras""."
"3.581";"27";"Germano Thieme.";"Capital";"Leme para aerostatos, barcos submarinos e navios de qualquer especie."
"3.582 27";"";"Hugo Gertum & c.";"Federal. Estado do Rio Grande do Sul";"Processo da para o aproveitamento de levedo liquido cerveja e de outras fermentações. Machina para cortar e preparar taquaras, bambús papelão e a outros fins a que possa semelhantes, destinados á fabricação do papel,"
"3.583";"27 de maio de 1902,";"John Mc. Farlane e David c. Rei- nohl.";"Estados-Unidos da America do Norte.";"Processo de descascar sementes ou caroços de algo- dão."
"3.584";"27";"Idem, idem.";"Idem";"Idem de extrahir o oleo das sementes ou caroços de algodão."
"3.585";"27";"Maximino Pinto de Carvalho.";"Estado de Minas Geraes.";"Invenção de cravos destinados a ferraduras de ani- maes de qualquer especie a que denominou "" Cra- vos - Brazil ""."
"3.586";"31";"Edwin Montagne Wilkes";"Estado do Rio de Janeiro.";"Machina para a geração e formação do ar liquido, sua transferencia por meio de um mecanismo espe- cial para um cylindro ou outro vaso fechado onde se o póde fazer expandir-se sob pressão por meio de calor solar armazenado no ambiente que o cerca e empregal-o como uma nova força motriz."
"3.587 3.588";"31 31";"Alexandre Leslie Pedro Mari.";"Capital Federal. Estado de s. Paulo";"Invenção de marcação de saccos para café e outros generos. Lamparina aperfeiçoada."
"3.589";"31";"Sociedade por Acções Promethée.";"Russia.";"Aperfeiçoamento em explosivos."
"3.590";"31";"Isidor Kitsee";"Estados Unidos da America do Norte.";"Meio aperfeiçoado de branquear o assucar."
"3.591";"31";"Porter Safety Seal Company";"Idem";"Processo para chumbar saccos, caixas, etc., e appa- relho para esse fim."
"3.592";"31";"Louis Maiche e Charles Maiche";"França";"Idem de producção da força motora pelo vapor uti- lisado em- cyclo fechado."
"3.593)";"31";"Schneider & c.";"Idem";""
"";"";"";"";"Aperfeiçoamentos em blindagens para couraças de navios e revestimento de torres e outras applica - ções."
"3.594";"2 junho";"Miguel Antonio Bruno";"Capital Federal";"Bebida medicinal a que denominou "" Aypolina""."
"3.595";"2";"José de Oliveira Gomes Junior";"Idem";"Producto que denominou Combustores para CO- zinha: ""."
"3.596";"4";"Domingos Orelly e Antonio Ferreira Pinto da Fonseca.";"Idem";"Invenção denominada Pescador automatico ""."
"3.597";"5";"Augusto Arouche e Dr. Adolpho Gra- ziani.";"Estado de S. Paulo";"Machina de lavar café, denominada "" Lavador me- canico"""
"3.598";"7";"Frederick John King";"Inglaterra";"Aperfeiçoamentos em separadores magneticos de mineraes."
"3.599 3.600";"7 9";"José Emilio Reichardt Eduardo José de Souza Proença.";"Estado do Rio Grande do Sul Capital Federal.";"Apnarelho para moldes de roupa de qualquer es- pecie, denominado "" Raio-acertador "" Apparelho denominado "" Pescador Carioca >"
"3.601";"11";"Henrique Florence";"Estado de S. Paulo";"Machina economica para beneficiar café."
"3.602";"12";"Luciano Calixto Barreto";"Idem";"Aperfeiçoamentos em peneiras de ventiladores para café em côco."
"3.603";"12";"William Vail Lidgerwood.";"Idem";"Chapas de gancho e cadeiras aperfeiçoadas com apparelho de guarnição automatica para descas- cadores de café."
"3.604";"12";"Rose Gold Reclamation Company.";"Estados Unidos da America do Norte.";"Processo de separação das particulas de metaes preciosos ou relativamente preciosos e sua re- cuperação do corpo de outra materia ao qual estão unidos."
"3.605";"16";"Miranda, Alves & Macedo.";"Capital Federal.";"Bolsa ou carteirinha de cigarros."
"3.606";"21";"Pedro Rocha";"Republica Argentina";"Novo insecticida, denominado "" Insecticida Rocha""."
"3.607";"21";"Joaquim Leocadio Freira";"Estado de S. Paulo";"Novo systema de fabricação de assuear por evapo- ar ração atmospherico crystallisação pela barbotagem do e obtidos combinada com a absorpção de calor de diversae-fontes,"
"3.608 3.609";"21 de junho de 1902. 21";"Augusto Carlos da Silva Telles e Luiz Goffredo de Escragnolle Taunay.";"Estado de S. Paulo";"Utilisação industrial do lenhoso e dos residuos das plantas de que é extrahida a fibra aramina quer para o preparo da massa do papel, quer para artefactos, briquettes ou conglomerados."
"3.610";"21";"Eduardo Gomes Ferreira Heinrich Christian Schlichter.";"Capital Federal.";"Aperfeiçoamentos em acabamento dos tecidos de algodão, linho ou outros."
"3.611 3.612";"26 26";"Dugald Drummond Emile Maslin";"Allemanha Inglaterra";"Aperfeiçoamentos em installações destinadas a de- puração da agua. Systema de para-fagulhas para locomotivas e outras machinas."
"3.613";"26";"Leo G. Heist e Charles J. Wilson.";"França. Estados Unidos da America do Norte.";"Aperfeiçoamentos nos processos de aquecimento para caldeiras fim. a vapor ou outros apparelhos para esse Combustor aperfeiçoado para oleos hydrocarburetos."
"3.614 3.615";"26 26";"Julius Funcke";"Allemanha";"Machina rotativa para imprimir em cores nas duas faces da folha de impressão."
"";"";"Murray Corrington e Frank Le- mont Dodgson.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos nos signaes pneumaticos para estradas de ferro."
"3.616 3.617";"27 30";"Manoel Antonio Guimarães. Frederico Ribeiro Penna";"Capital Federal. Idem";"Novo modelo de vehiculos para venda ambulante de quaesquer mercadorias. Coupons economicos destinados unica e exclusiva- mente a evitar o desvio das rendas das compa- nhias ferro-carris."
"3.618)";"4 "" julho";"Companhia Mecanica e Importadora des. Paulo.";"Estado de s. Paulo";"Machina destinada a separar café descascado,"
"3.619 3.620";"4 4";"Arthur Oscar Ferreira Rangel Idem";"Capital Federal.";"deno- minada "" Separador de café tela sem fim "". Systema luloidinos>>. aperfeiçoado de retratos, denominados ""Cel-"
"3 621";"4";"Alphonse Denaeyer";"Idem Belgica";"Buril electrico."
"3.622";"4";"Andres Luis Cardo";"";"Novo processo de fabricação de productos lacteos e especialmente de cacáus e chocolates lacteos."
"3.623";"5";"Mme. Francillon Kraus.";"Republica Argentina";"Cuspideiras aperfeiçoadas."
"3.624";"5";"Carlos Pepe";"Capital Federal.";"Collete Francillon>. para senhoras, a que denominou Collete"
"3.625";"9";"Salvatore Dinaro.";"Estado de Minas Geraes. Italia";"Machina de picar fumos,denominada <Machina Pepe""."
"3.626";"9";"Luis Maurice Lafontaine";"Inglaterra";"Apparelho de segurança para a circulação dos trens nas vias ferreas."
"3.627";"9";"Ulric Civry.";"França";"Novo aperféiçoado processo para purificar, bran- quear e refinar assucar."
"3.628";"11";"Francis Cornwall Taylor e C.";"";"Aperfeiçoamento em freios de vehiculos."
"3.629";"12";"Stockle Arens Irmãos";"Capital Federal. Idem";"Novo processo de imprimir com diversas cores on tons por uma só impressão, em machinas de im- pressão commum."
"3.630";"12,";"Arens Irmãos";"";"Separador para café, cereaes, somentes ou outras substancias em grãos misturados ou não com estra- nhes, denominado <Separador Kohimoer""."
"";"";"";"Capital Federal.";"Separador de café, cereaes, sementes e outras tativo Guarany>. substancias em grãos, denominado ""Separador ro-"
"3.631";"12,";"Druitt Halpin";"";""
"3.632";"12";"Ignacio Lazaga.";"Inglaterra. Cuba";"Apparelho de armazenagem thermica em connexão com caldeiras a vapor. Machina aperfeiçoada para empacotar artigos de pequenas dimensões."
"3.633";"12 de julho de 1902.";"Albert Charles Joseph Grosjean.";"França.";"Novo processo para coagulação da borracha."
"3.634";"19";"Antonio Ferreira Pinto da Fonseca.";"Capital Federal.";"Nova geladeira systema"
"3.635";"1 de agosto";"Marconi's Wireless Telegraph Com- pany Limited.";"Inglaterra.";"Aperfeiçoamentos em apparelhos para telegraphia sem fios."
"3.636";"1 """;"Luiz Felippe Freire de Aguiar";"Capital Federal.";"Apparelho desinfectador automatico, denominado <<Simplex>>."
"3.637 3.638";"1"" 4""";"Sterling Elliott. Eduardo Gomes Ferreira.";"Estados Unidos da America do Norte.";"Machina aperfeiçoada para recortar, estampar ou imprimir lettras, figuras, etc., em tiras metallicas."
"3.639";"4""";"Eduardo Gomes Ferreira";"Capital Federal. Idem.";"Aperfeiçoamentos em lançadeiras para teares me- canicos e outros. Lançadeira aperfeiçoada para teares mecanicos e outros."
"3.640";"";"Bernardino Capella";"Idem.";"Novo apparelho de pesca, denominado Cercado- flucto-movel"""
"3.641 3.642";"6""";"Andre Tramu Franz Eugene Müller";"Idem. Allemanha.";"Preparado para conservação de couros e pelles, de- nominado <<preparado Tramu"". Aperfeiçoamentos em ou relativos a Geleira."
"3.643";"";"Oscar Spalding.";"Estado do Rio Grande do Sul.";"Machina para raspar mandioca, denominada ""Ras- padora de mandioca>."
"3.644";"13";"João Vasques e Pedro Brassi.";"Capital Federal.";"Apparelht denominado <<appada Progresso>."
"3.645";"14";"Germano Eugenio Vidal.";"Idem.";"Nova de"
"";"";"";"";"applicação figurar com propriedades este- reoscopicas, na decoração de quaesquer productos profissionaes, commerciaes, industriaes etc., com o fim de augmentar o seu valor, a sua belleza e ampliar a sua utilidade."
"3.646";"16";"José Custodio s. Spinola";"Estado de Minas Geraes.";"Elevação ou transporte do café por meio do ar, em machinismo para café."
"3.647";"16";"Hector De Rocco.";"Republica Argentina";"Valvula inviolavel para garrafas ou outro qual- quer vasilhame."
"3.648 3.649";"16 25";"Manoel Gomes & Comp. Alcide Barillet.";"Capital Federal. Idem";"Aperfeiçoamentos em combustores de alcool para illuminação por incandescencia. Apparelho destinado a dar movimento a pequenas embarcações, denominado Velomano Bariller""."
"3.650";"27";"Victor P. D. Knight";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em canhões automaticos de tiro rapido."
"3.651";"27";"Raul da França Ribeiro";"Capital Federal.";"Indicador de estações de estradas de ferro e seme- lhantes."
"3.652 3.653";"2 de setembro de 1902. 2""";"Pedro Antonio Borges. Adolpho Nagel.";"Estado de s. Paulo. Idem.";"Apparelbo para matar formigas, denominado ""Des- truidor Lofgren"" Machina para tirar caroços ou semantes das fru- tas."
"3.654";"";"Carlos Mika de Magalhães.";"Capital Federal.";"Preparado denominado ""Mikalina"", para extincção de insectos."
"3.655";"";"Manoel Antonio Guimarães";"Idem.";"Apparelho denominado ""Vendedor hygienico-ambu- lante""."
"3.656";"";"Pedro Pellegrino.";"Idem.";"Idem, idem Flexomoto"", destinado a alternar o balanço dos vehiculos quando em movimento."
"3.657";"";"Luiz Felippe Freire Aguiar";"Idem.";"Apparelho desinfectador aperfeiçoado,"
"3.658";"";"Agostinho Pinto Cardoso";"Idem.";"Apparelho para ajudar a fiscalização dos bonds."
"3.659";"5 de setembro de 1902.";"Emmet Horton.";"Estados Unidos dal America do Norte.";"Aperfeiçoamentos em machinas para fabricar cestos."
"3.660";"5""";"Roberto Clark";"Estado de S. Paulo";"Machina para limpar café em côco miudo, deno- minada ""The Dairy Brunior - Descascador>."
"3.661";"6 x";"Eduardo Mezergues e Armand Da- verat.";"Capital Federal.";"Systema de tornar os tecidos impermeaveis, deno- minado ""Systema Isolador Mezergues""."
"3.662";"6";"Bernardino Ferreira da Costa e Souza";"Idem";"Meio aperfeiçoado de esfriamento do ar."
"3.663";"";"Cecil Robert Hillman.";"Estado de S. Paulo";"Systema de para-choque central e engate para ve- hiculos de estradas de ferro."
"3.664";"";"Affonso Coelho Seabra.";"Estado do Rio de Janeiro";"Turbina motora immersa, denominada Turbina livre""."
"3.665";"13";"Luiz Nicolau Duffrayer e Guilherme Augusto de Faria.";"Capital Federal.";"Apparelho denominado ""Mictorio systema Duf- frayer""."
"3.665 3.667";"15 19";"José Pinto Rodrigues de Brito. Arens Irmãos";"Idem";"Nova peça dos chamados apparelhos sanitarios das habitações que denominou ""Cuspideira de lavagem continua."""
"3.668";"19";"Emmet Horton.";"Idem Estados Unidos da America do Norte.";"Apparelbo para limpar e desentupir quaesquer esteiras ou peneiras e especialmente as empre- gadas em machinas para separar e classificar os grãos de café, cereaes, sementes ou substancia, em grão, misturados ou não com outros corpos, denominado Escova oscillante>. Novos aperfeiçoamentos em machinas para fabricar cestos."
"3.669";"19";"Adolpho Chaumont";"Belgica";""
"3.670";"22";"";"";"Dispositivo para verificar e obter instantanea e exactamente a regulação dos freios de ar compri- mido, segundo o curso de embolo no cylindro."
"3.671";"";"Luiz de Toledo Piza e Almeida";"Estado de S. Paulo";"Novo producto industrial extractivo, contendo toda a materia corante e todos os principios nu- tritivos organolepticos e aromaticos do café tor- rado, quebrado e moido."
"";"27";"Ernesto José de Gommés Britto.";"Capital Federal.";"Invenção que denominou ""Annuncios instructivos>>."
"3.672 3.673";"27 27";"A. Alvares Penteado. Geraldo Dannemann.";"Estado de S. Paulo Estado da Bahia";"Applicação da fibra de um vegetal da familia das malvaceas á fabricação dos tecidos, cordames e artigos semelhantes. Painel translucido aperfeiçoado para annuncios,"
"3.674 3.675";"27 27";"Reginald Aubrey Fessenden";"Estados Unidos da America do Norte.";"Systema de transmissão de força e signaes por ondas electro-magneticas."
