"";"N";"CONCESSIONARIO";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"202";"1.238";"Luiz G. Bordes";"Buenos Ayres";"Novo amassador economico para pão, bolachas, roscas e outros productos similares.";"";""
"203";"1.239";"Jorge Cavalcante Ribeiro Pessoa.";"Capital Federal.";"Processo para o fabrico de cimento de pega lenta, composto de calcareo e argilla refracta- ria, destinado ás obras hydraulicas.";"";""
"204";"1.240";"Abel Barreto Pinto.";"Idem";"Processo antiseptico para a conservação das carnes, com o auxilio da electricidade.";"4";""
"205";"1.241";"Agostinho José Soares Brazil.";"Idem.";"Apparelho denominado-Fumigador Hygienico- movido pela tracção animal.";"";""
"206";"1.242";"Manoel Moreira Dias.";"Idem";"Apparelho denominado-Illapso-para carrinhos tírados á mão";"";""
"207";"1.243";"Padre José Amani";"Estado de S. Paulo";"Apparelho denominado - Motor hydraulico fluc- tuante - destinado ao aproveitamento, como força motriz, das correntes fluviaes e mari- timas,";"3 de Julho";"15 annos,"
"203";"1.214";"João Baptista Gomes de Amorim.";"Capital Federal";"Pyramide Cosmos, cujo interior póde ser trans- formado em casa de negocio.";"";""
"209";"1.245";"Giuseppe Gibelle";"Idem.";"Novo deseccador mecanico para café,";"";""
"210";"1.246";"José Teixeira de Carvalho Junior";"Idem";"Processo de preparar as fibras das plantas guaxima, malva e pitta, para serem appli- cadas ao fabrico de corda e similares.";"18";""
"211";"1.247";"João José do Rego Nunes";"Idem.";"Applicação nova de fibras vegetaes ás indus- trias de tecidos, cordoalhas, barbantes e papel";"";""
"212";"1.248";"James Gresham";"Inglaterra";"Aperfeiçoamentos nos freios automaticos de vacuo ou applicaveis a este.";"";""
"213";"1.249";"Thomaz Clarckson.";"Idem.";"Concentradores aperfeiçoados e classificadores centrifugos de minereos";"";""
"214";"1.250";"Floduardo Santos y Ravaza";"Montevidéo.";"Novo systema de estribos de bonds.";"";""
"215";"1.251";"Antonio do Nascimento Silva, Luiz Barbosa Madureira Freire, Pascoal Cavalière, José Cavalière e Francisco Trotta.";"Capital Federal";"Carro Transporte de Cibo, destinado á remoção dos restos de alimentação das casas parti- culares, hoteis, etc.";"25";""
"216";"1.252";"Gian Dominico Segui.";"Idem";"Systema de telhas para coberturas de casas.";"";""
"217";"1.253";"Castanheda & Comp.";"Idem.";"Nova machina de bordar até tres fios.";"";""
"218";"1.254";"Alexander Francis Garden Brow.";"Escessia";"Machinas rotativas aperfeiçoadas";"";""
"219";"1.255";"Leger Palmer";"Estado de Rio do Janeiro";"Forno continuo para queimar mariscos, con- chas, ou materias da mesma natureza com o fim de fabricar cal";"29";""
"220";"1.256";"Julio Micheli e Luiz Pucci.";"Estado de s. Paulo.";"Systema de calçamento de madeira para ruas";"";""
"221";"1.257";"Max van Gulpen.";"Prussia.";"Apparelhos aperfeiçoados de fabricar torcidas) de fumo para charutos";"29 de Julho";"15 annos."
"222";"1.258";"Francis Edward Elmore e Alexander Stan- ley Elmore.";"Inglaterra";"Aperfeiçoamentos nos apparelhos para a fabri- cação de tubos metallicos por meio da elec- trolyse e especialmente nos mandrins sobre os quaes o metal e depositado.";"";""
"223";"1.259";"Emilio Chasseraux & Comp.";"Capital Federal";"Pharol annunciador mecanico.";"";""
"224";"1.260";"Augusto de Meritens";"Pariz.";"Nova pilha electrica";"";""
"225";"1.231";"José Eduardo Mercadante.";"Capital Federal";"Apparelho destinado a purificar e desinfeccionar a agua, denominado - Hydro-hygienico.";"1 de Agosto.";""
"226";"1.262";"o mesmo";"Idem.";"Apparelho para desinfeccionar denominado - Hydro-desinfectante automatico.";"";""
"227";"1.263";"o mesmo.";"Idem";"Apparelho denominado - Observatorio Portatil";"";""
"228";"1.264";"João Gonçalves de Albuquerque e Frederico Carlos da Cunha";"Idem.";"Pulsor hydraulico";"";""
"229";"1.265";"Arthur Prado de Queiroz Telles, Aurelio Au- gusto Vaz, Manoel Vaz e José Pinol.";"Estado de s. Paulo";"Carvão artificial e respectivos apparelhos.";"";""
"230";"1.266";"Augusto Lecouflé";"Capital Federal";"Melhoramentos no fabrico dos relogios deno- minados - Americanos - de parede e de cima de mesa";"8";""
"231";"1.267";"Genaro Manfredi.";"Idem.";"Apparelho denominado - Serra Diamantina - destinado a serrar rochas.";"24";""
"232";"1.268";"Alfredo Eduardo Nogueira e Tobias Becher";"Idem.";"Systema de illuminação electrica, denominado - Nogueira Becker.";"";""
"233";"1.269";"Manoel Lins da Costa Braga.";"Idem.";"Processo para fabricar pentes, escovas, botões e outros objectos";"";""
"234";"1.270";"Luiz Fortunato de Brito.";"Idem.";"Applicação nova da fibra da planta denominada - Tucum - á fabricação de linho e lã.";"26";""
"235";"1.271";"George William Spitle";"Estado do Rio de Janeiro.";"Desviador automatico de descargas atmosphe- ricas para proteger os apparelhos telegra- phicos e telephonicos";"";""
"236";"1.272";"Augusto Harper Raignel Guiley.";"E. U. da America do Norte";"Systema de signaes (block systems) electricos aperfeiçoados para caminhos de ferro.";"";""
"237";"1.273";"Gustave Louis Robert";"Pariz.";"Processo de fabricação dos ferros refinados e aços fundidos, e apparelhos para o mesmo fim";"";""
"238";"1.274";"Emile Augnsttn Barbet.";"Pariz";"Processo permittindo obter a purificação im- mediata das aguardentes de canna e outras aguardentes naturaes e apparelhos para esse fim";"26 de Agosto.";"15 annos"
"239";"1:273";"Jean Marie Anatole Gérard";"Idem.";"Tratamento aperfeiçoado e dessecação da turfa";"";""
"240";"1.276";"Charles León Bacherie.";"Argenteuil";"Processos aperfeiçoados para conservar sub- stancias organicas e apparelhos para este fim.";"29";""
"241";"1.277";"Felix Kwakewsky";"Capital Federal";"Novo systema de construcções, denominado "" Edifícios mixtos ygienico-economicos";"";""
"242";"1.278";"Antonio Dutra de Souto Vargas e José Pinto de Araujo";"Idem.";"Novo systema de seccar e queimar tijolos e ontros productos de ceramica, denominado "" Systema Progresso Araujo & Vargas>";"";""
"243";"1.279";"Felix Julio Gregorio Frambolt,";"Pariz";"Novo processo de cravação e armadura de diamantes e outras pedras duras, applicado em apparelhos de lavrar o marmore, o gra- nito e em geral as pedras de todas as qua- lidades.";"";""
"244";"1.280";"Manoel Corrêa de Almeida e Adolpho Leyret.";"Capital Federal";"Machinas para a força motriz das marés, para fazer subir as aguas em grande quantidade para lavagem de esgotos e outros mysteres e mesmo luz electrica e ar comprimido";"";""
"245";"1,281";"José Joaquim Alves do Barcellos.";"Estado do Rio de Janeiro";"Nova applicação das leis physicas de disso- lução e saturação do processo usual da fa- bricação de assucar de canna, denominado << Processo Industrial Barcellos";"";""
"246";"(884)";"Victor Poppe";"Pariz.";"Melhoramentos introduzidos na sua invenção privilegiada de um systema de apparelhos e conjuncto de installação para distribuição do ar comprimido";"1 de Setembro";"Em quanto V1- gorara patente primitiva. 15 annos,"
"247";"1.282";"Société Générale de Maltose.";"Bruxellas";"Aperfeiçoamentos em processos de fermentação";"";""
"218";"1.283";"|John Henry Neave.";"(Inglaterra";"A perfeiçoamentos na fabricação de chapéos e) apparelhos para este fim.";"1 de Setembro.";"15 annos."
"219";"1.284";"Francisco Trota e José Cavalière";"Capital Federal";"Apparelho para ser applicado aos fornos e com o flm de substituir a lenha pelo carvão de pedra";"";""
"250";"1.285";"Augusto Barbosa";"Idem.";"Processo de movimentos de aguas.";"";""
"251";"1.286";"Manoel Felippe de Souza Leão";"Idem";"Fabricação de banha de porco consistente e hygienica, denominada "" Sul Americana";"";""
"252";"1.287";"Atilio de Petris";"Idem.";"Fabricação de carvão de pedra artificial";"";""
"253";"1.288";"Juan Gatell";"Idem.";"Systema de portas rotativas de aço";"3";""
"254";"1.289";"o mesmo";"Idem.";"Machina distribuidora de perfumarias liquidas pela acção de uma ou varias moedas";"";""
"255";"1.290";"Manoel Felippe de Souza Leão.";"Idem.";"Fabricação da manteiga nacional, hygienica, legitima da nata do leite, denominada "" Sul Americana""";"";""
"256";"1.291";"Samuel Ami Bataillard.";"Estado do Rio de Janeiro";"Machina para matar formigas";"";""
"257";"1.292";"Juan Gatell, Alfredo Garcia e Pedro Pons.";"Idem.";"Machina parn estampar tecidos";"";"TR"
"258";"(803)";"Companhia Industrial de Olaria";"Capital Federal";"Melhoramentos introduzidos na invenção privi- legiada de um forno de effeito continuo e car- gas moveis denominado Systema Zeymer """;"12";"Em quanto du- rar a patente primitiva."
"259";"1.293";"Syndicato Argentino do Gaz de Agua";"Republica Argentina";"Systema de depuração do gaz de agua, carvão de pedra, lenha e fabricação de hydrogeneo directamente com a eliminação do anhydro carbonico";"";"15 annos,"
"260";"1.294";"Guilherme Luiz Klier";"Capital Federal";"Telha aperfeiçoada, systema Klier";"";""
"231";"1.295";"George Middleton e William Reid";"Iden.";"Descascador de café aperfeiçoado";"";""
"262";"1.206";"Joseph Baker & Sons.";"Londres";"Aperfeiçoamentos em fôrnos de padeiro";"";""
"263";"1.297";"Nicolas Lucien Le Turcq des Rosiers e Abraham Martin.";"Do 1° em Pariz e do 2° em Inglaterra";"Apparelhos e processos aperfeiçoados applica- veis ã torrifação, compressão e empacota- mento de café e outros productos similares";"";""
"264";"1.298";"Manoel de Vargas Leal.";"Estado da Bahia.";"Novo systema de apparelhos de alambiques distilladores de aguardente e alcool, deno- minado ""Alambique Vargas""";"12 de Setembro.";"15 annos."
"235";"1.299";"Gabriel Lemoine.";"Estado de s. Paulo.";"Apparelho destinado a fazer parar instanta- neamente qualquer vehiculo, denominado <<Breack instantaneo de pedal""";"18";""
"266";"1.300";"Friederize e Strenitz.";"Allemanha";"Novo systema de machina para lavar roupa";"";""
"267";"1.301";"Harry Barringer Cox.";"E. U. da America do Norte.";"Geradores thermo-electricos aperfeiçoados.";"";""
"268";"1.302";"Manoel Fernandes Lopes Guedes.";"Estado de S. Paulo";"Novo ventilador, limpador de café, denomi- nado Ventilador limpador Guedes";"";""
"269";"1.303";"Maurice Eliseé Hutin e Charles Leonard Armand Maurice Leblanc.";"França,";"Nova machina dynamo-electrica receptora para correntes alternadas.";"";""
"270";"1.304";"Frederick Charles Miller.";"E. U. da America do Norte.";"Machinas aperfeiçoadas de enrolar as torcidas de charuto.";"";""
"271";"1.305";"Philipp Henry Holmes";"Idem.";"Nova composição destinada a formar supportes ou mancáes e conductores electricos";"";""
"272";"1.306";"Jean Scherbel";"Allemanha";"Novo methodo e apparelho para fabricação de caixilhos de papelão, couro, folhas de ma- deira e materias analogas.";"25";"."
"273";"1.307";"Arnaldo Soares da Silva.";"Capital Federal";"Novo systema de illuminação de letreiros e dis- ticos para carroagens e wagons de tramways e linhas ferreas e outros vehiculos, bem como para embarcações e edificios, denominado Lampada pharól"".";"";""
"274";"1.308";"Ferreira, Moreira & Comp.";"Idem.";"Lixa brazileira.";"";""
"275";"1.309";"Luiz Raspantini e João Antonio da Silva Peres";"Estado do Rio de Janeiro.";"Producto novo a que denominaram <<Asphalto artificial Raspanitini>";"";""
"276";"1.310";"Constantino Pereira da Cruz Magalhães, Antonio Marques Camacho e Antonio José Caetano";"Capital Federal";"Applicação da palmeira da carnaúba ás artes e industrias";"";""
"277";"1.311";"Valdemar Flohr Mathiessen";"Capital Federal";"Vendedor automatico";"25 de Setembro.";"15 annos."
"278";"(734)";"Bento Xavier";"Estado de Minas Geraes";"Melhoramentos introduzidos na sua invenção privilegiada de um processo para a conser- vação do leite puro";"30";"Emquanto vigo- rar a patente primitiva n. 734"
"279";"1.312";"Francisco Trotta.";"Capital Federal.";"Novo tijolo architectonico";"";"15 annos."
"280";"1.313";"Manoel Machado Toledo,";"Idem.";"Navio submarino e fluctuante a cylindros mo- veis";"";""
"281";"1.314";"o mesmo.";"Idem.";"Navio submarino e fluctuante a cylindros fixos";"";""
"282";"1.315";"o mesmo.";"Idem";"Areostato";"";""
"283";"1.316";"Seul Severino da Silva.";"Idem.";"Apparelho para a fabricação de tijolos, deno- minado <<Guanabara""";"";""
"284";"1.317";"Xavier Santero.";"Idem.";"Bilhete carteira annunciador para bonds, es- tradas de ferro e espectaculos,";"10 de Outubro.";""
"285";"1.318";"Juan Garcia Villarraza, Xavier Santero e Alfredo Eduardo Nogueira.";"Idem";"Novo systema de annuncios.";"";"es"
"286";"1.319";"Joaquim Magriani";"Estado de S. Paulo";"Escada mecanica aerea";"";""
"287";"1.320";"Joseph Philipp Wileman.";"Capital Federal";"Novo systema de preparação e disposição dos corpos encandescentes, destinados á produc- ção de luz por meio do gaz de agua e hydro- geneo puro.";"17";""
"288";"1.321";"Amedée Victor Derbés.";"Idem";"Novo systema de tijolos para paredes ou sepa- rações internas das casas,";"";""
"289";"1.322";"Carlos Baptista de Assis Figueiredo, Emile Desray e Fritz Glatthardt.";"Idem";"Nova preparação do pello e pelles dos animaes amphybios e terrestres para chapelaria e outras industrias.";"";""
"290";"1.323";"Jules Cleret";"Nova-York.";"Novo systema de machinas para a fabricação de botões de madreperola";"";""
"291";"1.324";"Borbecker Maschinenfabrik und Giesserei.";"Allemanha";"Novos fornos de padaria";"20";""
"232";"1.325";"A mesma.";"Idem";"Amassadores de farinha, aperfeiçoados.";"";""
"293";"1.326";"Joaquim Abilio Borges e Asclepiades José Jambeiro";"Capital Federal";"Processo para a fabricação de novos metaes, denominados-prata artiricial e ouro artificial.";"";""
"294";"1.327";"Manoel da Silva Bueno Filho";"Capital Federal";"Apparelho denominado - Carril Fluvial - que tem por fim elevar e dirigir navios na transpo- sição de cachoeiras e baíxios.";"22 de Outubro.";"15 annos."
"295";"1.328";"Affonso Luiz Fernandes da Cunha";"Idem.";"Novo apparelho para evitar desastres nas es- tradas de ferro.";"31";""
"296";"1.329";"Francisco Gonçalves de Siqueira.";"Idem.";"Apparelho denominado - Estrada de Ferro Aerea Invencivel.";"7 de Novembro";""
"297";"(148)";"Companhia Mecanica e Importadora de s. Paulo.";"Estado de s. Paulo.";"Melhoramentos introduzidos na invenção privi- legiada pela patente n. 148.";"14";"Emquanto durar a primitiva pa- tente."
"298";"1.330";"Samuel Alves de Azevedo.";"Idem.";"Melhoramentos introduzidos no fabrico dos phosphoros.";"";"15 annos."
"290";"1.331";"Francisco Aurelio de Figueiredo";"Capital Federal";"Novo carro destinado á venda e transporte de mercadorias, denominado - Mergado Ambu- lante.";"";""
"300";"1.332";"Caetano da Costa Moreira e Thomaz Holnes.";"Estado de Pernambuco.";"Processo aperfeiçoado de fabricar cimento.";"";""
"301";"1.333";"Luiz Felippe Freire de Aguiar e Carlos Nas- centes de Magalhães.";"Capital Federal";"Applicação da mica e malacacheta como isolador da electricidade, e por conseguinte sua appli- cação para postes telegraphicos e telepho- nicos a dos effeitos de isolador electrico e outros fins semelhantes.";"";""
"302";"1.334";"Charles Metard.";"Montevidéo.";"Arandella (bobechan) metallica luminosa.";"18";""
"303";"1.335";"Effisio Cogliete.";"Estado de s. Paulo,";"Systema de casas de banhos.";"";""
"304";"1.336";"Botelho, Teixeira & Auler";"Idem. ";"Machina de separar o café das pedras, denomi- nada - Separador de pedras Teixeira";"";""
"305";"1.337";"Joaquim c. de Oliveira e Silva e Antonio Martins dos Santos.";"Capital Federal";"Novo systema de tirar amostras de café sem de- teriorar os saccos, e apparelhos para esse fim.";"";""
"306";"1.338";"Manfred Meyer e Jules Martin.";"Estado de s. Paulo.";"Novo systema de cartas para jogar, denomi- nado - Baralho brazileiro.";"";""
"307";"1.339";"Carl Thomas Blanch Brain.";"Inglaterra";"Aperfeiçoamentos nos tram ways ou caminhos de ferro electricos, ou outros em que os vehiculos sejam tirados por uma força transmittida de longe.";"19 de Novembro";"15 annos."
"308";"1.340";"Etienne Bussière.";"Estado do Rio de Janeiro.";"Applicação da bomba dita Carneiro hydraulico ao reservatorio accumulador de pressão";"";""
"309";"1.341";"Jorge Henrique Klier";"Estado de s. Paulo.";"Apparelho denominado-Incinerador Continuo, destinado a incineração do lixo.";"";""
"310";"1.342";"Samuel Lendert Hinzer.";"Hollanda.";"Seccador para café, cacáo e outros productos.";"";""
"311";"1.343";"Joseph Philipp Wileman";"Capital Federal.";"Producção economica do hydrogenio e oxydo de carbono, separado ou conjunctamente na fórma de gaz de agua para illuminação e gaz gerador ou siemens para combustivel";"";""
"312";"1.344";"Daniel Martin Lamb";"E. U. da America do Norte";"Nova pilha electrica";"";""
"313";"1.345";"François De Doneker";"Capital Federal.";"Apparelho denominado - Comburente.";"";""
"314";"1.346";"João Baptista Gustavo Gautier.";"Estado de s. Paulo";"Novo systema de motor rotativo";"20";""
"315";"1.347";"João Machado Nunes";"Capital Federal.";"Apparelho denominado - Couraça de Segurança";"";""
"316";"1.348";"De Morgan Snell & Comp.";"Londres";"Systema para receber, classificar, pesar, limpar, beneficiar e armazenar café, outrosim ventilar, pesar, ensacar e entregar á medida que qual- quer ou todas essas operações forem precisas.";"";""
"317";"1.319";"Guglielmo Toselli.";"Italia.";"Novo processo aperfeiçoado de fabricação de sal marinho";"";""
"318";"1.350";"Frederico Walter";"Londres";"Processo aperfeiçoado de carregar gazes nas gar- rafas, para expellir os liquidos velhos contidos";"";""
"319";"1.351";"John Sydan";"Nova York";"Tubos automaticos de juncção ou emparelha- mento para carros de caminhos de ferro.";"";""
"320";"1.352";"William Robinson";"E. U. da America do Norte";"Novo carro motor electrico.";"";""
"321";"1.353";"Arthur Thomaz Collier.";"Inglaterra";"Transmissores telephonicos aperfeiçoados";"";""
"322";"1.354";"Elmo Eugenio e Felippe Pappadia.";"Capital Federal.";"Freio accumulador de força para bonds e wa- gons de estradas de ferro";"";""
"393";"1.355";"Os mesmos.";"Idem.";"Apresto para obter a luz electrica nos wagons";"";""
"324";"1.356";"João Gonçalves de Albuquerque e Frederico Carlos da Cunha.";"Idem.";"de estradas de ferro Locomovel a gerador de vapor instantaneo inexplosivel";"";""
"325";"1.357";"João Baptista Alves de Oliveira.";"Capital Federal";"Tijolos Progresso";"20 de Novembro";"15 annos."
"326";"1.358";"Leon Julien e Leopoldo Guarré.";"Idem.";"Systema de forno economico para cozimento de louças, tijolos, telhase cimento,";"12 de Dezembro";""
"327";"1,359";"Arthur Thomaz Collier.";"Inglaterra";"Telephones electro-magneticos aperfeiçoados.";"19";""
"328";"1.360";"Dr. Paul de Susini";"Pariz.";"Novo motor de vapor de ether";"";""
"329";"1.361";"Société Nouvelle de Constructions Système Tollet";"Idem.";"Systema de construcções moveis e transporta- veis ou fixas, para hospitaes, ambulancias, quarteis e outras distinações.";"";""
"330";"1.362";"Charles H. Ward";"Capital Federal";"Novo systema de preparar carvão, com espe- cialidade carvão vegetal, e fabrico de com- bustivel aperfeiçoado, economico e compacto.";"";""
"331";"1.363";"Michele D'Anna";"Estado de S. Paulo";"Berço com movimento automatico";"";""
"332";"1.364";"Everard Hesketh e Alexander Marcet";"Londres.";"Aperfeiçoamentos nos meios a empregar, re- ferentes a refrigerar ou esfriar carnes e outros artigos.";"26";""
"333";"1.365";"Alfredo Fernandes de Castro Bravo";"Capital Federal";"Cognac de seiva de pinheiro e balsamo de tolú.";"";""
"334";"1.366";"James William Du Laney e Charles Fran- klin Du Laney.";"Estados Unidos da America do Norte.";"Mecanismo de dar corda aos relogios electrica- mente.";"";""
"335";"1.367";"Dr. Charles Berthand";"Estado de Minas Geraes";"Novo systema de encanamento das aguas mine- raes, gazozas, ferruginosas, bicarbonatadas, thermaes e sulphurosos, permittindo condu- zil-as a qualquer distancia sem perda de suas propriedades naturaes.";"";""
"336";"1.368";"Eugenio de Lacerda Franco.";"Estado de s. Paulo";"Seccador aperfeiçoado apropriado á secca do café e outros corpos grantlados, denominado Novo Seceador Lacerda";"";""
"337";"1.369";"José Augusto de Souza Menezes";"Capital Federal";"Processo especial para tornar malleaveis os objectos corneos (chifres) e barbatanas de peixe";"26 de Dezembro";"15 annos"
"338";"1.370";"Henry Thompson, Samuel Wilkes e Carlos Adans Reeds";"Do 1° nesta Capital Federal e dos 2° e 3° no estado do Rio de Janeiro.";"Systema de machinas para descascar café";"29";""
"339";"1.371";"Sigismund Basen Wortmann,";"New York.";"Movimentos mecanicos aperfeiçoados";"";""
"340";"1.372";"Frederico Carlos da Cunha e João Gonçal- ves de Albuquerque";"Capital Federal";"Bonds a vapor instantaneo e inexplosivel";"";""
"311";"1.373";"Charles H. Ward";"Idem.";"Novo processo de moer e comprimir carvão, especialmente vegetal, em combinação com outro qualquer material, formando novo com- bustivel";"";""
