"";"N";"CONCESSIONARIO";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"46";"1.085";"José Baxeres Albugarzy";"Cidade do Porto.";"Aperfeiçoamentos na extracção de metaes dos mineraes e outras materias metalliferas, bem como nos fórnos e apparelhos respectivos.";"";""
"47";"1.086";"Vicente Paela.";"Capital Federal.";"Novo forno de camara annullar.";"";""
"48";"1.087";"Francisco Chierini.";"Turim";"Apparelhos - Escaldador a petroleo para cal- deiras a vapor e relativas cisternas isoladas para deposito de petroleo";"23";""
"49";"1.088";"Joaquim Candido da Silveira Carvalho";"Capital Federal";"Machina Levegadora, destinada a alisar e en- gommar palhas de milho para a fabricação de cigarros";"";""
"50";"1.089";"Jacintho Paes da Costa";"Idem.";"Novo systema de tijolos denominado - Systema Paes.";"18 de Março.";"37"
"51";"1.090";"Pedro J. Portilho";"Montevidéo";"Systema de construcção de casas fixas ou por- tateis pelo systema Monier.";"";""
"12";"1.001";"Fenelon de Castro Souza.";"Capital Federal";"Processo aperfeiçoado de fabricação de chumbo de munição";"";""
"53";"1.092";"Hugo Bregamini";"Idem.";"Systema refrigerador applicavel ás salas de todos os edifícios.";"";""
"54";"1.093";"Candido Franco de Lacerda.";"Cidade de s. Paulo.";"Novo apparelho e machina de beneficiar café, ventilal-o e classifical-o, e outros grãos, de- nominado - Ventilador café.";"";""
"55";"1.034";"Antonio Luiz da Silva";"Capital Federal";"Applicação nova da madeira do - Fagús silves- tris - e outras plantas da familia das Cupulife- ras á fabricação de moveis curvados, conheci- dos por austriacos.";"";""
"56";"1.095";"Companhia Melhoramentos des. Paulo";"Idem";"Processo de fabricação de madeira petrificada.";"";""
"57";"1.096";"Augusto Candido Gomes.";"Estado de S. Paulo";"Isolador anti-hygrometrico.";"";""
"58";"1,097";"Alexandre Stanley Elmore";"Inglaterra";"Processo aperfeiçoado de fabricação de tubos, laminas, tiras e fios de cobre por meio da electroyse e nos apparelhos empregados nesse processo";"19 de Março";"15 annos,"
"59";"1.098";"Electrolitration Company.";"Washington";"Systema aperfeiçoado de tratar as doenças com fios metallicos";"";""
"60";"1.099";"Richard Hathfield";"Inglaterra";"Machinas aperfeiçoadas para revestir folhas metallicas de metaes ou ligas de metaes.";"";""
"61";"1.100";"Thomaz Ralph Douse.";"Londres";"Apparelho abafador e indicador electrico de in- cendios.";"";""
"62";"1.101";"Adrian Loan, Cornelis Loan e Diek Loan.";"Hollanda.";"Novo systema de construcção de vasilhas para encerrar queijos";"";"18"
"63";"1.102";"Paul Philippe Français.";"Capital Federal.";"Processo de utilisação das plantas indigoferas para formação do anil por meio dos carbonatos e hydratos de ammoniaco e outros alcalis com auxilio do oxygeno.";"";""
"64";"1.103";"José Eduardo Mercadante";"Idem";"Methodo para fabricação do sal denominado - Systema rapido continuo";"23";""
"65";"1.104";"Emilio Ascagne Salvador.";"Cidade de S. Paulo.";"Processo para fabricação da cellulose extrahida das fibras indigenas.";"";""
"66";"1.105";"Carlos Poma.";"Capital Federal.";"Melhoramentos no systema Monier, de costruc- ções hygienicas de cimento e ferro";"";""
"67";"1.106";"Manoel da Costa Camorim.";"Idem";"Nova industria de chapéos de palha por meio de materia prima vegetal";"";""
"68";"1.107";"José de Sá Hollanda Cavalcanti.";"Idem.";"Apparelho denominado-Combustor de formigas";"";""
"69";"1.108";"José de Paula Queiroz Junior";"Cidade de s. Paulo";"Combinação de saes, denominada - Cevadilho, destinada ao tratamento de animaes,";"";""
"70";"1.109";"Pedro Pinheiro Ferreira";"Capital Federal.";"Novo vinho denominado - Providencia.";"24";""
"71";"1.110";"Leon Raimboux";"Capital Federal.";"Recipiente de novo modelo para conservas";"24 de Março.";"15 annos."
"72";"1.111";"o mesmo.";"Idem";"Agglomerado chamado combustivel Raimboux, destinado ao aquecimento de latas de con- serva, etc.";"";""
"73";"1.112";"Henry c. Elliot.";"Nova York.";"Machina para fabricar cigarros";"";""
"74";"1.113";"José Canellas.";"Capital Federal,";"Systema de ornatos de papellão denominado Artezão Canellas.";"";""
"75";"1.114";"Miguel Vellez.";"Idem";"Novo systema de viação aérea equilibrada por meio de vehiculos aérostaticos, de estradas aéreas, denominada - Trem Velloz.";"";""
"76";"1,115";"F. F. Tutle.";"S. Paulo";"Ferro de engommar denominado - Favorito.";"28";""
"77";"1.116";"Alberto Mariah.";"Capital Federal.";"Processo de preparar conservas de carnes, fru- tas, etc.";"";""
"78";"1.117";"Michel Miscioni.";"Idem";"Gancho para tracção";"";""
"79";"1.118";"Germano Luiz Maria Verte e Charles Maine";"Idem";"Systema de via ferrea economica com rampas fortes, dispensando os aterros e obras de arte";"";""
"80";"1.119";"os mesmos";"Idem";"Systema de vias economicas para transporte das colhetas e dos materiaes em geral, podendo tambem applicar-se ao transporte de passa- geiros";"";""
"81";"1.120";"John Sherringtom";"s. Paulo";"Batedor necessario para a refinação de assucar.";"";""
"82";"1.121";"Carlos Freire Villalba Alvim e Jorge Alberto Vinchon";"Capital Federal";"Novo systema de carros-salões e de ambulancias, servindo tambem para pessoas idosas e inva- lidas, denominado - Systema Villalba";"";""
"83";"1.122";"Antonio de Lavandeyra";"Idem.";"Processo de extracção de fibras vegetaes";"";""
"84";"1.123";"Rodolpho Fechner";"Idem.";"Novo apparelho automatico para fechar gar- rafas";"";""
"85";"1.424";"Manoel Lopes de Mattos.";"Idem";"Polvora mannoelina";"30";""
"86";"1.125";"Anatole Delphin";"Capital de S. Paulo,";"Systema de publicidade nos tramways e bonds.";"";""
