"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"38";"2491";"Francisco Gomes Valze de Miranda e Do- mingos de Souza Barros";"Nictheroy (Rio de Janeiro)";"Processo de purificação mecanica e chimica do sal commum no estado solido";"Idem";"Idem."
"39";"2492";"Paul Mauser";"Oberndorf sobre o Neckar (Allemanha)";"Cartuchos metallicos";"28 de fevereiro.";"Idem."
"40";"2493";"José Francisco Corrêa & Comp";"Capital Federal";"Carteira aperfeiçoada para cigarros.";"Idem";"1dem."
"41";"2494";"Idem";"Idem";"Um estojo aperfeiçoado para cigarros ou cha- rutos.";"Idem";"Idem."
"42";"2495";"Abel Homem Cardoso.";"Idem";"Açougue Hygienico";"4 de março";"Idem."
"43";"2496";"William Henry Dacre Tyler.";"Streatbam Hill (Inglaterra).";"Um mecanismo motor para velocipedes.";"Idem";"Idem."
"44";"2497";"The General Gold Extracting Company, Limited";"Londres (Inglaterra)";"Aperfeiçoamento em apparelhos para o trata- mento de mineraes ou outras substancias con- tendo ou prataiou tambem ouro e prata para dahi obter o metal precioso";"Idem";"Idem."
"45";"2498";"Gaetano Secreto e Vicente Mis";"Capital Federal";"Apparelho indicador denominado: Indicador Urbano";"Idem";"Idem."
"46";"2499";"Paraiso & Comp";"Idem";"Vasilha para conducção de liquidos.";"Idem";"Idem."
"47";"2500";"Henri Joseph Piron";"Bruxellas (Belgica)";"Um systema de seccador para grãos de café, cacão, etc., de trabalho continuo e automatico";"5 de fevereiro";"Idem."
"48";"2501";"Gustav Schulse";"Eislebeu (Allemanha).";"Aperfeiçoamento em telhas para telhados e apparelhos para fabricar as mesmas";"Idem";"Idem,"
"49";"2502";"Henri Joseph Piron";"Bruxellas (Belgica)";"Grelha modelo";"Idem";"Idem."
"50";"2503";"Rodolpho Silva.";"Capital Federal";"A pplicação nova de barcos para botequim e restaurant, denominados: Gondola Caríoca";"Idem";"Idem."
"51";"2504";"Rodolpho Silva";"Idem";"Applicação nova de carros para botequim e restaurante, denominados: Carros Tupy.";"Idem";"Idem."
