"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"166";"2615";"Tito Livio Carbone.";"Montevidéo (Republica o. do Uruguay).";"Um apparelho para fabricar caixinhas metallicas.";"Idem";"Idem."
"167";"2616";"Commendador José Alves Ribeiro da Car- valho.";"Capital Federal.";"Grinaldas ou corôas denominadas Grinaldas brazileiras";"13 de agosto";"Idem."
"16S";"2617";"Vito Camiz e Anselmo Lobba";"Italia";"Aperfeiçoamento nos apparelhos recuperadores do oleo de lubrificação.";"18 de agosto";"Ide:n."
"169";"2618";"Francisco Cardozo Guimarães e João Pedro Fausto de Alcantara,";"Capital Federal.";"Nova applicação da madeira nacional denomi- nada ""Caixet branca (Simaruba versicolor, Simarubeas) da familia das rutacas ao fabrico em machinas usuaes de pausinhos para phos- phoros";"19 de agosto";"! Idem."
"170";"2619";"Os mesmos.";"Idem";"Nova appl cação da machina denominada - Caixeta brança (Simaruba versicolor, Sima- 'rubeas) da familia das rutacens ao fabrico em machinas usunes de laminas apropriadas á con- fecção de caix nhas para phosphoros.";"Idem";"Idem"
"171";"2120";"Augusto Grillet.";"Idem";"Systema economico de automaticamente produzir e regular a energir el-ctrica produzindo luz, força, aquecimento, etc.";"20 de agosto";"Idem."
"172";"2621";"Robim Marques Carepa";"Belém (Pará)";"Tijelinha de folha de Flandres, cravada no fundo e n'um lado, tendo uma porção lisa com dous angulos n'uma margem, para colher o leite da borracha, nos Estados do Pará e do Amazonas.";"[dem";"to Idem."
"173";"2622";"Paul Eugène Mermad Jamain";"Dijon (França).";"Um systema de machina para comprimir pós.";"Idem";"Idem."
"174";"2623";"Antonio Jqaquim de Mattos.";"Capital Federal,";"Sellim denominado Sellim Cruzeiro do Sul >>.";"Idem";"Idem,"
"175";"2624";"Alfredo Georges Wells";"Londres (Inglaterra)";"A perfeiçoamento em fornos para o tratamento de mineraes";"26 de agosto";"15 annos."
"176";"9625";"François de Rechter e Gustaved Rechter.";"Bruxellas (Belgica)";"Um novo processo de preparação das peças de collecção anatomicas entomologicas e outras, assegurando uma conservação ao ar livre";"27 de agosto";"Idem."
"177";"2626";"Antonio Firpo";"Santos (S. Paulo).";"Machina para escolher café e outros grãos.";"31 de agosto";"Idem."
"178";"2566 (bis)";"Frederico Carlos da Cunha Junior";"Capital Federal";"Melhoramento que introduziu em sua invenção de processo de melhoramentos do fabrico de Telhas pelo emprego do vidramento na parte externa x privilegiada pela patente de n. 2566, de 2 de junho de 1898";"19 de julho.";"Emquanto vigo- rar a patente n. 2566. de 23 de junho de 1898."
"179";"2568 (bis)";"Pretextado José de Almeida.";"Bello Horisonte (Éstado de Minas Geraes)";"Melhoramentos que introduziu em sua invenção de uma torneira"" privilegiada pela patente n. 2568, de 23 de junho de 1898";"29 de julho";"Exaquanto vigo- rar a patente n° 2568, de 23 de junho de 1898."
"180";"2627";"Eduardo Augusto Pereira Nunes.";"Capital Federal";"Um preparado denominado Formicida para- naense""";"1 de setembro.";"15 annos."
"181";"2628";"Dr. Carl Ritter Auer von Welsbacp.";"Vienna (Austria)";"Aperfeiçoamento em lampadas electricas de incan- descencia e nos processos para produzir as mesmas";"Idem";"Idem."
"182";"2629";"João Baptista Cognat.";"Capital Federal";"Pulverisador de alcatrão . outros hydrocarbu- retos para fornalhas";"3 de setembro.";"Idem."
"183";"2630";"Dr. José Fernandino Costa.";"Nictheroy (Estado do Rio Janeiro)";"Uma nova applicação da farinha de mandioca re- duzida a pó ou da propria mandioca torrefeita.";"6 de selembro.";"Idem."
"184";"2631";"João Antonio da Sliva Peres";"Capital Federal";"Um novo processo de panificação das diversas especies de mandioca e aipim oultivadas no paiz, assimilando-as e associando-as á farinha de trigo de fórma a produzir um pão igual ao pão commum, e a que denominou: Pão brazileiro";"9 de setembro .";"Idem."
"185";"2632";"Frans Joseph Drechs!er";"Altona Ottense (Allemanha)";"Uma machina para preparar café ou outros grãos";"Idem";"Idem."
"186";"2633";"Charles Brélaz";"Capital Federal.";"Apparelho automatico para illuminação pelo gaz acetyleno, denominado ""Eva""";"Idem";"Idem."
"187";"2634";"Coronel José Ferreira de Figueiredo e Silvio Alimonda";"s. Paulo.";"Extracto tannico aperfeiçoado.";"Idem";"Idem."
"188";"2635";"Emile Fréderic Le Maire";"Neuilly sur Seine (França).";"Um novo systema de abertura e fechamento automatico das portas, denominado Linstan- tané";"Idem";"Idem."
"189";"2371 (bis)";"Lopes Sá & Cia. ";"Capital Federal";"Nova carteira para cigarros (melhoramentos introduzidos em sua invenção privilegiada pela patente n. 2371, de 18 de setembro de 1897)";"10 de setembro.";"Emquanto vigo- rar a patente n. 2371, de 18 de setembro de 1897."
"190";"2636";"Alvaro Nunes de Carvalho";"Idem";"Um apparelho denominado Duplo-Decimetro Uni- versal, destinado a tirar linhas sobre o papel.";"17 de setembro.";"15 annos."
"191";"2637";"Adolpho Leyret.";"Idem";"Um novo systema de annuncios denominado : Coupons annuncios";"20 de setembro.";"Idem."
"192";"2638";"William Stronack Lockhart.";"Londres (Inglaterra).";"Um processo destinado a separar, por meio de agua, metaes ou mineraes das substancias que os conteem, pelo emprego de um apparelho hydraulico de corrente ascendente,";"21 de setembro";"Idem."
"193";"2639";"Ignacio Lopes de Siqueira";"s. José do Alegre (E. de Minas Geraes";"Uma machina para descascar mandioca, denomi- nada "" Descascador Siqueira";"Idem";"Idem."
"194";"2640";"Chester lres";"Eart Molesey (Inglaterra)";"Um processo de fabricação de uma substancia analoga á borracha ou gutta percha";"Idem";"Idem."
"195";"2641";"Dr. Antonio José de Castro,";"Capital Federal";"Systema aperfeiçoado de envoltorios, involucros ou saccos para encerrar pães.";"23 de setembro.";"Idem."
"196";"2642";"Silva & Pinna";"Capital Federal";"Cartões de annuncios denominados Cartões-recla- mes Silva & Pinna";"27 de setembro.";"13 annos."
"197";"2643";"Marck Anthony Ileath";"Rhode Islanda (E. U. da Americado Norte)";"Cobertas metallicas para farlos de algadão, ma- teriaes em tibras, etc.,e em geral, para todo e qualquer fim a que possam ser adaptaveis.";"Idem";"Idem"
"198";"2344";"João Lourenço Madem";"S. Paulo.";"Um novo modelo de telha, denominado ""Telha Ogival";"Idem";"Idem"
"193";"2015";"Israel de Oliveira Santos.";"Rio Grande do Sul.";"Uma bomba inaspiravel impulsora hydraulica.";"Idem";"Idem."
"200";"2646";"o mesmo";"Idem";"Um engenho com movimento continuo por com- pensação de forças em auxilio mutuo, deno- minado Engenho Brazileiro";"Idem";"Idem."
"201";"2317";"Mannel Pereira.";"Capital Federal";"Novo modelo de chaminés para fogões ou ma- chinas, com disposições internas para aba- famento das fagulhas e fulligens, afim de evi- tar incendios";"Idem";"Idem"
"202";"2148";"Edouard Poillon";"Amiens (França)";"A perfeiçoamentos em grelhas para fornalhas.";"28 de setembro.";"Idem."
"203";"2619";"Antonio Izidro Gonçalves";"Capital Federal";"A pparelho denominado Mariposa para prender automaticamente as venezianas ao serem abertas.";"Idem";"Idem"
"201";"2350";"Lucas de Souza Azevedo";"Carandahy (E. de Minas- Guraes)";"Um cano destinado a elevar.agua do nivel mais baixo ao mais alto";"[dem";"Idem."
"205";"2951";"Henry Wethered";"Bristol (Inglaterra)";"Aperfeiçoamentos no tratamento de minerio, contendo metaes preciosos, afim de se extra- hirem os mesmos netaes";"Idem";"Idem."
"203";"2352";"Arthur E. Klotzer Luiz Bresciani.";"s. Paulo.";"Estante para bicyclettas, denominada Estante Paulista.";"Idem";"Ide: n."
"20";"2653";"Mignel Antonio Bruno";"Capital Federal.";"Um novo systema de fabricar cigarros denomi- nado "" Cigarros Fiscaes";"4 de outubro";"Idem."
"208";"2654";"Ignacio Lopes de Siqueira";"S. José do Alegre (E. de Minas Geraes)";"Uma machina combinada para o fabrico com- pleto de farinha de mandioca";"Idem.";"Idem."
"209";"2582 (bis)";"Antonio Alexandre Fernandes da Costa.";"Capital Federal.";"Melhoramentos que introduziu em sua inven- ção de combustivel denominado "" Carvão dos pobres "", privilegiado pela patente n. 2582 de 11 de julho de 1898";"Idem";Emquanto vigo- rar a patente n. 2582, de 11 de julho de 1898."
"210";"2250 (bis)";"Ignacio Lopes de Siqueira";"S. José do Alegre (E. de Minas Geraes)";"Melhoramentos que introduziu em sua invenção de uma prensa continua para mandioca e ou- tros productos, denominada <Compressor Si- queira"", privilegiado pela patente n. 2250 de 5 de maio de 1837";"3 de outubro";"Emquanto vigo- rar a patente n. 2250,de 5 de maio de 1897."
"211";"2655";"George Whitwell Chalmeis";"Melbourne (Inglaterra).";"A perfeiçoamentos em combustores de gaz incan- descente dotados de véos frageis";"5 de outubro";"15 annos."
"212";"2636";"John Francis Adams e Charles Ribes Iorns.";"Londres (Inglaterra).";"Uma gelosia aperfeiçoada";"8 de outubro";"Idem."
"213";"2657";"Harold Boyd.";"Tamworth (Australia)";"Aperfeiçoamentos em explosivos";"13 de outubro";"Idem."
"214";"2658";"D. M. Costa & Comp.";"Capital Federal.";"Carteira aperfeiçoada para cigarros.";"Idem";"Idem,"
"215";"2659";"José Antonio Alves Vianna.";"Idem.";"Apparelho destinado a facilitar o movimento de escaleres e outras embarcações, denominado systema a Cysne";"Idem";"idem."
"216";"2660";"Companhia Nacional Manufactora de Fumos";"Idem";"Um systema aperfeiçoado de acondicionamento de cigarros.";"Idem";"Idem."
"217";"2302 (bis)";"Henri Stephan";"Idem";"Melhoramentos que introduziu em sua invenção de novo gerador de gaz acetyleno, privilegiada pela patente n. 2302, de 26 de junho de 1897";"14 de outubro";"Emquanto vigo- rar a patente n. 2302, de 26 de junho de 1897."
"218";"2661";"Emilio Grandmasson";"Capital Federal";"Aperfeiçoamentos em auto-claves para saponifi- cação de sebo.";"20 de outubro";"15 annos."
"219";"2662";"o mesmo";"Idem";"Caldeira de sabão aperfeiçoado.";"Idem";"Idem."
"220";"2663";"o mesmo";"Idem";"Uns aperfeiçoamentos nos apparelhos de fabricar velas.";"Idem";"Idem."
"221";"2661";"o mesmo";"Idem";"Systema de grelhas para o emprego de combus- tivel pobre.";"Idem";"Idem."
"222";"2665";"o mesmo";"Idem";"Apparelho de esfriamento para o tratimento do aço oleico";"Idem";"Idem."
"223";"2666";"o mesmo";"Idem";"Um regulador automatico para accumulador hy- draulico.";"Idem";"Idem."
"224";"2637";"o mesmo";"Idem";"Systema de descarga de auto-claves de saponifi- cação";"Idem";"Idem."
"225";"2668";"Simon Chavanne";"Buenos Ayres";"Um novo producto desodorante denominado Anti-bacteriano Raymond";"Idem";"Idem."
"226";"2669";"Cap. Alexandre Marcondes de Moura Ma- chado e Dr. Luiz Gonzaga de Oliveira Costa,";"E. de S. Paulo";"Novo systema e apparelho de lavar café em cereja, separando-o ou expurgando-o dos tor- rões e pedras, ,denominado Maravilha, systema Moura";"Idem";"Idem."
"227";"2670";"Major Alfredo de Simas Enéas e João de Simas Enéas";"Capital Federal";"Apparelho destinado a evitar a fraude nos medi- dores de gaz pela retirada d'agua";"Idem";"[dem."
"228";"2671";"John Jones";"Londres (Inglaterra).";"Aperfeiçoamentos em instrumentos de telegrapho impressor";"[dem";"Idem."
"229";"2672";"Antonio Francisco dos Santos Marau";"Capital Federal";"Aperfeiçoamentos em ferros de engommar outros";"e Idem";"Idem."
"230";"2673";"Manoel Pereira.";"Idem";"Uma nova carroça para transporte de lixo e outros fins.";"Idem";"Idem."
"231";"2674";"Theophilo Nolasco de Almeida e Julio Oscar de Novaes Carvalho.";"Idem";"Tijolo impermeavel, esmaltado, relevos, paisagens ou simplesmente coloridos";"21 de outubro .";"Idem."
"282";"2675";"Secundino Real";"Idem";"A pparelho para fiscalisar vendas, denominado Fiscalisador automat co Commercial";"25 de outubro .";"Idem."
"233";"2376";"Francisco de Camargo Pinto";"Corityba (Paraná).";"Uma machina destinada a moer herva-mate, deno- minada Esmagador Ondulatorio";"27 de outubro .";"Idem."
"234";"2677";"Eduardo Freire de Albuquerque Pedrosa";"Recife (Pernambuco).";"Systema de redes de arame e ferro para a indus- tria da pesca";"Idem";"Idem."
"235";"2678";"Carvalho & Guider";"Capital Federal";"Revestimentos das beiras das cartas com uma ca- mada metallica";"Idem";"Idem."
"233";"2379";"José Bode.";"Idem";"Applicação nova da pedra-sabão para servir de succedaneo ao talco e ao kaolim, para os fins industriaes.";"3 de outubro";"Idem."
"237";"2380";"Mat Nagel";"Idem";"Um processo de fabricar sabão marmorisado de côr azul, rosa ou de qualquer outra côr";"4 de outubro";"Idem."
"238";"2681";"Mello, Damasceno & Comp.";"Idem";"Moinho aperfeiçoado para sal";"Idem";"Idem."
"239";"2682";"Augusto Maximiliano Morgner.";"Idem";"Machina c ntinua de extracção do cortim das folhas de mangue (F. Rhisofloraceas)";"3 de novembro";"Idem."
"210";"2683";"João Gongalves Guedes";"Angustura (Estado de Mi- nas Geraes)";"Systema para destruir formigas saúvas, denomi- nado "" Sauvicida Guedes";"4 de novembro";"Idem."
"241";"2684";"William Emmet Andason e Frank Lewis Dojer.";"Estados Unidos da America do Norte";"Um processo rara formar fardos de algodão e machina para esse fim";"1dem";"Idem."
"212";"2685";"Companhia Vickers Sons & Maxim, Li- mited.";"Londres (Inglaterra).";"A perfeiçoamentos no machinismo da culatra de canhões automat cos e outros";"Idem";"Idem."
"243";"2686";"Roberto Cooper Dikson";"Estado de Minas Geraes";"Uma armação para cortinados das camas.";"8 de novembro";"Idem."
"214";"2687";"Heimich Hempel";"Belém (Allemanha)";"Um processo de preparação de espirito proprio para illuminação.";"12 de novembro";"Idem."
"215";"2388";"Francisco de Camargo Pinto";"Corityba (Paranà).";"Novo systema para preparar herva-mate sem fu- maça, denominado "" Camargo";"Idem";"Idem."
"243";"2389";"Ignacio Tavares de Souza";"Capital Federal";"Preparação denominada Sapolina destinada á limpeza de objectos de metal e outros obje- ctos quaesquer";"24 de novembro";"13 annos."
"247";"2690";"Companhia Vickers, Sons & Maxim, Li- mited.";"Londres (Inglaterra)";"Aperfeiçoamentos em projectis para artilharia.";"1dem";"Idem."
"248";"2691";"João Pinto do Valle J. Roberto d'Escra- gnolle.";"Capital Federal.";"Pequenas latas de folha denominadas "" Economi- cas "", para acondicionamento do fumo";"Idem";"Idem."
"249";"2692";"Tito Barreto Galvão";"Idem";"Processo economico para evitar ou destruir a ve- getação nociva ou inutil";"Idem";"Idem."
"250";"2693";"Dr. Otto Raulino, bacharel Zacarias Borba dos Santos e c. T. .da Silva.";"Idem";"Um descascador de mandioca, denominado o Manufactor";"Idem";"Idem."
"251";"2694";"Valentim A. Hanis.";"Idem";"Novo apparelho para divertimentos publicos";"25 de novembro";"Idem."
"252";"2695";"Francisco Agostinho de Souza e Mello.";"Idem";"Apparelho denominado Electro Covo desti- nado á pescaria por meio da electricidade";"26 de novembro";"Idem."
"253";"2696";"Antonio Izidro Gonçalves.";"Idem";"Um novo carrinho de mão denominado . Tana- jura";"2 de dezembro.";"Idem."
"254";"2697";"o mesmo";"Idem";"Systema de rodas aperfeiçoado, denominado Ro- das inquebraveis";"Idem";"Idem."
"255";"2698";"Eduardo Gaspar Ferreira";"Capital Federal";"Caixão aperfeiçoado para defunto, denominado "" Caixão Expositor Ferreira";"Idem";"Idem."
"256";"2699";"Victor Martins Lino";"Estação Alferes Rodrigues (s. Paulo).";"Aperfeiçoamento em lavadores e distribuidores de café nos terreiros";"Idem";"Idem."
"257";"2700";"Eyseu Birzotto";"Friburgo (Estado do Rio de Janeiro)";"Novo apparelho de fabricação de gaz acetyleno, denominado Gazometro Friburgo";"Idem";"Idem."
"258";"2701";"Alves & Comp.";"Capital Federal";"Preparado denominado << Antacidus"", para a cura das aphtas da diarrhéa verde das crianças e da acidez do estomago";"3 de dezembro";"Idem"
"259";"2702";"Societa Romana per Costruzione Metal- liche.";"Roma (Italia)";"Uma machina destinada a diluir, malaxar e a com- pletar o empastamento da farinha com o fer- mento";"13 de dezembro";"Idem."
"260";"2703";"Francisco Carelli";"Capital Federal";"Um apparelho para produzir gaz acetyleno, sys- tema Carelli";"14 de dezembro";"Idem."
"261";"2704";"Antonio Martinho de Andrade e Antonio de Albuquerque Mello";"Idem";"Uns aperfeiçoamentos em fôrmas para a fabri- cação de calçado.";"Idem";"Idem."
"262";"2705";"José Francisco Corrêa & Comp.";"Idem";"Novo estojo ape:feiçoado para cigarros ou cha- rutos.";"Idem";"Idem."
"233";"2706";"John Burgum.";"Idem";"Aperfeiçoamentos em tinteiros a vapor, denomi- nados "" Burgum's Turtine";"Idem 3";"Idem."
"264";"2707";"Julius Haarer";"Francfort sobre o Meno (Al- lemanha)";"Uma machina para fabricar charutos.";"Idem";"Idem."
"265";"2708";"Dr. Dario Pederneiras";"Porto Alegre (Rio Grande do Sul).";"Registrador automatico para fiscalisar as pas- sagens nos bonds.";"16 de dezembro";"Idem."
"266";"2700";"Soven Lemvig Foge e Sage Georg Kirs- dhner";"Copenhague (Dinamarca)";"Um processo aperfeiçoado para fabricação de phosphoros.";"Idem";"Idem."
"267";"2710";"Giovanni Rosina e Augusto Magalhães de Barros e Vasconcellos.";"Capital Federal";"Apparelho denominado Irrigador Desinfectante Excelsior"" para ser adaptado noscarros de con- duzir lixo";"Idem";"Idem."
"268";"2711";"Alberto Vieira Mendes";"Rio Grande do Sul";"Novo systema de soldadura de latas para con- servas e seu abrimento.";"17 de dezembro";"Idem."
"269";"2712";"Major Alberto de Simas Enéas e João Simas Enéas";"Capital Federal";"Apparelho destinado a collar sellos, estampilhas ou etiquetas em caixas de phosphoros, carteira de cigarros e em qualquer objecto de fórma re- ctilinea 19";"de dezembro";"Idem."
"270";"2713";"William Adolpho Koneman e William Henry Hartley.";"Middissex (Inglaterra)";"Aperfeiçoamentos em fórnos de calcinar mineraes e seus equivalentes";"Idem";"Idem."
"271";"2714";"Mario Romão da Cruz e Pedro Pinto de Miranda.";"Capital Federal";"Novo fogão para carvão, denominado "" Fogão cruzeiro";"22 de dezembro";"15 annos."
"272";"2715";"Carvalho e Guider.";"Idem";"Novo systema aperfeiçoado de acondicionamento de cigarros.";"Idem";"Idem."
"273";"2716";"George Dexter Burton.";"Boston (E. U. da America do Norte).";"Processo para pellar couros e pelles e apparelho para esse fim";"Idem";"Idem."
"274";"2717";"Hans Edgar Gaabau";"Holoken, New Jersey (E. U. da America do Norte).";"Aperfeiçoamentos em machinas para fabricar ci- garros";"Idem";"Idem."
"273";"2718";"Agostinho Nogueira da Silva";"Campinas (S. Paulo).";"Descascador, com aspirador, para café e outros grãos, denominado Descascador Nacional:";"Idem";"Idem."
"276";"2719";"George Dexter Burton";"Boston (E. U. da America do Norte).";"Um processo para curtir e colorar couros e pelles e apparelho para esse fim.";"Idem";"Idem."
"277";"2720";"Innocencio Affonso Cavalcante de Albu- querque.";"Capital Federal";"Um apparelho denominado Incinerador Domes- tico>>, destinado a incinerar o lixo das habi- tações";"23 de dezembro";"Idem."
"278";"2721";"Arthur Le Heglar";"Whert, Estado de Tennessee (E. U. da America do Norte).";"Aperfeiçoamentos em movimentos mecanicos,";"27 de dezembro";"Idem."
"279";"2722";"Joseph Lebolo Carey.";"Capital Federal";"Conservas de forragens, denominada "" Conserva de forragens Sul Americana";"Idem";"Idem."
