"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.481";"4 de janeiro de 1902";"Adolpho Nagel.";"Estado de S. Paulo";"Garrafa aperfeiçoada denominada Garrafa Tropical ou Tropical Bottle."
"3.482";"4";"William Nicholls.";"Inglaterra ";"Aperfeiçoamentos em apparelhos para distribuição de liquidos superaerados."
"3.483";"";"João de Simas Enéas.";"Capital Federal.";"Preparado denominado Sanitas, destinado a desin- fecção."
"3.484";"";"Baldensperger & Greiges";"França";"Commutador electrico á combinações."
"3.485";"10";"A. Brusati.";"Capital Federal.";"Bolsas isoladoras do ar."
"3.486";"11";"Luiz Felippe Freire de Aguiar";"Idem";"Novo processo de fabricação de productos derivados da distillação da hulha. "
"3.487";"11";"Angelo Vieira da Silva Borges e José Barreiro Guedes.";"Idem";"Machina motora rotativa."
"3.488";"11";"Antonio da Silva Campos";"Idem";"Carteirinhas <Madureira> para cigarros com brindes aos consumidores."
"3.489";"14";"Frank Lemont Dodgson.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em systemas de signaes para es- tradas de ferro."
"3.490";"14";"William Frederick Ellis e Edwin Courtis Davis.";"Idem";"Rodas de vehicules."
"3.491";"22";"Maráu Ferreira & Comp.";"Capital Federal.";"Aperfeiçoamentos em ferros de engommar."
"3.492";"25";"Silva, Macieira & Oliveira.";"Idem";"Chaminé ou manga para os lampeões de kerosene e outros, denominada <Providencia>."
"3.493";"";"James Albert Chambers";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processo de estirar o vidro e apparelho para esse fim."
"3.494";"27";"John Hylard";"Australia.";"Cartuxeira ou cinturão porta-cartuxos destinada a transportar munições para deposito de carabinas ou de pequenas armas."
"3.495";"27";"R. de Carvalho & Comp.";"Capital Federal.";"Processo de estamparia em chapas ou folhas metal- licas."
"3.496";"27";"Balfour Frazer Mc. Tear";" Inglaterra";"Aperfeiçoamentos em ou referentes ao fabrico de tubos de aço ou metal duro ou de corpos tubulares"
"3.497";"27";"José Alves Sardinha";"Capital Federal. ";"Machina para modelar bastões rectangulares de lacre."
"3.498";"27";"Affonso Segreto";"Idem";"Mesa moderna destinada a estabelecimentos commer ciaes. "
"3.499";"27";"Philipps Abott.";"Estados Unidos da America do Norte.";"Machina de desfibrar ramie, herva da China, juta plantas fibrosas similares tanto verdes como seccas. e"
"3.500";"30";"Paulino Julio de Almeida Nuro";"Capital Federal.";"Invento denominado <<Locomoção aerea por meio de aza""."
"3.501";"31";"Antonio de Salles Ferreira";"Idem";"Cafeteira economica."
"3.502";"1 fevereiro";"Eduardo B. Kneese";"Idem";"Suppositorios electricos."
"3.503";"1";"Emil Knudsen.";"Noruega";"Aperfeiçoamentos em processo e meios de tratar py- rites ou minerios sulfuretados."
"3.504";"1";"Gomer Emons Highley.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em meios de condensar vapor de agua e esfriar fluidos."
"3.505";"";"William Martin";"Idem.";"Aperfeiçoamentos em fechamentos para plataformas de carros."
"3.506";"";"King-Senior. John Edward Coleman";"Idem. ";"Novo processo de mineração"
"3.507";"3 de fevereiro de 1902.";"Benvindo T. de Araujo Brandão.";"Capital Federal.";"Apparelho denominado <Hydrometro Brandão>"
"3.508";"3";"William Frederick Singer";"Estados Unidos da America do Norte.";"Aperfeiçoamento novo e util em systemas refrigeradores."
"3.509";"7";"Alessandro Paluzzi.";"Capital Federal.";"Escada aperfeiçoada"
"3.510";"7";"Johan August Janson";"Suecia.";"Aperfeiçoamentos em teares."
"3.511";"7";"Joseph Lee.";"Estados Unidos da America do Norte.";"Idem em machinas de misturar e amassar quaesquer materiaes."
"3.512";"7";"Morris San.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas para fabricar phosphoros."
"3.513";"7";"Paul Hallot.";"França";"Aperfeiçoamentos em freios."
"3.514";"7";"Idem";"Idem";" Idem idem de caminhos de ferro."
"3.515";"7";"Idem.";"Idem";"Novos aperfeiçoamentos em freios de caminhos de ferro."
"3.516";"7";"Francisco Gonçalves Ribeiro";"Estado de S. Paulo";"Descascador para café, denominado "" Novo descas- cador Ribeiro""."
"3.517";"17";"Albino Wiltgen ";"Estado do Rio Grande do Sul";"Processo de fabricação de polvilho para engommar (amido)."
"3.518";"17";"Albino Wiltgen Companhia Federal de Fundição.";"Capital Federal.";"Aperfeiçoamentos em caixa hydraulica para descargas."
"3.519";"17";"José Batlle y Hernandez e José Maria Bueno y Oliver.";"Hespanha.";"Medidor de energia electrica, denominado "" Wattmetes B e B"" ""."
"3.520";"17 "" A "" """;"Robert Hopfelt";"Allemanha";"Processo de fabricação de electrodes de carbureto para lampadas de arco."
"3.521";"21";"Arando Zavaleta y Garagarza.";"Republica Argentina";"Systema de fabricação de alpargatas e machinas para esse fim."
"3.522";"21";"International Smokeless Powder and Dynamite Company.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em polvora sem fumaça."
"3.523";"21";"Eduardo W. Arthur.";"Capital Federal.";"Ferro aperfeiçoado para camas e outros objectos de mobilia."
"3.524";"21";"The Colton Seed Company Limited.";"Inglaterra";"Aperfeiçoamentos no tratamento de cascas de carocos de algodão."
"3.525";"21";"William John Knox.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processos do tratamento de minerios de cobre."
"3.526";"21";"Bernardo Caymari";"Capital Federal.";"Uma invenção denominada Rasta pari-peri, para similares. destinada à industria de papel, papelão e mais o aproveitamento da planta do brejo pari-peri"
"3.527";"25";"Idem.";"Idem.";"Fornos calcareos Caymari, destinados á fabricação de cal por meio de electricidade."
"3.528";"27";"Aktiengesellschaft Magneta Electrische Uhrenohne Batterie und ohne Contact.";"Suissa.";"Armadura para relogió secundario com corrente pulsativa."
"3.529";"27";"Frederick William Meyer";"Estados Unidos da America do Norte.";"Apparelho para revelar a existencia de fogo nos porões ou carvoeiros de um navio."
"3.530";"27";"Mendes & Santos.";"Capital Federal.";"Novo processo de enfardar ou empacotar fumos. "
"3.531";"28";"Dr. Francisco de Assis Cintra";"Estado de S. Paulo";"Apparelho para calculos trigonometricos, denominado <Trigonometro>"
"3.532";"28";"Fabrik für Mechanische Hirnholz- mosaik enkter Haftung. Gesellschaft mit beschra-";"Allemanha";"Aperfeiçoamentos em machinas para fabricar mosaicos compostos de blocos de madeira ou outra materia. "
"3.533";"8 de março de 1902.";"E. Fontenille & Lumay. ";"França e Capital Federal";"Depuração e descoloração dos liquidos assucaradosno no fabrico e principalmente na fabricação dos assucares."
"3.534";"8";"Idem";"França e Capital Federal";"Apparelho e processo de concentração e de cozi- mento dos assucares a baixa temperatura."
"3,535";"8";"Idem";"Idem";"Novo systema de concentração e deshydratação de materias assucares de para a especialmente qualquer natureza de vacuo, dos assucares refinados em pó finamente producção, debaixo da acção do Brazil. granulados, taes quaes elles são consumidos no"
"3.536";"8";"Idem";"Idem";"Processo de refinação dos assucares permittindo de sem operar a sua dissolução. obter perfeitamente refinades os assucares brutos,"
"3.537";"8";"Henry Clay Heckendorn";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de fabricar cigarros."
"3.538";"8";"José Vicente Marella";"Capital Federal.";"Gazometro  <Invencivel Marella>"
"3.539";"22";"Octavio Teixeira Mendes";" Estado de s. Paulo";"Resfriador a ar comprimido denominado <Resfriador Mendes>."
"3.541";"22";"Achille Van Steenkiste.";"Belgica";"Processo e apparelho para curtimento rapido do linho."
"3.541";"1 de abril";"Augusto Barbosa da Silva e Joseph Gerspacher.";"Estado de Minas Geraes.";"Processo de fabricação de ferro-guza, aço, ferro e suas ligas e forno electrico para esse fim."
"3.542";"1";"Carlos Hamberger.";"Estado do Rio de Janeiro";"Apparelho para gaz acetyleno."
"3.513";"1";"Sven Carlson";"Suecia,";"Aperfeiçoamentos em combustores de petroleo."
"3.544";"";"Idem.";"Idem";"Dispositivo limpador aperfeiçoado para apparelhos de illuminação por meio de hydro-carbureto va- porisado."
"3.545";"4";"Adrien Delpech";"Capital Federal.";"Processo de tratamento do sangue dos animaes para obter os productos industriaes applicaveis á fi- e engommação de tecidos. xação das cores nos tecidos, fabricação de papel"
"3.546";"4";"Charles Borel";"França";"Novos cabos para transmissão, a grandes distancias, das correntes alternativas de alta frequencia."
"3.547";"4";"John Klein.";"Estados Unidos da America do Norte.";" Classificador de minerio aperfeiçoado."
"3.548";"4";"Joseph Ethan Forsyth";"Idem";"Juntas automaticas para carros de estradas de ferro."
"3.549";"4";"Menéres & Comp";"Portugal.";"Invenção de botija de grez."
"3.550";"4";"D. Georgina de Figueiredo Reid Fairbaim.";"Capital Federal.";"Preparado pharmaceutico denominado <Peitoral Londrino>"
"3.551";"10";"João de Figueiredo Rocha";"Idem.";"Mappa explicativo cujo fim é tornar conhecidas em todos os seus detalhes as cidades, villas, etc. em que for applicado."
"3.552";"12";"Gustavo Kindleim";"Estado do Rio Grande do Sul.";"Machina de apparelhar couro para curtir, denomi- nada "" Machina G. Kindleim "". "
"3.553";"12";"Julio Augusto da Silva Gouvêa";"Capital Federal.";"Ferro de engommar destinado a alfaiates e costu- reiras denominado "" ferro economico Confiança"".
"3.554";"14";"Bernardo Caymari";"Idem";" Invenção denominada <pedra electrica Caymari>"
"3.555";"17";"Antonio José da Costa Sampaio e Antonio Gonçalves Barreiros. ";"Idem";"Lubrificador brazileiro destinado a evitar a forma- ção de ferrugem em todas as peças e especial- mente para as armas de fogo."
"3.556";"22";"Leovegildo de Leão";"Idem Idem";"Invenção que denominou ""Carteira Leão> para o acondicionamento de véos ineandescentes gelatinados."
"3.557";"22 de abril de 1902";"Nicoláu Ferraro";"Capital Federal.";"Lampada aperfeiçoada para acetyleno, denominada "" Lampada Ferraro ""."
"3.558";"22";"Idem. ";"Idem";"Apparelho para gaz acetyleno, denominado "" Gazometro Ferraro ""."
"3.559";"22";"Barão Pierre de Caters";" Belgica";"Protector para aros pneumaticos."
"3.560";"22";"Carlos Antonio da Silva.";"Estado de s. Paulo";"Fogão aperfeiçoado denominado Fogão Carlos Silva."
"3.561";"22";"Francis Edward Elmore.";"Inglaterra";"ethodo aperfeiçoado para a separação da parte metallica dos minerios da parte petrea dos mes- mos e apparelhos para esse fim."
"3.562";"22";"Clans Angust Spreckele Charles Albert Kern.";"Estados Unidos da America do Norte.";"M Aperfeiçoamentos no tratamento do assucar."
"3.563";"1 maio";"Guilherme Massoni";"Capital Federal.";"Aperfeiçoamentos de caixinhas de papelão para con- duzir véos incandescentes."
"3.564";"5";"Joseph Lybrand Ferrell.";"Estados Unidos da America do Norte.";"Processo para preservação da madeira e apparelhos para esse fim."
"3.565";"5";"Eduardo Hamer e Isidoro José Machado Lapa.";"Estado do Rio de Janeiro";"Apparelho para gaz acetyleno, denominado "" Bri- Thante"", destinado a pharóes de qualquer especie."
"3.566";"5";"Gustav Amberg";"Allemanha";"Telephone fallando alto."
"3.567";"15";"Antonio Ferreira de Carvalho.";"Capital Federal.";"Apparelho desinfectador de objectos de barbearia, denominado Carvalho""."
"3.568";"15";"Bauer & Comp.";"Idem";"Machinismo para collectores principalmente de fins 1 postaes, denominado <Collector Unificador>"
"3.569";"15";"Hugo Bruner";"Allemanha";"Lampada electrica de arco voltaico."
"3.570";"15";"Idem";"Idem";"Aperfeiçoamentos em electrodos para lampadas de arco."
"3.571";"16";"Carlos Monteiro de Lacerda";"Estado do Rio Grande do Sul";"Novo processo para preparar xarque, denominado <Xarque Frescal-inalteravel>"
"3.572";"16";"Dias, Serpa & Oliveira.";"Estado da Bahia";"Apparelho destinado a salvar do fundo do oceano os navios ou quaesquer corpos submersos, denomi- nado "" Rapido ascensor - ductuante-submarinor)"
"3.573";"16";"Roberto Helling";"Estado do Paraná.";"Seccador de herva-mate em folhas, com gavetões mo- veis, denominado "" Seccador Helling"". "
"3.574";"16";"John Alfred Dahlqvist e Carl Lud- wig Holm.";"Suecia.";"Processo para augmentar a efficiencia machi- nas centrifugas e meios para esse fim. das"
"3.575";"16";"Frank Wiggins";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em garras de pressão automatica para polias."
"3.576";"16";"Louis Bernhard Baron";"Inglaterra.";"Idem em apparelhos para a fabricação de cigarros."
"3.577";"16";"Huldreich Wilhelm Buff";"Suissa.";"Machinismo a applicar no calçado para que o gasto do salto seja uniforme. "
"3.578";"16";"Joaquim Gomes Ferreira, Domingos Gomes Ferreira de Menezes e Gre- gorio de Freitas Vasconcellos.";"Capital Federal.";"Novo systema de movel, denominado "" Cama-com- moda-guarda-roupa"" "
"3.579";"16";"João Teixeira de Vasconcellos";"Idem ";"Invenção de lamparinas, denominadas "" Brazi- zeiras""."
"3.580";"16";"Raffaele Rouco";"Italia";"Leme para aerostatos, barcos submarinos e navios de qualquer especie."
"3.581";"27";"Germano Thieme.";"Capital Federal.";"Processo da para o aproveitamento de levedo liquido cerveja e de outras fermentações."
"3.582";"27";"Hugo Gertum & c.";"Estado do Rio Grande do Sul";" Machina para cortar e preparar taquaras, bambús papelão e a outros fins a que possa semelhantes, destinados á fabricação do papel,"
"3.583";"27 de maio de 1902,";"John Mc. Farlane e David c. Rei- nohl.";"Estados-Unidos da America do Norte.";"Processo de descascar sementes ou caroços de algo- dão."
"3.584";"27";"Idem, idem.";"Idem";"Idem de extrahir o oleo das sementes ou caroços de algodão."
"3.585";"27";"Maximino Pinto de Carvalho.";"Estado de Minas Geraes.";"Invenção de cravos destinados a ferraduras de ani- maes de qualquer especie a que denominou "" Cra- vos - Brazil ""."
"3.586";"31";"Edwin Montagne Wilkes";"Estado do Rio de Janeiro.";"Machina para a geração e formação do ar liquido, sua transferencia por meio de um mecanismo espe- cial para um cylindro ou outro vaso fechado onde se o póde fazer expandir-se sob pressão por meio de calor solar armazenado no ambiente que o cerca e empregal-o como uma nova força motriz."
"3.587";"31";"Alexandre Leslie";"Capital Federal.";"Invenção de marcação de saccos para café e outros generos."
"3.588";"31";"Pedro Mari.";"Estado de s. Paulo";"Lamparina aperfeiçoada."
"3.589";"31";"Sociedade por Acções Promethée.";"Russia.";"Aperfeiçoamento em explosivos."
"3.590";"31";"Isidor Kitsee";"Estados Unidos da America do Norte.";"Meio aperfeiçoado de branquear o assucar."
"3.591";"31";"Porter Safety Seal Company";"Idem";"Processo para chumbar saccos, caixas, etc., e appa- relho para esse fim."
"3.592";"31";"Louis Maiche e Charles Maiche";"França";"Idem de producção da força motora pelo vapor uti- lisado em- cyclo fechado."
"3.593";"31";"Schneider & c.";"Idem";"Aperfeiçoamentos em blindagens para couraças de navios e revestimento de torres e outras applica - ções."
"3.594";"2 junho";"Miguel Antonio Bruno";"Capital Federal";"Bebida medicinal a que denominou "" Aypolina""."
"3.595";"2";"José de Oliveira Gomes Junior";"Idem";"Producto que denominou Combustores para CO- zinha: ""."
"3.596";"4";"Domingos Orelly e Antonio Ferreira Pinto da Fonseca.";"Idem";"Invenção denominada Pescador automatico ""."
"3.597";"5";"Augusto Arouche e Dr. Adolpho Gra- ziani.";"Estado de S. Paulo";"Machina de lavar café, denominada "" Lavador me- canico"""
"3.598";"7";"Frederick John King";"Inglaterra";"Aperfeiçoamentos em separadores magneticos de mineraes."
"3.599";"7";"José Emilio Reichardt";"Estado do Rio Grande do Sul";"Apnarelho para moldes de roupa de qualquer es- pecie, denominado "" Raio-acertador "" "
"3.600";"9";"Eduardo José de Souza Proença.";"Capital Federal.";"Apparelho denominado < Pescador Carioca >."
"3.601";"11";"Henrique Florence";"Estado de S. Paulo";"Machina economica para beneficiar café."
"3.602";"12";"Luciano Calixto Barreto";"Idem";"Aperfeiçoamentos em peneiras de ventiladores para café em côco."
"3.603";"12";"William Vail Lidgerwood.";"Idem";"Chapas de gancho e cadeiras aperfeiçoadas com apparelho de guarnição automatica para descas- cadores de café."
"3.604";"12";"Rose Gold Reclamation Company.";"Estados Unidos da America do Norte.";"Processo de separação das particulas de metaes preciosos ou relativamente preciosos e sua re- cuperação do corpo de outra materia ao qual estão unidos."
"3.605";"16";"Miranda, Alves & Macedo.";"Capital Federal.";"Bolsa ou carteirinha de cigarros."
"3.606";"21";"Pedro Rocha";"Republica Argentina";"Novo insecticida, denominado "" Insecticida Rocha""."
"3.607";"21";"Joaquim Leocadio Freira";"Estado de S. Paulo";"Novo systema de fabricação de assuear por evapo- ar ração atmospherico crystallisação pela barbotagem do e obtidos combinada com a absorpção de calor de diversae-fontes,"
"3.608";"21 de junho de 1902";"Augusto Carlos da Silva Telles e Luiz Goffredo de Escragnolle Taunay.";"Estado de S. Paulo";"Utilisação industrial do lenhoso e dos residuos das plantas de que é extrahida a fibra aramina quer para o preparo da massa do papel, quer para artefactos, briquettes ou conglomerados."
"3.609";"21";"Eduardo Gomes Ferreira ";"Capital Federal.";"Aperfeiçoamentos em acabamento dos tecidos de algodão, linho ou outros"
"3.610";"21";"Heinrich Christian Schlichter";"Allemanha";"Aperfeiçoamentos em installações destinadas a de- puração da agua."
"3.611";"26";"Dugald Drummond";"Inglaterra";"Systema de para-fagulhas para locomotivas e outras machinas."
"3.612";"26";"Emile Maslin";"França.";"Aperfeiçoamentos nos processos de aquecimento para caldeiras a vapor ou outros apparelhos para esse fim."
"3.613";"26";"Leo G. Heist e Charles J. Wilson.";"Estados Unidos da America do Norte.";"Combustor aperfeiçoado para oleos hydrocarburetos."
"3.614";"26";"Julius Funcke";"Allemanha";"Machina rotativa para imprimir em cores nas duas faces da folha de impressão."
"3.615";"26";"Murray Corrington e Frank Lemont Dodgson.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos nos signaes pneumaticos para estradas de ferro."
"3.616";"27";"Manoel Antonio Guimarães.";"Capital Federal.";"Novo modelo de vehiculos para venda ambulante de quaesquer mercadorias. "
"3.617";"30";"Frederico Ribeiro Penna";"Idem";"Coupons economicos destinados unica e exclusiva- mente a evitar o desvio das rendas das compa- nhias ferro-carris."
"3.618";"4 "" julho";"Companhia Mecanica e Importadora des. Paulo.";"Estado de s. Paulo";"Machina destinada a separar café descascado, denominada "" Separador de café tela sem fim ""."
"3.619";"4";"Arthur Oscar Ferreira Rangel";"Capital Federal.";" Systema aperfeiçoado de retratos, denominados ""Celluloidinos>>."
"3.620";"4";"Idem";"Idem";"Buril electrico."
"3 621";"4";"Alphonse Denaeyer";"Belgica";"Novo processo de fabricação de productos lacteos e especialmente de cacáus e chocolates lacteos."
"3.622";"4";"Andres Luis Cardo";"Republica Argentina";"Cuspideiras aperfeiçoadas."
"3.623";"5";"Mme. Francillon Kraus.";"Capital Federal.";"Collete para senhoras, a que denominou Collete Francillon>. "
"3.624";"5";"Carlos Pepe";"Estado de Minas Geraes.";"Machina de picar fumos,denominada <Machina Pepe""."
"3.625";"9";"Salvatore Dinaro.";"Italia";"Apparelho de segurança para a circulação dos trens nas vias ferreas."
"3.626";"9";"Luis Maurice Lafontaine";"Inglaterra";"Novo aperféiçoado processo para purificar, bran- quear e refinar assucar."
"3.627";"9";"Ulric Civry.";"França";"Aperfeiçoamento em freios de vehiculos."
"3.628";"11";"Francis Cornwall Taylor e C. Stockle";"Capital Federal.";"Novo processo de imprimir com diversas cores on tons por uma só impressão, em machinas de im- pressão commum."
"3.629";"12";"Arens Irmãos";" Idem";"Separador para café, cereaes, somentes ou outras substancias em grãos misturados ou não com estra- nhes, denominado <Separador Kohimoer""."
"3.630";"12,";"Arens Irmãos";"Capital Federal.";"Separador de café, cereaes, sementes e outras tativo Guarany>. substancias em grãos, denominado ""Separador ro-"
"3.631";"12,";"Druitt Halpin";"Inglaterra. ";"Apparelho de armazenagem thermica em connexão com caldeiras a vapor."
"3.632";"12";"Ignacio Lazaga.";"Cuba";" Machina aperfeiçoada para empacotar artigos de pequenas dimensões."
"3.633";"12 de julho de 1902.";"Albert Charles Joseph Grosjean.";"França.";"Novo processo para coagulação da borracha."
"3.634";"19";"Antonio Ferreira Pinto da Fonseca.";"Capital Federal.";"Nova geladeira systema"
"3.635";"1 de agosto";"Marconi's Wireless Telegraph Com- pany Limited.";"Inglaterra.";"Aperfeiçoamentos em apparelhos para telegraphia sem fios."
"3.636";"1 """;"Luiz Felippe Freire de Aguiar";"Capital Federal.";"Apparelho desinfectador automatico, denominado <<Simplex>>."
"3.637";"1";"Sterling Elliott.";"Estados Unidos da America do Norte.";"Machina aperfeiçoada para recortar, estampar ou imprimir lettras, figuras, etc., em tiras metallicas."
"3.638";"4";"Eduardo Gomes Ferreira.";"Capital Federal.";"Aperfeiçoamentos em lançadeiras para teares me- canicos e outros. "
"3.639";"4""";"Eduardo Gomes Ferreira";"Idem.";"Lançadeira aperfeiçoada para teares mecanicos e outros."
"3.640";"6";"Bernardino Capella";"Idem.";"Novo apparelho de pesca, denominado Cercado- flucto-movel"""
"3.641";"6";"Andre Tramu";"Idem.";"Preparado para conservação de couros e pelles, de- nominado <<preparado Tramu"". "
"3.642";"9";"Franz Eugene Müller";"Allemanha.";"Aperfeiçoamentos em ou relativos a Geleira."
"3.643";"";"Oscar Spalding.";"Estado do Rio Grande do Sul.";"Machina para raspar mandioca, denominada ""Ras- padora de mandioca>."
"3.644";"13";"João Vasques e Pedro Brassi.";"Capital Federal.";"Apparelht denominado <<appada Progresso>."
"3.645";"14";"Germano Eugenio Vidal.";"Idem.";"Nova applicação de figurar com propriedades este- reoscopicas, na decoração de quaesquer productos profissionaes, commerciaes, industriaes etc., com o fim de augmentar o seu valor, a sua belleza e ampliar a sua utilidade."
"3.646";"16";"José Custodio s. Spinola";"Estado de Minas Geraes.";"Elevação ou transporte do café por meio do ar, em machinismo para café."
"3.647";"16";"Hector De Rocco.";"Republica Argentina";"Valvula inviolavel para garrafas ou outro qual- quer vasilhame."
"3.648";"16";"Manoel Gomes & Comp.";"Capital Federal.";"Aperfeiçoamentos em combustores de alcool para illuminação por incandescencia."
"3.649";"25";"Alcide Barillet.";"Idem";"Apparelho destinado a dar movimento a pequenas embarcações, denominado Velomano Bariller""."
"3.650";"27";"Victor P. D. Knight";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em canhões automaticos de tiro rapido."
"3.651";"27";"Raul da França Ribeiro";"Capital Federal.";"Indicador de estações de estradas de ferro e seme- lhantes."
"3.652";"2 de setembro de 1902.";"Pedro Antonio Borges.";"Estado de s. Paulo. ";"Apparelbo para matar formigas, denominado ""Des- truidor Lofgren"" "
"3.653";"2";"Adolpho Nagel.";"Idem.";"Machina para tirar caroços ou semantes das fru- tas."
"3.654";"";"Carlos Mika de Magalhães.";"Capital Federal.";"Preparado denominado ""Mikalina"", para extincção de insectos."
"3.655";"";"Manoel Antonio Guimarães";"Idem.";"Apparelho denominado ""Vendedor hygienico-ambu- lante""."
"3.656";"";"Pedro Pellegrino.";"Idem.";"Idem, idem Flexomoto"", destinado a alternar o balanço dos vehiculos quando em movimento."
"3.657";"";"Luiz Felippe Freire Aguiar";"Idem.";"Apparelho desinfectador aperfeiçoado,"
"3.658";"";"Agostinho Pinto Cardoso";"Idem.";"Apparelho para ajudar a fiscalização dos bonds."
"3.659";"5 de setembro de 1902.";"Emmet Horton.";"Estados Unidos dal America do Norte.";"Aperfeiçoamentos em machinas para fabricar cestos."
"3.660";"5""";"Roberto Clark";"Estado de S. Paulo";"Machina para limpar café em côco miudo, deno- minada ""The Dairy Brunior - Descascador>."
"3.661";"6 x";"Eduardo Mezergues e Armand Da- verat.";"Capital Federal.";"Systema de tornar os tecidos impermeaveis, deno- minado ""Systema Isolador Mezergues""."
"3.662";"6";"Bernardino Ferreira da Costa e Souza";"Idem";"Meio aperfeiçoado de esfriamento do ar."
"3.663";"";"Cecil Robert Hillman.";"Estado de S. Paulo";"Systema de para-choque central e engate para ve- hiculos de estradas de ferro."
"3.664";"";"Affonso Coelho Seabra.";"Estado do Rio de Janeiro";"Turbina motora immersa, denominada Turbina livre""."
"3.665";"13";"Luiz Nicolau Duffrayer e Guilherme Augusto de Faria.";"Capital Federal.";"Apparelho denominado ""Mictorio systema Duf- frayer""."
"3.665";"15";"José Pinto Rodrigues de Brito.";"Idem";"Nova peça dos chamados apparelhos sanitarios das habitações que denominou ""Cuspideira de lavagem continua."""
"3.667";"19";"Arens Irmãos";"Idem";"Apparelbo para limpar e desentupir quaesquer esteiras ou peneiras e especialmente as empre- gadas em machinas para separar e classificar os grãos de café, cereaes, sementes ou substancia, em grão, misturados ou não com outros corpos, denominado Escova oscillante>. "
"3.668";"19";"Emmet Horton.";"Idem Estados Unidos da America do Norte.";"Novos aperfeiçoamentos em machinas para fabricar cestos."
"3.669";"19";"Adolpho Chaumont";"Belgica";"Dispositivo para verificar e obter instantanea e exactamente a regulação dos freios de ar compri- mido, segundo o curso de embolo no cylindro."
"3.670";"22";"Luiz de Toledo Piza e Almeida";"Estado de S. Paulo";"Novo producto industrial extractivo, contendo toda a materia corante e todos os principios nu- tritivos organolepticos e aromaticos do café tor- rado, quebrado e moido."
"3.671";"27";"Ernesto José de Gommés Britto.";"Capital Federal.";"Invenção que denominou ""Annuncios instructivos>>."
"3.672";"27";"A. Alvares Penteado.";"Estado de S. Paulo";"Applicação da fibra de um vegetal da familia das malvaceas á fabricação dos tecidos, cordames e artigos semelhantes. "
