"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"1";"1678";"Silva & Comp.";"Capital Federal";"Uma ferradura denominada - Ferradura Silva & Comp.";"2 de janeiro";"15 annos."
"2";"1679";"Jacintho Pereira da Silva Barros.";"Taubaté (S. Paulo)";"Um descascador de café denominado - Descas- cador Bidiscolar";"8 de janeiro";"Idem."
"3";"1680";"Paulo Dubian";"Marselha (França)";"Aperfeiçoamento nas caldeiras de vapor.";"Idem";"Idem."
"4";"16S1";"P. A. Vom Der Made.";"Amsterdam";"Um seccador ou estufa racional";"16 de janeiro";"Idem."
"5";"1682";"Eugène Hermite.";"Paris";"Um apparelho destinado a preparar a solução electrolysada indicada na patente n. 1529.";"23 de janeiro";"Idem,"
"6";"1683";"Josephina Corrêa de Carvalho e Anna de Magalhães Costa.";"Capital Federal";"Um sabão denominado - Sapolio Cruzeiro do Sul.";"Idem";"Idem."
"7";"1684";"Dr. F. W Dafert e L. Riscinius.";"Campinas (S. Paulo).";"Processos novos no dessecamento do café";"1 de fevereiro.";"Idem."
"8";"1685";"Francisco Cardoso de Paiva.";"Capital Federal";"- Bastidor-renda-Moderno-Brasileiro";"6 de fevereiro.";"Idem."
"9";"1686";"Silvanus Philipps Thompson.";"Londres";"A perfeiçoamentos em apparelhos destinados a previnir a demora nos cabos electricos";"7 de fevereiro.";"Idem."
"10";"1687";"Constantino Alexander Hege";"Salim (Estados Unidos da America do Norte).";"Um descascador de café.";"Idem";"Idem."
"11";"1688";"Jean Ercole Pellegrine";"Paris";"Novo processo de fabricação por synthese do assucar crystalysado.";"Idem";"Idem."
"12";"1689";"Carlos Poma.";"Capital Federal";"Um systema de moldes especiaes para fabricação de canos de cimento";"Idem";"Idem."
"13";"1690";"Stahlberg & Comp.";"S. Paulo.";"Um novo apparelho para dar o gaz em qual- quer logar onde não existir gazometro sob a denominação de - Apparelho automatico de gaz";"21 de fevereiro.";"Idem."
"14";"1691";"Charles Theric & Alfred Oblasser.";"Paris";"Accumuladores electricos.";"Idem";"Idem."
"15";"1692";"Eugenio de Lacerda Franco.";"S. Paulo.";"Um ventilador para café, systema Lacerda";"23 de maio";"Idem."
"16";"1693";"Fernando Arens,";"Jundiahy (S. Paulo)";"Um apparelho denominado - Fornalha auto- matica.";"Idem";"Idem."
"17";"1691";"Alessandro Josia";"Genova";"Um processo de fabricação de marmore arti- ficial";"Idem";"Idem."
"18";"1695";"Henry Vander Weyde.";"Londres";"Um processo aperfeiçoado de tornar os blocos de gelos de facil fractura.";"Idem";"Idem."
"19";"1696";"John Sherrington";"S. Paulo.";"Um apparelho de seccar café ou qualquer outra materia, denominado - -Seccador-rapido-con- tinuo";"Idem";"Idem."
"20";"1697";"Alexandre Speltz & Frederic Bender.";"Capital Federal";"Um novo systema de calçamento";"ídem";"Idem."
"21";"1698";"Weineck & Sonder.";"S. Paulo.";"Um novo systema de canos para canalisações e drainagens";"Idem";"Idem."
"22";"1699";"Francisco de Souza Pitanga e Marcellino de Araujo Penna.";"Capital Federal";"Um systema de lampada para desinfecção.";"Idem";"Idem."
"23";"1700";"Weineck & Sonder.";"S. Paulo.";"Um novo systema de calçamento";"Idem";"Idem."
"24";"1701";"Anna de Magalhães Costa e Josephina Cor- rêa de Carvalho";"Capital Federal";"Saponaceo Cruzeiro do Sul";"Idem";"Idem."
"25";"1702";"Thomaz Sexton Crane.";"Nova-York.";"Um methodo de revestir de cobre os cascos de navios e apparelhos para. isso";"26 de maio";"Idem."
"26";"1703";"Francisco Ferreira de Moraes.";"Capital Federal";"Jombustivel-mineral-composto";"Idem";"Idem."
"27";"1704";"Henry Cecil Fellomes, William Robert Cro- zier e Henry Fergusson.";"Inglaterra";"Aperfeiçoamentos na extracção e preparação das fibras da rhéa e outras hervas e vegetaes fibrosos";"30 de maio";"Idem."
"28";"1705";"Eufrasio Manoel do Couto.";"Capital Federal";"Um meio de preparar nas machinas Bonsak e Elliot, cigarros com duas coberturas";"31 de maio";"Idem."
"29";"1706";"Joaquim Cesar da Rosa Peniche.";"Casa Branca (S. Paulo).";"Um separador de café em côco das pedras e areias misturadas com elle, denominado Apparelho Cesar Peniche";"4 de junho.";"Idem."
"30";"1707";"Carlos Miká de Magalhães.";"Rio de Janeiro.";"Processo para fabricar pilhas electricas, deno- minadas - Pilhas Miká";"Idem";"Idem."
"31";"1708";"Miguel Velez.";"Capital Federal";"Um novo preparado de cigarros de tabaco com uma mistura de resina balsamica de tolú, denominados - Cigarros balsamico de tolú.";"7 de junho.";"Idem."
"32";"1709";"Salathiel Avelino de Moura,";"Capital Federal";"Um novo systema de freio para ser appli- cado aos bonds, denominado - Freio systema Moura.";"21 de junho.";"15 annos."
"33";"1710";"Eward Schoneberg.";"Dusseldorf (Allemanha).";"aperfeiçoamentos na fabricação de arame far- pado para cercas,";"26 de junho.";"Idem."
"31";"1711";"Miguel Ribeiro Lisboa";"Barbaoena (Minas Geraes).";"Um novo processo mechanico para marcar ar- tigos de ceramica.";"Idem";"Idem."
"35";"1712";"The Central Cyclone Company, limited";"Londres";"Aperfeiçoamentos no processo de pulverisar ou desaggregar grãos ou outras substancias seccas e um apparelho para o mesmo fim.";"28 de junho.";"Idem."
"36";"1713";"William Tanner Boxwell e John Wilson Hope";"Liverpool (Inglaterra)";"Aperfeiçoamontos nas machinas para limpar a ribra dos caroços de algodão.";"Idem";"Idem."
"37";"1714";"Francisco Garcia Castanêda e a firma Gui- marães & Almeida";"Capital Federal";"Uia distribuidor automatico para liquidos frios, quentes ou gelados, denominado- Caixeiro economico";"Idem";"Idem."
"38";"1715";"Joaquim Luiz dos Santos Lobo";"Idem";"Um novo systema de lanchas movidas pela electricidade.";"Idem";"Idem."
"39";"1716";"Agostino Ferroni";"S. Paulo.";"Uma nova telha economica denominada - Telha paulistana Ferroni";"Idem";"Idem."
"40";"1717";"Elisiano Castanho, Bento Martins e Gabriel de Lima.";"Idem";"Um apparelho rectificador de alcools denomi- nado - Rectificador desinfectador aromati- sador brazileiro";"5 de julho";"Idem."
"41";"1718";"William Walker Junior, Frank Richard Wilkins e Jabez Lones.";"Inglaterra";"Aperfeiçoamentos em baterias voltaicas pri- marias.";"Idem";"Idem."
"42";"1719";"John Sherrington";"S. Paulo.";"Um novo apparelho denominado - Alambique Sherrington";"Idem";"Idem."
"43";"1720";"Call Spiel e Adolf Spiel";"Cannstadt (Allemanha)";"Aperfeigoamentos em motores de oleo";"11 de julho";"1dem."
"is";"1721";"Alfredo Seurot";"Buenos-Ayres";"Processo de fabricação pelo emprego de pavios ou torcidas de papel para phosphoros, velas de cebo, stearina ou cora e quaesquer outros apparelhos de illuminação e aquecimento do- tados de pavio ou torcida, denominado - Systema Seurot";"Idem";"Idem."
"45";"1722";"Euzebio Maximiano Pires Ferreira e Ma- noel Alves dos Santos";"Capital Federal";"Um balão submarino destinado a suspender do fundo do mar qualquer objecto";"Idem";"Idem."
"46";"1723";"Antonio Carlos de Aguiar Melchert.";"S. Paulo.";"Uma machina de seccar café, denominada - Seccador Melchert";"Idem";"Idem."
"47";"1721";"Nicola João Floriano.";"Rio de Janeiro";"Um motor pneumatico destinano a mover qual- quer machinismo, quer de terra, quer de mar";"19 de julho";"Idem."
"48";"1725";"Manoel P. Castanôn";"Buenos-Ayres";"Um novo systema de bilhetes para a fiscalisação de passagem nos bonds, estradas de ferro, barcas e outros vehiculos de transporte de passageiros e entrada de divertimentos, de- nominado - Systema Castanõn";"Idem";"Idem."
"49";"1726";"Francisco Berrini";"Capital Federal";"Um preparado denominado - Formicida Ber- rini - destinado a extincção das formigas.";"Idem";"Idem."
"50";"1727";"Romulo Brazone";"S. Paulo.";"Uma tinta denominada - Tinta incombustivel.";"20 de julho";"Idem."
"51";"1728";"Dr. Antonio Luiz Chevrand.";"Rio de Janeiro";"Um apparelho de beneficiar café, denominado - Machina Chevrand";"14 de agosto";"Idem."
"52";"1729";"Jean Reuse";"Enghien (Belgica).";"Uma machina aperfeiçoada para o fabrico do charuto";"Idem";"Idem."
"53";"1730";"Marcel Bernédo.";"Bordéos (França).";"Uma pasta e escrivaninha portatil, denominada - Le Gladiateur";"Idem";"Idem."
"54";"1731";"Peter Henry Vem der Weyde c Orazio Luzo";"Nova-York";"Aperfeiçoamento na fabricação do assucar.";"Idem";"Idem."
"55";"1732";"Bernardino Corrêa de Mattos.";"Estação de Vassouras (Rio de Janeiro)";"Um apparelho para fabricar telha curva, vul- garmente chamada nacional, para ser appli- cado a qualquer machina de fabricar tijolos.";"Idem";"Idem."
"56";"1733";"Izidoro Nardelli e Godofredo Stahlberb.";"S. Paulo.";"Uma machina universal a gaz hydrocarbino.";"Idem";"Idem."
"57";"1734";"Candido Francisco Ferreira.";"Capital Federal";"Um apparelho para a extincção da formiga saúva";"Idem";"Idem."
"58";"1735";"Manoel Feliciano da Costa.";"Rio de Janeiro";"Uma machina de guerra, denominada- - Me- tralhadora-Nictheroy-Rapida.";"TIdem";"Idem."
"59";"1736";"Dr. F. W. Dafert e L. Rivinius.";"Campinas (S. Paulo).";"Melhoramentos no processo de deseccamento do café e materias semelhantes e sua appli- cação na construcção dos seccadores.";"28 de agosto";"15 annos."
"60";"1737";"Falchi, Corso & Behmer.";"S. Paulo.";"Um novo systema de telhas denominado-Telha Brasileira.";"Idem";"Idem."
"61";"1738";"Franklin William Hatch";"Idem";"Um apparelho destinado a seccar café em côco, café despolpado, graos, sementes, folhas e outros productos, denominado - Seccador Franklin";"Idem";"Idem."
"62";"1739";"José Prestes.";"Idem";"Um seccador de café systema - Prestes.";"Idem";"Idem."
"63";"1740";"Jean Marie Moret.";"Besançon (França)";"Uma engrenagem de dentes moveis.";"Idem";"Idem."
"64";"1741";"Julius Peter Jensen e Andréas Joachim Ludwig Trebbin.";"Copenhague.";"Mancáes de espheras applicaveis a toda a especie de movimento circular";"Idem";"Idem."
"65";"1742";"James Bibby.";"Liverpool (Inglaterra)";"Aperfeiçoamentos nas machinas destinadas a limpar caroços de algodão.";"Idem";"Idem."
"66";"1743";"John Stewart Mac Arthur";"Pollokhields (Escossia)";"A perfeiçoamentos na precipitação de metaes preciosos do cyanureto ou soluções seme- thantes";"Idem";"Idem."
"67";"1744";"João Vasques";"S. Paulo.";"Um systema e apparelho para loterias.";"Idem";"Idem."
"68";"1745";"Jorge Luiz Teixeira Leite";"Capital Federal";"Trilho-vehiculo";"Idem";"Idem."
"69";"1746";"William Baker Hartridge";"Londres";"Aperfeiçoamentos no fabrico de combustivel.";"4 de setembro.";"Idem."
"70";"1747";"Joaquim Cesar da Rosa Peniche.";"S. Paulo.";"Um terreiro de seccar café, denominado - Terreiro Rapido";"Idem";"Idem."
"71";"1748";"Bernardo Pereira de Carvalho.";"Capital Federal";"Um banco-carteira escolar, systema-Carvalho";"Idem";"Idem."
"72";"1749";"Frederick Harvey";"Buskey";"Um systema de torpedos";"27 de setembro.";"Idem."
"73";"1750";"Antonio de la Torre";"S. Francisco da California.";"Um motor aperfeiçoado";"Idem";"Idem."
"74";"1751";"Alexandre Vaisset.";"S. Paulo.";"Apparelhos para segurança de portas, denominados - Feixos-Vaisset -";"Idem";"Idem."
"75";"1752";"Rodolpho Fechner.";"Capital Federal";"Accumuladores electricos.";"Idem.";"Idem."
"76";"1753";"Charles Ehle Lipe.";"Syracuse (Estados Unidos da America do Norte).";"Aperfeiçoamentos em descascadores e limpa- dores de café, arroz, etc.";"Idem";"Idem."
"77";"1754";"Augusto Landenne.";"Capital Federal";"Um apparelho electrico destinado a combinar perguntas e respostas para fins diversos";"Idem";"Idem."
"78";"1607";"Botelho, Teixeira & Auler";"Jahú (S. Paulo)";"Melhoramentos introduzidos na sua invenção ja privilegiada de uma machina de descascar café denominada - Descascador Teixeira.";"Idem";"Emquanto durar o prazo da pa- tente primitiva."
"79";"1755";"Ricardo Garcia de Menezes.";"Capital Federal";"Tintas incombustiveis";"6 de outubro";"15 annos."
"80";"1756";"Xisto Ranzini e Victorio Ranzini.";"S. Paulo.";"Um novo systema de telhas";"Idem";"Idem."
"81";"1757";"Leonardo Botelho";"Idem";"Um apparelho denominado - Separador-catador Botelho, destinado a separar e catar café.";"Idem";"Idem."
"82";"1758";"Clemente Menéres & Filhos.";"Porto (Portugal)";"Uma almotolia para transporte de azeite.";"Idem";"Idem."
"83";"1759";"Gustavo Hermann Roder";"Blumeneau (Santa Catharina)";"Um processo, machinas e apparelhos para o desfibramento. separação e preparo das fibras da ramie (ortiga branca) e outras plantas de fibras semelhantes. systema - Gustavo Roder";"Idem";"Idem."
"84";"1760";"Emilie Javaux, Charles François Gollois François Dupont.";"e Paris";"Um processo de purificação dos caldos assuca- rados pela electricidade.";"Idem";"Idem."
"85";"1761";"James Stirrat Cochran e John Wesley Watkins.";"Philadelphia (Estados Uni- dos da America do Norte)";"Machinas para desembaraçar os caroços de algodão de sua fibra.";"Idem";"Idem."
"86";"1762";"Eugène Hermite.";"Paris";"Um systema de fabricação de uma solução electrolysada e apparelhos destinados a esse fim.";"Idem";"Idem"
"87";"1763";"Henry Alfred Leverett";"Londres";"Aperfeiçoamentos no curtimento de couros pelles";"e Idem";"Idem."
"88";"1635 (bis)";"Evaristo C. Engelberg e Pedro A. Engelberg";"S. Paulo.";"Melhoramentos introduzidos em sua invenção ja privilegiada de um ventilador para café, ar- roz, etc., denominado - Ventilador Engelberg";"6 de outubro";"Emquanto durar o prazo da pa- tente primitiva."
"89";"1761";"Adolpho Lacombe.";"Buenos-Ayres";"Um elevador de liquido automatico";"9 de outubro";"15 annos."
"90";"1765";"John Charles Love.";"Washington.";"Melhoramentos introduzidos em um systema de ferro-carril electrico.";"Idem";"Idem."
"91";"1766";"Fernando Pinheiro Paes Leme";"Vassouras (Rio de Janeiro)";"Um systema de destruição de formigas saúvas e outras, denominado Systema Paes Leme - e apparelho para esse fim.";"17 de outubro";"Idem."
"92";"1767";"Adolpho Lacombe.";"Buenos-Ayres";"Um novo ventilador com regulador automatico, denominado - Ventilador hygienico";"Idem";"Idem."
"93";"1768";"Elihu Thomson";"Swampscatt (Estados Uni- dos da America do Norte.";"Aperfeiçoamentos em lampas electrica de arco";"Idem";"Idem."
"94";"1769";"Jean Joseph Pierre Vidal.";"Capital Federal";"Um apparelho para producção automatica do gaz de illuminação extrahido do petroleo, denominado - Appareiho Vidal";"Idem";"Idem."
"95";"1770";"Luiz Evaristo da Costa Cabral";"Idem";"Um systema aperfeiçoado de tapar latas.";"Idem";"Idem."
"96";"1771";"João de Souza Assumpção e Eduardo Magnin";"Idem";"Um apparelho destinado a indicar o peso da carga contida nos carros ou carroças, deno- minado - Molagrammetro";"18 de outubro";"Idem."
"97";"1707 (bis)";"Carlos Miká de Magalhães";"Rio de Janeiro.";"Melhoramentos introduzidos na sua invenção já privilegiada de um processo de fabricar pilhas electricas denominadas - Pilhas Miká.";"Idem";"Emquanto durar o prazo da pa- tente primitiva,"
"98";"1772";"Francisco Couto da Silva e José Justino Barbosa Vianna.";"Capital Federal";"Saúvacida nacional, para matar formigas";"20 de outubro";"15 annos."
"99";"1773";"Antonio Alves Vasques.";"Idem";"Um apparelho para transportar comida deno- minado - Porta comida Vasques.";"5 de novembro";"Idem."
"100";"1774";"A Oesterreichische Gasglühlicht Actien- gellschaft";"Vienna d'Austria.";"Um corpo incandescente para bico de gaz de incadescencia";"6 de novembro";"Idem."
"101";"1775";"A mesma";"Idem";"Um bico aperfeiçoado para luz incandescente. dos in-";"Idem";"Idem."
"102";"1776";"A mesma";"Idem";"Um processo de regeneração corpos candescentes para bicos de gaz de incandes- cencia.";"Idem";"Idem."
"103";"1777";"A mesma";"idem";"na preparação dos corpos para bicos de gaz de incan- descencia.";"Idem";"Idem."
"104";"1778";"Gublia Cardenal & Comp.";"Buenos-Ayres";"Um systema de matar formigas, ratos e outros animaes nocivos. denominado - l'ormicida- Brasileira";"Idem";"Idem."
