"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"105";"1779";"Augusto Barbosa";"Capital Federal";"Um poço tubular de captação e sondagem. articulados";"Idem";"Idem."
"106";"1780";"Claude Achille Caussat";"Idem";"Um systema aperfeiçoado de braços para toldos.";"14 de novembro";"Idem."
"107";"1781";"Paul Philippe François Michéu.";"Minas Geraes";"Um cimento-hydraulico - brasileiro-natural. denominado";"Idem";"Idem."
"108";"1782";"Coronel Patricio Alves de Cerqueira.";"Amargosa (Bahia).";"Um novo systema e plano de loteria, - Lotto";"Idem";"Idem."
"109";"1409 (bis)";"Leonardo Botelho";"S. Carlos do Pinhal (S. Paulo)";"Melhoramentos introduzidos em sua invenção já privilegiada de um ventilador para ventilar café descascado, denominado - Ventilador Botelho";"Idem";"Idem."
"110";"1783";"Karl Meray Horvat";"Arad (Ilungria)";"Uma machina de rotação continua para estam- par as matrizes";"28 de novembro";"Idem."
"111";"1784";"The Mining and Dredging Poawer Company";"Nova-York";"Aperfeiçoamentos nas bombas a vapor de vacuo.";"Idem";"Idem."
"112";"1785";"A mesma";"Idem";"Aperfeiçoamentos em apparelhos de drainagem";"Idem";"Idem."
"113";"1786";"Karl Hoefelmayr";"Aich (Allemanha).";"Um assento hygienico para latrinas dobrar correia";"Idem";"Idem."
"114";"1787";"Companhia America Fabril.";"Capital Federal";"Um processo para emendar ou para machinas por meio de um cimento";"Idem";"Idem."
"115";"1788";"Wilson Sons and Company, limited";"Idem";"Um apparelho para carregar e descarregar navios.";"15 de dezembro";"Idem."
"116";"1666";"Ramos & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção de um apparelho destinado a produzir o seca- mento de café e outros grãos, denominado - Seccador Augusto";"15 de dezembro";"Emquant durar o prazo da pa- tente primitiva."
"117";"1789";"Fernando Sangenis.";"Idem";"Uma machina denominada - Prensa Seringa - e uma massa para matar formigas saúvas.";"17 de dezembro";"15 annos."
"118";"1790";"Hans Schleier";"Capital do Estado da Bahia";"Um systema de conducção de passageiros e cargas, denominado - Via monocarril a gaz.";"19 de dezembro";"Idem."
"119";"1791";"Charles F. Pike.";"Philadelphia (Estados Uni- dos da America do Norte)";"Um processo de separação dos metaes pre- ciosos de seus minereos ou gangas e appa- relhos para esse fim.";"Idem";"Idem."
"120";"1792";"Edmond de Salusse Lussac";"Capital Federal";"Um apparelho para affixação de annuncios, denominado - Biombo annunciador.";"10 de dezembro";"Jdem."
"121";"1793";"Florindo de Souza Siqueira e Francisco de Paula e Oliveira.";"Idem";"Um systema de annuncios grandes illuminados pela luz electrica";"21 de dezembro";"Idem."
"122";"1794";"Frederico Kowarick";"Graz, Styria (Austria)";"Um apparelho e processo para seccar café verde";"24 de dezembro";"Idem."
"123";"1795";"Alberto Kuhlmann.";"Capital do Estado de S. Paulo";"Uma machina para seccar café ou outros grãos, denominado - Seccador-continuo Kuhlmann.";"idem";"Idem."
"124";"1692";"Eugenio de Lacerda Franco";"Campinas (S. Paulo),";"Melhoramentos introduzidos em sua invenção de um ventilador para café, systema La- cerda";"1dem";"Emquanto durar o prazo da pa tente primitiva,"
"125";"1796";"Luiz E, Bidone.";"Buenos-Ayres";"Um apparelho denominado - Baar Automatico - para distribuição, mediante a introducção de uma moeda ou uma ficha, de refrescos, licores, agua perfumada, etc.";"28 de dezembro";"15 annos."
"126";"1797";"Dr. Alvaro Carlos de Arruda Botelho.";"Jahú (S, Paulo)";"Uma machina de descascar cafe denoninada - Descascador S. Paulo";"19 de dezembro";"Idem."
"127";"1798";"Abreu, Ferreira & Comp.";"Capital Federal";"Melhoramentos em fogões de cosinhar.";"Idem";"Idem."
"128";"1799";"Joaquim da Silveira Mello";"Piracicaba (S. Paulo)";"Um ventilador-catador de café em côco ou beneficiado, denominado - Ventilador Sil- veira";"Idem";"Idem"
