"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.862";"27";"Luiz Capozza";"Belgica";"Aperfeiçoamentos em fabricação de papel."
"2.863";"27";"Borel & Comp.";"Capital Federal.";"Meios mecanicos de formar capas de duas voltas no fabrico de cigarros."
"2.864";"27";"D. M. Costa & Comp";"Idem";"Carteira aperfeiçoada para conter cigarros, charu- tos ou fumo."
"2.865";"28";"Os mesmos";"Idem";"Processo aperfeiçoado de fabricar carteiras de dous bolsos, para cigarros."
"2.866";"28";"Francisco Joaquim da Rocha";"Idem";"Apparelho aperfeiçoado para lavagens de recepta- culos de qualquer especie."
"2.867";"31";"A. Euterpino Borges.";"Idem";"Apparelho automatico gerador de gaz acetyleno, dis- pensando o gazometro."
"2.868";"31";"Orlando Morton Thowless";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em accendedores de lampadas in- candescentes,"
"2.869";"31";"Solomon Robert Dresser";"Idem";"Aperfeiçoamento em uniões isoladores para tubos."
"2.870";"31";"Henrique Molinari";"Estado de Minas Geraes.";"Tesoura aperfeiçoada de podar."
"2.871";"31";"Thomaz de Aquino & Comp";"Capital Federal.";"Novo systema de envolucros para cigarros, denomi- nado - Cigarros Rei do Mundo."
"2.872";"3";"Alvaro Borges Dias";"Idem";"Producto denominado - Sabonetina destinado á limpeza domestica."
"2.873";"3";"Verissimo Barbosa de Souza e Luiz José Monteiro.";"Idem";"Machina para extineção de incendios"
"2.874";"3";"Josef Franz Bachmann";"Austria";"Novo systema de resistencias electricas e sua appli- cação ao aquecimento electrico."
"2.875";"3";"Augusto Leconte";"França";"Combustor ou bico intensivo á incandescencia, para illuminação a gaz, funcionando sem chaminé."
"2.876";"10";"Willy Roos.";"Allemanha";"Aperfeiçoamentos proporcionados aos explosivos."
"2.877";"10";"Niels Bendixen";"Dinamarca";"Processo e apparelho para esterilizar leite, conser- vando-lhe tadas as propriedades do recem-mu- gido."
"2.7331:";"13 "" "" ""  ";"William Henry Porter";"Estados Unidos da America do Norte.";"Substancia catalyptica estavel para bicos de gaz e bicos para o mesmo."
"2.731";"13 "" ""  ";"Augusto Howard e Willard Reed Green.";"Idem.";"Aperfeiçoamento em processo de conservação directa da energia de combustivel do meio de expansão em força, e apparelho para esse flm."
"2,733";"16 "" "" ""  ";"John Mc. Loap Murphy";"Idem";"Aperfeiçoamentos em mecanismo de desvio electrico."
"2.736";"18 "" ""  ";"Julien Dulait Constantin Zelnay e Léon Rosenfeld.";"Belgica e Russia";"Systema de propulsor electro-dynamico."
"2.737";"18 "" "" ""  ";"Luiz Drumond Franklin.";"Estado de Minas Geraes";"Apparelho para extineção de formigas, denominado "" Apparelho systema Franklin""."
"2.738";"1 de fevereiro de 1899  ";"Manoel Fernandes Barcellos";"Capital Federal.";"Processo, apparelhos e systema de fabrico de sal commum e outros congeneres, extrahidos da agua do mar, por evaporação forçada e applicação do vapor systema Barcellos."
"2.739";"1 "" "" ""  ";"Géorg Friedrich Lebioda";"França";"Aperfeiçoamentos nos apparelhos para impregnar e tingir madeiras."
"2.740";"1 "" "" "" ""  ";"Walther Norust";"Allemanha";"Aperfeiçoamento em lampadas electricas de incan- descencia."
"2.741";"1 "" "" ""  ";"Henrique Bastos & C.";"Capital Federal";"Acondicionamento aperfeiçoado para cigarros."
"2.742";"1 ""  ";"Elias Peterson.";"Belgica";"Processo de tratamento dos minerios sulfuretados, contendo arsenico, antimonio ou tellurio."
"2.743";"1   ";"Henrique Bastos & C.";"Capital Federal";"Novo botão aperfeiçoado,"
"2.744";"1 "" ""  ";"Bartholomeu Chaná";"Estado do Rio Grande do Sul.";"Apparelho para refinação de assucar, denominado "" Nova refinadora Chaná ""."
"2.745";"1 ""  ";"A. Balagner & C.";"Capital Federal.";"Apparelho para destruição das formigas e outros insectos damninhos, denominado "" Ingrediente insecticida Brazil ""."
"2.746";"1 "" "" "" ""  ";"Os mesmos";"Idem";"Ingrediente insecticida, destinado á destruição das formigas e outros insectos damninhos, denomi- nado "" Ingrediente insecticida Brazil""."
"2.890";"31 "" "" ""  ";"Pedro Schubert";"Estado de Minas";"Machina para peneirar grãos ou outros materiaes, denominada- Peneirador Schubert."
"2.891";"31 ""  ";"O mesmo";"Idem";"Brunidor para café ou outros grãos denominado- Brunidor Schubert."
"2.892";"31 ""  ";"V. Steidel & Comp";"Estado de S. Paulo";"Carteirinha com phosphoreira para envolucros de cigarros."
"2.893";"1 de setembro de 1899  ";"August Philip Bjenegaard";"Estados Unidos da America do Norte";"Processo aperfeiçoado para o fabrico de verniz."
"2.894";"4 "" "" "" ""  ";"Alfred Jacob Sterne";"Idem";"Apparelho accendedor para bicos de gaz."
"2.895";"6 "" "" "" ""  ";"Nicolas Oris Dias, José Novas Go- mes, Albino Pereira de Magalhães e José Prado Peixoto.";"Capital Federal.";"Aperfeiçoamento em motores de gaz."
"2.896";"6 "" "" ""  ";"Henry Jafford Hale";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em assentos de carros."
"2.897";"6 "" "" ""  ";"Olympio Luiz Ennes.";"Estado do Rio de Janeiro";"Aperfeiçoamentos em machinas de fabricar cigar- ros."
"2.898";"6 "" ""  ";"James Albert Bonsalls";"Estados Unidos da America do Norte.";"Machina para fabricar cigarros de boquilha."
"2.899";"6 "" ""  ";"Izidoro Nardelli";"Estado de S. Paulo";"Apparelho de gaz acetyleno, denominado - I. He- dran Mariviglioso""."
"2.900";"6 ""  ";"Frederick Peter Rosback";"Estados Unidos da America do Norte.";"Nova machina para brochar livros."
"2.901";"6  ";"Alexandre Lagerman";"Suecia.";"Machinás para introdueção dos phosphoros em la- minas perfuradas, chamadas laminas isoladoras e sua remoção dessas laminas."
"2.902";"6 "" "" ""  ";"August Herman Schimidt";"Allemanha";"Novo processo de curtidura."
"2.903";"6 "" "" "" ""  ";"Alfredo Pires de Oliveira";"Capital Federal.";"Apparelho economico para remar escalleres ou conduzir carros ou bonds."
"2.972";"14 "" "" ""  ";"Capitão Joaquim Cerqueira Lima.";"Capital Federal.";"Apparelho automatico gerador de gaz acetyleno, denominado - Apparelho sem rival."
"2.973";"14 "" ""  ";"Barão do Bananal, Luiz da Rocha Miranda.";"Estado do Rio de Janeiro";"Novo systema de propulsores fluctuantes."
"2.974";"15 "" ""  ";"Antonio Joaquim Netto dos Reis.";"Capital Federal.";"Apparelho detensor de gaz. agua e luz electrica, com economia de 30 a 50%"
"2.975";"15 "" "" ""  ";"Commendador J. A. Ribeiro de Car- valho.";"Idem";"Novo processo de conservar indefinidamente folhas vegetaes, sem alteração de sua viveza, cor e qua- lidade natural - denominado Precesso Floren- tino. <"
"2.976";"16 "" ""  ";"Alberto Sibermann";"Allemanha";"Telegrapho impressor servindo para transmittir e receber simultaneamente muitos telegrammas, por um só fio telegraphico."
"2.977";"21 "" "" ""  ";"Manuel Isquierdo, Alberto Ureta, Maximiliano Movel e Carlos Mo- vel.";"Chile";"Novo processo de tratamento de minerios."
"2.978";"21 "" "" ""  ";"Soares, Castro & Comp";"Capital.";"Novos palitos accendedores."
"2.172 bis.";"10 de jan. de 1899.";"Major Adriano Julio dos San- tos Nogueira.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de banco-carteira denominado - Banco Carteira Adriano Nogueira."
"2.202 bis.";"17 de agosto de 1899.";"Carlos Monteiro de Lacerda.";"Rio Grande do Sul.";"Melhoramentos introduzidos na invenção, já privilegiada, de uma machina para matar formigas, denominada - Formicida Luiz Barreto."
"2.376 bis.";"7 de março de 1899.";"Henrique Bastos & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de uma carteira aperfeiçoada para cigarros."
"2.388 bis.";"17 de out. de 1899.";"Eugenio Aurelio Brandão do Valle.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de um apparelho para dissol- ver fezes, denominado - Dissolutivo Auto- matico."
"2.437 bis.";"7 de fev. de 1899.";"Auguste Collete Filho e Au- gusto Boidin.";"França";"Melhoramentos introduzidos na invenção, já privilegiada, de uns processos para extra- eção do alcool pela saccharificação e fermen- tação pelas mucedineas."
"2.470 bis.";"31 de out. de 1899.";"Alexandre Speltz.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, do emprego de correntes ele- ctricas de alta frequencia, produzidas por bibina Ruhmkorff e excitador de Kertz ou Tesla ou por outro meio, para telegraphia e telephonia, sem conductores, para photogra- phia, para illuminação e para produeção das mesmas correntes por contacto alterna- tivo com conductores de electricidade."
"2.488 bis.";"15 de fev. de 1899.";"Alvaro Botelho e Gautier & Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo meio de separar e classificar o café e outros grãos por um ap- parelho denominado - Separador semifixo Botelho."
"2.518 bis.";"4 de maio de 1899.";"Alvaro Botelho e Gautier Comp.";"&IS. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de uma applicação de força centrifuga á separação dos corpos por ta- manhos, fórmas ou naturezas diversas e apparelhes para esse fim denominado - Se- parador Centrifugo Universal."
"2,568 ter.";"3 de agosto de 1899.";"Pretextato José de Almeida.";"Minas Geraes.";"Melhoramentos introduzidos na invenção, já priveligiada, de uma torneira."
"2.594 bis.";"10 de agosto de 1899.";"Sensand de Larond & Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um granito artificial para a fabricação de parallelipipedos, ladrilhos, etc."
"2.672 bis.";"7 de junho de 1899.";"Antonio Francisco dos San- tos Marou.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos em ferros de engommar e outros."
"2.700 bis.";"25 de out. de 1899.";"Eliseo Bizzoto.";"Estado do Rio de Janeiro.";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo apparelho de fa- bricação de gaz acetylene, denominado - Ga- zometro Friburgo."
"2,737 bis.";"20 de dez. de 1899.";"Luiz Drummond Franklin";"Minas Geraes.";"Melhoramentos introduzidos na invenção, ja privilegiada, de um apparelho para extin- cção de formigas, denominado - Apparelho systema Franklin."
"2.763 bis.";"4 de maio de 1899.";"José Francisco Corrèa & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção, ja privilegiada. de um estojo aperfeiçoado para cigarros e charutos."
"2.488 bis.";"15 de fev. de 1899.";"Alvaro Botelho e Gautier Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo meio de separar e classificar o café e outros grãos por um ap- parelho denominado - Separador semifixo Botelho."
"2.518 bis.";"4 de maio de 1899.";"Alvaro Botelho e Gautier Comp.";"&IS. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de uma applicação de força centrifuga á separação dos corpos por ta- manhos, fórmas ou naturezas diversas e apparelhes para esse fim denominado - Se- parador Centrifugo Universal."
"2,568 ter.";"3 de agosto de 1899.";"Pretextato José de Almeida.";"Minas Geraes.";"Melhoramentos introduzidos na invenção, já priveligiada, de uma torneira."
"2.594 bis.";"10 de agosto de 1899.";"Sensand de Larond & Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um granito artificial para a fabricação de parallelipipedos, ladrilhos, etc."
"2.672 bis.";"7 de junho de 1899.";"Antonio Francisco dos San- tos Marou.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos em ferros de engommar e outros."
"2.700 bis.";"25 de out. de 1899.";"Eliseo Bizzoto.";"Estado do Rio de Janeiro.";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo apparelho de fa- bricação de gaz acetylene, denominado - Ga- zometro Friburgo."
"2,737 bis.";"20 de dez. de 1899.";"Luiz Drummond Franklin";"Minas Geraes.";"Melhoramentos introduzidos na invenção, ja privilegiada, de um apparelho para extin- cção de formigas, denominado - Apparelho systema Franklin."
"2.763 bis.";"4 de maio de 1899.";"José Francisco Corrèa & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção, ja privilegiada. de um estojo aperfeiçoado para cigarros e charutos."
"2.488 bis.";"15 de fev. de 1899.";"Alvaro Botelho e Gautier Comp";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo meio de separar e classificar o café e outros grãos por um ap- parelho denominado - Separador semifixo Botelho."
"2.518 bis.";"4 de maio de 1899.";"Alvaro Botelho e Gautier Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de uma applicação de força centrifuga á separação dos corpos por ta- manhos, fórmas ou naturezas diversas e apparelhes para esse fim denominado - Se- parador Centrifugo Universal."
"2,568 ter.";"3 de agosto de 1899.";"Pretextato José de Almeida.";"Minas Geraes.";"Melhoramentos introduzidos na invenção, já priveligiada, de uma torneira."
"2.594 bis.";"10 de agosto de 1899.";"Sensand de Larond & Comp.";"S. Paulo";"Melhoramentos introduzidos na invenção, já privilegiada, de um granito artificial para a fabricação de parallelipipedos, ladrilhos, etc."
"2.672 bis.";"7 de junho de 1899.";"Antonio Francisco dos San- tos Marou.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos em ferros de engommar e outros."
"2.700 bis.";"25 de out. de 1899.";"Eliseo Bizzoto.";"Estado do Rio de Janeiro.";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo apparelho de fa- bricação de gaz acetylene, denominado - Ga- zometro Friburgo."
"2,737 bis.";"20 de dez. de 1899.";"Luiz Drummond Franklin";"Minas Geraes.";"Melhoramentos introduzidos na invenção, ja privilegiada, de um apparelho para extin- cção de formigas, denominado - Apparelho systema Franklin."
"2.763 bis.";"4 de maio de 1899.";"José Francisco Corrèa & Comp.";"Capital Federal";"Melhoramentos introduzidos na invenção, ja privilegiada. de um estojo aperfeiçoado para cigarros e charutos."
"24";"3 de junho de 1899.";"Euzebio Maximiano Pires Ferreira";"Capital Federal";"Novo systema de montanha russa manual ele- ctrica ou a vapor, denominada - Montanha russa circular."
"25";"9";"Dr. Antonio Ribeiro da Silva Braga.";"Estado de Minas Geraes.";"Processo de preparação do extracto de carne soluvel e inalteravel"
"26";"13";"Fausto Pedreira Machado";"Estado da Bahia";"Apparelho de distillação e rectificação con- tinua"
"27";"15 "" "" """;"Joaquim Moura de Oliveira.";"Capital Federal";"Apparelho denominado - Marcador continuo Moura - que collocado no bond marca se- guidamente o numero de passagens."
"28";"16 "" "" "" """;"Manoel de Miranda Rosa.";"Idem";"Processo aperfeiçoado de fabricação de sal (chlorureto de sodio) obtendo o producto isento de humidade."
"29";"1 de julho de 1899";"Borel & Comp";"Idem";"Meio mecanico de formar capa de duas voltas no fabrico de cigarros"
"30";"1 "" "" "" """;"V. Steidel & Comp";"Estado de S. Paulo";"Carteirinha com phosphoreira para envolucro de cigarros"
"31";"27 "" """;"Manoel Dias do Prado";"Idem";"Apparelho de seccar café e outros grãos"
"32";"2 de agosto de 1899.";"Augusto Severo de Albu- querque Maranhão";"Capital Federal.";"Direcção dos balões"
"33";"12 "" "" "" """;"Abel Homem Cardoso.";"Idem";"Aperfeiçoamentos em caixas de phosphoros."
"34";"19 "" "" "" """;"Domingos Bias de Mesquita.";"Idem";"Systema de navegação aerea, denominado - Systema Bias."
"35";"22 "" "" "" """;"Alcide Barillet";"Capital Federal.";"Apparelho motor para dar movimento ás pe- quenas embarcações a que denominamos - Velomamo Barilet"
"36";"23 "" "" n";"José Severiano de Almeida.";"Estado do Ceará";"Novo aerostato"
"37";"4 de setembro de 1899.";"Paulo Costellani";"Estado de S. Paulo";"Nova machina para lavrar terra denominada - Arado Castellani."
"38";"13 "" "" """;"Luiz R. Miranda Sobrinho.";"Estado do Rio de Janeiro.";"Novo sysiema de cascos para barcos"
"39";"13 "" "" """;"José Salomão";"Capital Feneral.";"Um novo systema de alavanca para actuar os machinismos"
"40";"18 "" "" "" """;"Dr. Antonio Vaz Pinto Coelho da Cunha.";"Idem";"Utilisação para alimento e fins industriaes do tóro do. Pandanéos e particularmente do Pandanisutilos"
"41";"27 "" "" """;"Eduardo Magerm";"Estado de Minas Geraes.";"Lampada a gaz acetylene que inventou e deno- minou - Ideal"
"42";"16 de outubro de 1899";"Constantino Bignacus.";"Estado de S. Paulo";"Novo systema de clarificar e saponificar a resina"
"43";"3 de novembro de 1899.";"Nicolas Ons Dias e José No- vaes Gomes.";"Capital Federal.";"Canhão automatico denominado - Canhão Oris"
"44";"13 "" "" "" """;"Manoel de Miranda Rosa e Antonio Candido Borges.";"Idem";"Processo de fabricar sal (chlorureto de sodio), por meio de electricidade."
"45";"20 "" "" r """;"Joaquim Gomes Jardim e Luiz Gomes Nogueira.";"Estado do Amazonas.";"Machinas destinadas a lavagem de roupas e fibras vegetaes"
"46";"21 "" "" """;"Empreza Industrial de Me- lhoramentos no Brazil e capitão Frederico Ferreira de Oliveira.";"Capital Federal.";"Um apparelho destinado a supprimir a poeira no interior dos vagões de estradas de ferro, denominado - Anemophoro"
"47";"23 de novembro de 1899.";"Tenente Frederico Carlos da Cunha Junior.";"Capital Federal.";"Apparelho que resolve o - Motuo continuo."
"48";"13 de dezembro de 1899.";"José Mendes Rubem Ca- margo.";"Idem";"Novo systema de acondicionamento de cigarros de papel - Fin du Siécle."
"49";"27 "" """;"Thomaz Placido Teixeira de Farias.";"Idem";"Machinas de pressão de ar para movimento continuo com applicação a navios fluctuantes e submarinos, estradas de ferro, vehiculos de qualquer especie e industria"
