"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.781";"24 "" "" "" """;"Adolpho Ernesto Garcia Gredilha";"Idem";"Producto industrial, a que denominou ""Album Fac Philatelico ""."
"2.782";"24 "" "" """;"Samuel Ehrlich";"Idem";"Aperfeiçoamentos em bonets, gorros e semelhantes, denominados "" Aperfeiçoamentos em bonets, sys- tema Kneipp ""."
"2.783";"25 "" """;"Pedró Teixeira Godinho.";"Estado do Rio de Janeiro.";"Elixir da coqueluche."
"2.784";"25 "" """;"Frederico Seippel e Luiz Antonio de Freitas.";"Estado da Bahia";"Processo de fermentação de vinhos de qualquer materia prima, destinado à fabricação de alcool ou aguardente por meio de anticepticos."
"2.785";"25 """;"Mark Wosnop Marsden.";"Estados Unidos da America do Norte.";"Materia para enchimento e enfardamento."
"2.786";"25 "" """;"Guglichno Marconi";"Inglaterra";"Apparelhos empregados em telegraphia, sem fios."
"2.787";"25 """;"Custodio Francisco da Silva.";"Capital Federal.";"Carro de enterro economico."
"2.788";"25 de abril de 1899";"The Ramie Company.";"Estados Unidos da America do Norte.";"Machina aperfeiçoada para tratar ramie."
"2.789";"27 """;"Alfredo de Simas Enéas.";"Capital Federal.";"Systema de fechamento de wagons, portas de casas. cofres, malas, etc."
"2.790";"27 "" """;"Frederico Carlos da Cunha Junior e Fernando Adamezyck.";"Idem";"Novo systema de formas para telhas."
"2.791";"27 "" """;"Oscar Patric Ostergren e Mores Bur- ger.";"Estados Unidos da America do Norte.";"Processo de refrigerar e liquefazer fluidos aeri- formes e apparelhos para esse fim."
"2.792";"27 """;"A Sociedade The Monorail Portable Railway Limited.";"Inglaterra";"Aperferçoamentos em material rodante em via fixa ou permanente de ferro-carris de um só trilho."
"2.793";"27 "" "" """;"Pedro de Mello";"Capital Federal.";"Apparelho denominado - Auerno dynamo - des- tinado a utilizar a força dos ventos, trans- formado-o em electricidade."
"2.791";"27 "" "" "" """;"Edward Shaw.";"Inglaterra";"Aperfeiçoamentos nos processos de coser, concentrar e evaporar liquidos."
"2.795";"27 "" "" """;"William H. Baker";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processos e apparelhos para separar os metaes preciosos de seus minereos."
"2.796";"6 de maio de 1899";"Manoel Fernandes Barcellos";"Capital Federal.";"Apparelho para grande evaporação de quiquer liquido."
"2.707";"12 "" """;"Société Internationale de Minnerie et de Panification, systeme Shwei- tzer.";"Belgica";"Processo e apparelho para o fabrico continuo do pão."
"2.798";"12 de maio de 1899.";"Hemrischi Hempel";"Allemanha";"Processo para dar aos espiritos ou alcools a forma solida."
"2.799";"12 "" "" "" """;"Silvio Alimonda & Comp";"Estado de S. Paulo";"Novo systema de correia."
"2.800";"12 "" "" """;"João José da Silva.";"Idem";"Novo processo de fabricação de sabão, conhecido nos mercados sob o nome de sabão caboclo ou sabão da terra."
"2.801";"12 "" "" """;"George Delin";"Belgica";"Aperfeiçoamentos em ou relativos a bicos de gaz de incandescencia."
"2.802";"12 "" """;"Adolpho Zidore";"França";"Aperfeiçoamentos em compressores de carbureto."
"2.803";"12 "" "" "" """;"Arthur John Conning";"Nova Zelandia";"Aperfeiçoamentos em apparelho para marcar."
"2.804";"12 """;"Walter Edward Kimber";"Republica Sul Africana";"Aperfeiçoamentos em machinas para afiar furadores (brocas) de rochedos e brocas para machinas de furar rochedos e outros semelhantes."
"2.805";"12 "" "" """;"Edward Condisch Millard";"Inglaterra";"Apperfeiçoamentes em cinturões, correias e ob- jectos congeneres."
"2.816";"26 "" "" """;"Hime & Comp.";"Capital Federal.";"Ferro de engommar de tampa articulada."
"2.807";"26 "" "" """;"João Jacques Doublé.";"Idem";"Machina automatica de lavar roupa, denominada - Lavanderia automatica Doublé."
"2.808";"6 de junho de 1899";"Rudolf Brenne.";"Estado de S. Paulo";"Banco para collegio, denominado - Banco Escolar Paulista."
"2.809";"6 "" "" "" """;"Robert Harris Reeves";"Inglaterra";"Processo para purificar o ar dos esgotos ou enca- namentos."
"3.825";"15 de junho de 1899.";"Luiz Henrique Broux";"Estado de S. Paulo";"Torneira de ferro fundido."
"2.826";"15 "" "" "" """;"Julius Pintsch,";"Allemanha";"Processo para produeção do gaz. consistindo em uma mistura de gaz de gorduras e de gaz acety- leno e apparelho para esse fim, denominado - Misturador de gazes - systema Pintsch."
"2.827";"22 "" "" "" """;"John Fried Walmann & Comp,";"Idem";"Dispositivo servindo para accender espontaneamente bicos incandencentes pelo gaz."
"2.828";"1 de julho de 1999.";"Garcia Rabell Traduig Companv, cessienaria de Hans Edgar Graban.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas para fabricar ci- garros."
"2.829";"1 "" "" """;"Adolf Vogt.";"Austria";"Materia resistente ás correntes electricas."
"2.830";"1 "" """;"The International Typol Telegraph Company.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em telegraphos impressores."
"2.831";"1 "" "" "" """;"Augusto Pena e Paulo Schmidt";"Estado de S. Paulo";"Graxas nacionaes, destinadas a amaciar os couros, conservando-lhes a sua integridade, duração e até prolongando-a."
"2.832";"1 "" "" "" """;"Miguel Clement";"Estado do Rio Janeiro";"Apparelho denominado - Hydro-motor-Clement"
"2.833";"1 "" "" """;"Commendador José Alves Ribeiro de Carualho e João Mendes.";"Capital Federal.";"Novo systema de bonds, denominado - Guanabara - com fiscalização automatica."
"2.834";"1 "" "" "" """;"Pullen, Schmidt & Comp";"Idem";"Novo processo de fabricação de chinellas de charlotte e similares."
"2.835";"1 "" "" "" """;"J. Nicola & Irmãos";"Estado de S. Paulo";"Descascador para café e arroz, denominado - Des- cascador Universal."
"2.836";"4 "" "" "" """;"Winfield Scott Proskey.";"Estados Unidos da America do Norte.";"Lampada de vapor de hydroearbureto para illumi- nação incandescente."
"2.837";"4 """;"Enrico del Fabno";"Italia";"Calçado hygienico."
"2.838";"4 """;"Victor Jeanty";"França";"Nova pilha electrica."
"2.839";"4 """;"Carlos Berlingiera e Italo Spinardi";"Estado de S. Paulo";"Apparelho de alarme contra os gatunos e para aviso para aviso de incendio, denominado - Apparelho alarme."
"2.840";"4 "" "" """;"Adolpho da Silva Guerra";"Estado de Minas Geraes.";"Lombilho para montaria."
