"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"40";"1410";"Alfredo Mattos Pinheiro.";"Capital Federal";"Terreiros elasticos para seccar café e outr";"";""
"41";"1411";"Samuel Burguin.";"Estado do R10 de Janeiro.";"os productos. Carrinho-caixa denominado -- Box-Cart.";"5 de Março Idem";"Idem. Idem."
"42";"1412";"José Innocencio do Amaral Campos.";"Estado de S. Paulo.";"Machina denominada-Productor-Continno -";"12 de Março,";"Idem."
"43";"1413";"Jules Kuneman";"Hollanda";"Fermentação rapida dos caldos de melaços de cannas.";"Idem";"Idem."
"44";"1414";"Cecilio D'Alto";"Estado do Rio Grande do Sul.";"Processo para conservação de carne.";"19 de Março.";"Idem."
"45";"1415";"Antonio Appolinario de Carvalho.";"Capital Federal";"Novo systema de ferraduras aperfeiçoadas.";"Idem.";"Idem."
"64";"(1065)";"João Gonçalves Ferreira Tito.";"Idem";"Melhoramentos introduzidos na sua invenção privilegiada da busina automatica, para bonds e carroças.";"26 de";"Idem."
"47";"1416";"George Thomas Beilby";"Escossia";"Processo e apparelho para fabricação de cyanuretos";"Março";"Emquanto durar a patente pri- mítiva. "
"48";"1417";"Franz Beste";"Allemanha";"Apparelho permittiado effectuar automatica- mente a tomada e acabamento completo de photographias";"Idem.";"15 annos."
"49";"1418";"Uldarique Marga.";"Bruxellas";"Novo systema de cartuxos para armas de fogo.";"Idem.";"Idem."
"50";"1419";"John Drennan Curtis.";"Estados Unidos da America do Norte";"A perfeiçoamentos em arame farpado.";"Idem";"Idem."
"51";"(1365)";"Alfredo Fernandes de Castro Bravo";"Capital Federal";"Melhoramentos introduzidos na sua invenção privilegiada do Cognac de Seiva de Pinheiro e Balsamo de Tolú";"2 de Abril";"Emquanto durar a patente pri- mitiva."
"52";"1420";"The Mosquera Julia Food Company.";"Estados Unidos da America do Norte.";"Aperfeiçoamento na fabricação de fermentos, peptonas e productos peptonisados.";"Idem.";"15 annos."
"53";"1421";"Gustave Rasse.";"Capital Federal";"Leite em fermentação alcolica denominado - Kefyr";"Idem";"Idem."
"54";"1422";"Uldarique Marga.";"Bruxellas";"Aperfeiçoamentos em espingardas de repetição.";"Idem";"Idem."
"55";"1423";"Samuel H. Brown";"Estados Unidos da America do Norte.";"Novo processo para recozer ouadoçar metaes";"2 de Abril";"15 annos."
"56";"1424";"Thomaz Rodger";"Nova Zelandia.";"Arado aperfeiçoado para estender e nivelar o lastro sobre as estradas de ferro.";"Idem.";"Idem."
"57";"1425";"o mesmo.";"Idem";"Carros de distribuidor automatico para deitar lastro nas vias ferreas.";"Idem";"Idem."
"58";"1426";"Dr. Alvaro Alberto da Silva.";"Capital Federal";"Verniz economico para diluir e melhorar outros vernizes";"9 de Março.";"Idem."
"59";"1427";"Antonio Luiz da Silva";"Idem.";"Nova applicação do bambú-bengala e do bambú- massiço á fabricação de moveis curvados, mobilias de phantasia, galerias e molduras";"Idem.";"Idem."
"60";"1423";"Augusto Garnier.";"Idem.";"Papel vegetal";"23 de Abril,";"Idem."
"61";"(1093)";"Candido Franco de Lacerda.";"Estado de S. Paulo";"Melhoramentos introduzidos na sua invenção, de um novo apparelho e machina de beneficiar café, ventilal-o e classifical-o, e outros grãos, denominado - Ventilador Lacerda.";"20 de Maio.";"Emquanto rar a patente primitiva"
"62";"1429";"Francisco Comas.";"Capital Federal";"Novo systema de transportes aereos para cargas de todas as qualidades";"Idem.";"15 annos."
"63";"1430";"o mesmo.";"Idem.";"Novo systema de suspensão aerea para cana- lisações de todas as qualidades.";"Idem.";"Idem."
"61";"1431";"o mesmo.";"Idem.";"Novo systema de trasportes aereos por cabo sem fim, para cargas de todas as qualidades";"Idem.";"!dem."
"65";"1432";"Antonio Ribeirão Ferreira.";"Idem";"Processo da conservação dos ovos em perfeito estado,";"Idem.";"Idem."
"66";"1433";"Arnold Wertheimer";"Idem";"Machinas destinadas a carregar e descarregar carvão e outras materias, denominada - A Victoria";"7 de Maio";"Idem."
"67";"1434";"Guilherme Greenhalgh e Luiz de Castilho";"Idem.";"pparelho para creosotamento de madeira.";"Idem";"Idem."
"68";"1433";"Os mesmos.";"Capital Federal";"Novo systema de fixar o trilho ao dormente nas vias-ferreas";"Idem";"Idem."
"69";"1436";"Alberto Henry Potter";"Genebra";"Aperfeiçoamento em relogios de dar corda pelo pé";"Idem";"Idem."
"70";"1437";"Pierre Lamena.";"Pariz.";"Machina hydro-atmospherica de ar comprimido.";"Idem.";"Idem."
"71";"1438";"Charles Lempitt";"Londres";"Machina destinada a separar, limpar e classificar grão, servindo tambem para outros fins,";"Idem";"Idem."
"72";"1439";"Jabez Turton.";"Idem.";"Processo para extrahir metaes dos minerios ou mineraes que os contenham";"Idem.";"Idem."
"73";"1440";"George Boynton e Boynton.";"Capital Federal";"Cartões que denominou - Distribuição syste- matica, destinados á distribuição de acções e constituição do capital necessario a qualquer empreza industrial ou melhoramentos publicos";"Idem";"Idem."
"74";"1412";"Francisco La Rotonda.";"Idem.";"Melhoramento introduzido na machina denomi- nada - Fichary";"14 de Maio.";"Idem."
"75";"1442";"José Herculano de Castro.";"Estado de Minas Geraes";"Apparelho denominado - Motor a vento,";"21 de Maio.";"Idem."
"76";"1443";"Wilhelm Köhler e Daniel Kégler.";"Allemanha.";"Processo e forno para esmaltar os fundos dos utensilios de cozinha de esmaite.";"Idem";"Idem."
"77";"1444";"De Morgan Snell & Comp.";"Londres";"Transporte hydraulico.";"Idem.";"Idem."
"78";"1445";"Matheus Nogueira Brandão,";"Estado do Rio de Janeiro.";"Isolador cabrestante, de tracção ou esticador, destinado á construcção das grandes linhas telegraphicas coloniaes e á outras canalisações electricas aereas.";"Idem";"Idem."
"79";"1446";"Arthur Diniz Lagarde";"Capital Federal";"Novo combustivel economico denominado - Car- vão Brazileiro";"Idem.";"Idem."
"80";"1447";"João Gonçalves de Albuquerque e Frederico Carlos da Cunha.";"Idem.";"Gazometro portatil.";"Idem";"Idem."
"81";"1448";"Samuel Bevn.";"Estado de S. Paulo";"Melhoramentos na machina denominada - Des- polpador Bevn.";"28 de Maio,";"Idem."
"82";"1419";"o mesmo.";"Idem.";"Fornalha consumidora de fumaça.";"Idem.";"Idem."
"83";"1450";"o mesmo.";"Idem.";"Machina denominada - Engenho de café Bevn - destinada á limpar, descascar, ventilar, brunir e catar café e descascar arroz.";"Idem.";"Idem."
"84";"1451";"José Eduardo Mercadante.";"Capital Federal";"Apparelho para destruir os miasmas dos esgotos, denominado - Miasmivoro Mercadante";"15 de Maio.";"15 annos."
"85";"1452";"o mesmo.";"Idem.";"Apparelho destinado a destruir microbios, de- nominado - Injector Microcida Mercadante.";"Idem.";"Idem."
"86";"1453";"Elisha Gray";"Estados Unidos da America do Norte.";"Methodo e apparelhos para communicações telautographicas";"4 de Junho";"Idem."
"87";"1454";"Walter John Hammond e John Gordon.";"Do 1° no estado de S. Paulo e do 2° nesta cidade";"Concentrador de minerios.";"Idem.";"Idem."
"88";"1455";"John M. Carthy.";"Nova-York.";"Argolas para caixões funerarios.";"Idem.";"Idem."
"89";"(1315);";"Manoel Machado Toledo.";"Capital Federal";"Melhoramentos introduzidos na sua invenção já privilegiada de um aerostado.";"11 de Junho";"Em quantovigo- rar a patente primitiva."
"90";"1456";"Jules Pons.";"Estado de s. Paulo";"Explosivo por meio de reacção, sem perigo, consistindo na liga de oxydantes, hydrocar- buros e sulphuros";"Idem.";"15"
"91";"1457";"Frederick Henry Heath.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em juntas de trilhos.";"Idem.";"annos, Idem."
"92";"1458";"Marcellino José Vaz.";"Estado de S. Paulo.";"Applicação da fibra da planta denominada - Asclepias curassavica de Linnéo-á fabricação de tecidos, cordames, papeis e outros arte- factos";"Idem.";"Idem."
"93";"1459";"Companhia Industrial do Brazil.";"Capital Federal";"Novo systema de carros de mão com mola, para transportes de cargas, denominado - Car- rinho Industrial ";"18 de Junho";"Idem."
"94";"1460";"Dr. Charles Berthaud.";"Idem.";"Systema e conjuncto de installação de appare- lhos para engarrafamento de aguas mineraes, gazosas naturaes.";"Idem.";"Idem."
"95";"1461";"Companhia Industrial do Brazll";"Capital Federal";"Novo ferro para engommar";"Idem.";"Idem."
"96";"1462";"Emilio Krull.";"Estado da Bahia";"Nova machina para descascar café";"Idem.";"Idem."
"97";"1463";"Joseph Baykin Underwood";"Estados-Unidos da America do Norte";"Machina para fazer cigarros.";"Idem.";"Idem-"
"98";"1464";"Julio Francisco Ramos e João Dias de Almeida.";"Estado de s. Paulo";"Novo apparelho para apartar as pedras do café em côco";"25 de Julho";"Idem."
"99";"1465";"Daniel Meregaglia.";"Capital Federal";"Processo para fabricação de papelão-pedra";"Idem.";"Idem."
"100";"1466";"Julio Francisco Ramos e João Dias de Almeida";"Estado de S. Paulo";"Novo apparelho de descascar café.";"Idem.";"Idem."
"101";"1467";"Dr. Antonio de Castro Lopes.";"Capital Federal";"Novo gaz de illuminação domestica";"Idem";"Idem."
"102";"1468";"Antonio Silveira da Rosa";"Idem";"Processo aperfeiçoado de fabricar saltos de madeira para sapatos";"Idem.";"Idem."
"103";"1469";"Benedicto Pirola.";"Estado de s. Paulo";"Novo processo de fabricação de carvão-coke para fundição";"Idem";"Idem."
"101";"1470";"Leon Julien e Leopold Quarré";"Capital Federal";"Novo processo de impressão sobre tenidos de todas as qualidades";"Idem";"Idem."
"105";"1471";"João Franklin de Alencar Lima";"Idem";"Machina denominada - Seccador Alencar Lima";"Idem.";"Idem."
"106";"1472";"Augusto Alberto Cuimarães de Azevedo.";"Idem";"Novo systema de encarxofamento economico.";"2 de Julho,";"Idem."
"107";"1473";"Henry Parkes e John Cuninghame Mont- gomerie";"Do 1° na Inglaterra e do 20 na Escossia";"Aperfeiçoamentos na extracção de ouro e prata dos minerios ou compostos-que os contem";"Idem.";"Idem."
"108";"1474";"Charles August Riedig.";"Allemanha.";"Novas disposições applicaveis a todas as qua- lidades de calçado: botas, sapatos, chinel- las, etc., de qualquer materia.";"dem.";"Idem."
"109";"1475";"William Snell Chenhall e William Francis Snell Chenhall";"Londres";"Aperfeiçoamentos na solidificação de oleos mi- neraes e outros, assim como de fluidos vola- teis e outros.";"Idem.";"Idem."
"110";"1476";"Frederico Carlos da Cunha e João Gon- calves de Albuquerque.";"Capital Federal";"Gerador de vapor instantaneo, portatil e in- explosivel";"Idem";"Idem."
