"";"N";"CONCESSIONARIOS";"DOMICILIOS";"OBJECTO";"DECEETO";"DURAÇÃO"
"162";"3.139";"Dr. Dinis Cousinne";"Horrns ( Belgica)";"Machina de fabricar cigarros";"19 de outubro";"Idem."
"163";"2.140";"Barbien & Breviglien";"S. Paulo.";"Invenção da a Nova escova electrica para ma- chinas e dynamos";"26 de outubro";"Idem."
"164";"2.111";"Fortunato Castagnose";"Capital Federal";"Processo de cêra para lustrar assoalhos, mo- bilias e couros";"Idem";"Idem."
"165";"1.887 (bis)";"Miguel Velez";"Capital Federal";"Melhoramentos introduzidos na invenção de um novo processo de carbonar gaz hydrogeno, fraco, privilegiado pela patente n. 1.887, de 10 de junho de 1895";"17 de novembro";"Emquanto vigo- rar a patente n. 1.887."
"166";"1.934 (bis)";"Carlos Monteiro de Lacerda";"Porto Alegre";"Melhoramentos introduzidos na invenção de um apparelho funil-fórma, para o exterminio das formigas, privilegiada pela patente n. 1.934, de 1 de outubro de 1895";"Idem";"Emquanto vigo- rar a patente n. 1.931."
"167";"1.954 (bis)";"Edgard de Castro";"S. João d'El-Rey";"Melhoramentos introduzidos na invenção eum processo de conservação de leite para expor- tação, privilegiada pela patente n. 1.954, de 6 de novembro de 1895";"Idem";"Emquanto vigo-"
"168";"2 142";"c. A. Propfe & Comp.";"Hamburgo ( Allemanha)";"Processo para a transformação directa do trigo, milho e outros grãos em massa prompta para serem cosidos";"Idem";"rar a patente n. 1.954. 15 annos."
"169";"2.143";"Companhia Frigorifica e Pastoril Brazi- leira";"Capital Federal";"Systema aperfeiçoado de carros ou vagões fri- gorificos para transporte de carnes verdes";"Idem";"Idem."
"170";"2.144";"Jules Lebran e Leon Mineur";"Bruxellas Belgica";"Bico ou combustor para a illuminação pelo acetylene.";"Idem";"Idem."
"171";"2.145";"Conrado de Strawe";"Capital Federal";"Processo simplificado para fabricar cravos de ferraduras";"Idem";"Idem."
"172";"2.146";"Carlos Monteiro de Lacerda";"character(0) Porto Alegre";"Fogão deno inado - Cozinha Brazileira";"Idem";"15 annos."
"173";"2.147";"Albert Bonsack.";"Ph@adelphia (Estalos Uni- dos).";"Machina para fabricar cigarros conicos.";"Idem";"Idem"
"174";"2.148";"Sally Katz";"Hamoungo (Allemamha).";"Processo da fabricação de briquettes de carvão de madeira por meio de cavacos aparas de madeira, etc.";"Idem";"Idem"
"175";"2.149";"William Hugo Woodcock.";"(Inglaterra).";"Aperfeiçoamento em mancaes de rolos";"Idem";"Idem."
"176";"2.150";"Joaquim Akcamerz y Plá";"Porto Alogre";"Machina para refinação de assucar";"17 de novembro.";"15 annos."
"177";"2.151";"Nicoláu Terento";"Remende (Rio de Janeiro)";"Aperfeiçoamentos em alambiques";"Idem";"Idem."
"178";"2.152";"Airredo Calainho";"Capital Federal";"Kiosque destinado a servir de toilette publico, denominado - Kiosque Water-closet";"22 de novembro.";"Idem (*)."
"179";"2.153";"Bilmond Ju Salusse e Laventance de Salusse";"Idem";"Machina para empacotar cigarros em carteiras, denomina - Regina.";"24 de novembro.";"Idem (*)."
"190";"2.154";"Affonso Coelho Searas";"Conservatoria Rio de Ja- neiro";"Dentaduras por systema de agulhas";"30 de novembro.";"Idem."
"181";"2.155";"Hugo Bilgram";"Philadelphia (Estados Uni- dos).";"Machina para fabricar cigarros conicos.";"Idem";"Idem."
"18:";"2.156";"Miguel Velez.";"Capital Federal";"Novo systema de illuminação por meio do gaz hydrogeneo acetylenado ou gaz acetyleno hydrogenado comprimido em depositos por- tateis.";"Idem";"Idem"
"183";"2.137";"Storice Générale pour 1' Exploitation des Brevets West";"Bruxellas (Belgica)";"Aperfeiçoamento em machinas de assentar rodas de carros";"Idem";"Idem"
"184";"2.158";"Manoel Maximino Nogueira Jaguaribe.";"Capital Federal";"Novo meio de produzir gaz incandescente.";"Idem";"Idem."
"185";"2.159";"Paul Emil Schoenfelder e Emil Kenle";"Nevark (Estados Unidos)";"Aperfeiçoamentos em papel photographico sen- sibilisado.";"Idem";"Idem."
"186";"2.160";"Manoel Maximino Nogueira Jaguaribe";"Capital Federal.";"Apparelho a gaz incandescente";"Idem";"Idem."
"187";"2.161";"Julius Evinof.";"Londres (Inglater a).";"A perfeiçoamento em systema de segurança para porcas.";"30 de novembro.";"15 annos."
"188";"2084 (bis)";"Alexandre Kargcherff e Serge Densmenie.";"S. Petersburgo.";"Melhoramentos introduzidos na invenção de um novo processo pyrochimico para ex- trahir diractamente de seus mineraes o ferro e outros metaes, privilegiada pela patente n. 2084, de 18 de julho de 1896";"16 de dezembro.";"Emquanto vigo- rar a patente n. 2084."
"189";"2.162";"Virgilio Antonio de Brito";"S. Paulo.";"Rectificador condensador denominado-Brito";"Idem";"15 annos."
"190";"2.163";"José Bento Dias Ferraz";"Idem";"Descascador para café e outros grãos denomi- nado - Descascador Ferraz";"Idem";"Idem"
"191";"2.164";"Gustave Trouvè.";"Pariz";"Systema de producção continua, armazenagem e utilisação industrial do gaz acetyleno puro ou misturado com outros gazes.";"Idem";"Idem."
"192";"2.165";"Verissimo Barbosa de Souza";"Capital Federal";"Apparelho fluctuador denominado - Dayme";"17 de dezembro.";"Idem."
"193";"2.166";"Octavio Cordoba";"Buenos Ayres";"Invenção denominada - Formicida Wurtz.";"Idem";"Idem."
"194";"2.166";"Pompeu Garuti e Ricardo Pompili";"Napoles (Italia).";"Apparelho para produzir gaz oxygeneo e by- drogeneo por meio da electrolyse";"Idem";"Idem."
"195";"2.168";"José Sampaio";"Capital Federal";"Composição para desaggregar tiptas velhas, vernizes, etc., denominada - Tinticida Iham.";"Idem";"Idem."
"196";"2.169";"Alfredo Fernandes de Castro Bravo.";"Idem";"Machina de extrações lotericas, denominada - Simultanea";"21 de dezembro.";"Idem."
"197";"2.170";"William Rose";"Idem";"Aperfeiçoamentos nas machinas de empacotar e outra materia analoga";"Idem";"Idem."
"198";"2.171";"Carlos J. Williams";"S. Paulo";"Apparelho, não automatico, denominado - Simplex, para o fabrico e uso do gaz acety- leno obtido pelo carbureto de calcio";"Idem";"Idem (*)."
"199";"2.172";"Major]Adriano Julio dos Santos Nogueira.";"Capital Federal.";"Invenção de banco-carteira, denominado - Banco +carteira Adriano Nogueira";"Idem";"Idem (*)."
"200";"2.173";"J. Recamier";"Nictheroy";"Invenção de uma massa, denominda - Massa Rocamier, destinada a cobrir caldeiras de vapor e tubos.";"28 de dezembro.";"Idem"
