"";"N";"CONCESSIONARIOS";"DOMICILIOS";"OBJECTO";"DECEETO";"DURAÇÃO"
"39";"2.022";"Lidgerwood Manufacturing, Compny limited";"New York";"Catador denominado - Novo Catador Lidger- wood - para café e outros generos que possam ser separados pela acção do vento.";"Idem";"Idem."
"40";"2.023";"Frenk Wright";"Londres";"Aperfeiçoamentos no machinismo dos contadores de gaz que são postos em acção por meio de uma moeda";"Idem";"Idem."
"41";"2.024";"José Augusto da Silva.";"s. Paulo.";"Ventilador duplo para café, denominado - Ven- tilador Silva.";"16 de março.";"Idem."
"42";"2.025";"Salvador Angelico";"Idem";"Nova lampada a gaz de essencia de petroleo, denominada - La Pola re.";"19 de merço.";"Idem."
"43";"2.026";"José Bernardo da Silva Moreira";"Juiz de Fóra (Minas Geraes),";"Preparado denominado - Agrophilo - destinado a exterminar formigas, o cupim o philoxera, e outros insectos damninhos.";"Idem";"Idem."
"44";"2.027";"Jules Amedée Allagnon e Gaston Jules Allagnon";"Vitry sur Saine (França).";"Machinas para fazer cigarros sem colla, de rôlo continuo, funccionando sem nenbum concurso manual, conjunctura (exclusivamente mecanica) e enchimentos simultaneos.";"Idem";"Idem."
"45";"2.028";"Alfred Studhan Elliot.";"E. U. da America do Norte.";"Bicos para gaz hydro-carbonicos";"23 de março.";"Idem."
"16";"2.029";"Verissimo Barbosa de Souza.";"Capita Federal.";"Invenção dennomiada - Gelador American.";"Idem";"Idem."
"47";"2.030";"Bernhard Witenz e Frederico Bender.";"Idem";"Systema aperfeiçoado de assentamento de trilhos sobre camadas de beton.";"Idem";""
"48";"2.031";"Adolpho Leigle";"Pariz";"Apparelhos de pyrogenação.";"Idem";"Idem."
"49";"2.032";"Adolpho Leigle";"Idem";"Apparelho para a transformação por pyroge- nação dos hydro-carburetos pesados.";"Idem";"Idem."
"50";"2.033";"Richard Lamb";"New York";"Systema aperfeiçoado de tracção para alar objectos pesados";"Idem";"Idem."
"51";"2.034";"Herimick Reissing";"Berlim.";"Vasilha aperfeiçoada para receber rveja e bebidas semelhantes";"31 de março,";"Idem."
"52";"2.035";"George René Blot";"Pariz";"Aperfeiçoamentos na construcção dos accumu- ladores do genero - Planté,";"8 de abril";"Idem."
"53";"2.036";"Bailly & C.a.";"Capital Federal";"Torneiras de cabeça movel com fios de roscas exteriores e com enchimentos metaliicos.";"12 de fevereiro.";"13 annos."
"54";"2.037";"Emile Grandgnard.";"Idem";"Nova galeria economica para familia.";"Idem";"Idem."
"55";"2.038";"Francisco Antonio Gallo Junior";"Idem";"Novo processo de fabrico de phosphoros amor- phos de cera, fazendo uso na composição da massa de uma droga atd hoje não empregada para este fim. e um apparelho denominado - Resfriador";"15 de abril";"Idem."
"56";"2.039";"John French Golding";"Chicago (Estados Unidos da America do Norte)";"A perfeiçoamentos na de obras de metal coberto ou reticulado e nas machinas para esse fim";"Idem";"Idem."
"57";"2.010";"Leopold Guarré,";"Capital Federal";"Novo systema de distillação economica e rapida das materias resinosas e apparelhos para esse fim.";"Idem";"Idem."
"58";"2.041";"Miguel Velez.";"Idem";"Caixinha para conter cigarros e phosphoros de- nominada - caixa mixta.";"Idem";"Idem."
"59";"2.012";"Emil Claviez.";"Leipzig (Allemanha)";"Processo a perfeiçoado de fabricação de fio ou linha de papei e apparelho para esse fim.";"Idem";"Idem."
"60";"1 697 bis";"Bernhard & Witeng";"Capital Federal";"Melhoramentos introduzidos na invenção de um novo systema de calçamento privile- giad o pela patente n. 1.697, de 23 de maio de 1894";"23 de abril";"Idem."
"61";"1.888 bis";"Lawrence de Salusse";"Idem";"Melhoramentos introduzidos na invenção de um novo systema adaptivo para attixação de annuncios pintados a oleo no interior dos cortinados dos onds (tramways) denominado - Cortinado annuncio - privilegiada pela pa- tente n. 1.888, de 10 de julho de 1895,";"Idem";""
"62";"2.043";"Charles Thompson.";"Granstham (Inglaterra)";"Aperfeiçoamentos em apparelhos transporta- dores de grãos, minereos e outras substancias analogas";"Idem";"Emquanto vigh- rar a pitente n. 1.697. 15 annos."
"63";"2.014";"Antonio Silveira da Rosa";"Capital Federal";"Systema a aperfeiçoado de fôrma para calçado";"Idem.";"Idem."
"64";"2.043";"George Gruber.";"Taubaté";"Novo producto preparado do talco, para Ser usado na medicina e na industria. 1128";"de abril";"Idem."
"65";"2.016";"William Anderson Hulsi.";"New-York";"Aperfeiçoamentos em methodos e machlnismos para fabricar cigarros";"2 de maio";"Idem."
"66";"2.017";"Bento Martins";"S. Paulo.";"Condensador para alambiques intermittentes, denominado - condensador simples";"8 de maio";"Idem."
"67";"2.018";"Michael Kirskner";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de fabricar ci- garros.";"Idem";"Idem."
"68";"2.019";"Bernardo Pereira de Garvalho.";"Capital Federal";"Invenção denominada - mobila portatil, sys- tema Carvalho.";"11 de maio";"Idem."
"69";"2.050";"Adolfo Schimidt.";"Allemanha";"Aperfeiçoamentos no processo e apparelhos para a distillação secca das madeiras.";"25 de maio";"Idem."
"70";"2.051";"The Crown Cork Sindicate limited";"Londres";"Melhoramentos nos meios de rolhar garrafas.";"Idem";"Idem."
"71";"2.052";"Edward Thomas Pollar";"Idem";"A perfeiçoamentos em machinas de fazer ci- garros";"Idem";"Idem."
"72";"2.033";"Herbert Joly.";"Witemberg (Allemanha).";"Invenção para armar escadas e vigamentos.";"25 de maio";"15 annos."
"73";"2.054";"Gostaf Ferdinand Flomand.";"Stockolmo";"Aperfeiçoamentos em bombas de diaphragma movidas por vapor";"Idem";"Idem."
"74";"1.955 bis";"Societé des Generateures á vaporisation instantenée. systeme Serpollet";"Paris";"Melhoramentos introduzidos na invenção de ge- radores com vaporisação instantanea, a er- feiçoados, systema Serpollet - privilegiada pela patente n. 1.955, de 7 de novembro de 1895";"28 de maio";"Emquanto vigorar a patente n. 1955."
"75";"2.055";"Clodins Thery";"Capital Federal";"Systema aperfeiçoado de forno portatil para carbonisar madeira";"3 de junho";"15 annos."
"76";"2,056";"Theophilo Henrigne de Sant'Anna.";"Idem";"Invenção para descabellar e engrossar couros.";"9 de junho.";"Idem."
"77";"2.037";"Antonio do Espirito Santo Silva";"Idem";"Invenção relativa á applicação do mineral mica a fins industriaes";"16 de junho.";"Idem."
"78";"2.058";"Salomon Berditchewsky nomeado Apostol- loff";"Londres";"Systema de permutação automatica para as re- des telephonicas";"17 de junho.";"15 annos."
"79";"2.059";"José Rodrigues Botel e Antonio Rodrigues de Barros";"Capital";"Apparelho para esterilisar todas as materias fecaes automaticamente";"Idem";"Idem."
"80";"2.060";"Capitão Antonio Nunes de Salles";"Idem";"Mobilia para dormitorio combinada em uma só peça";"Idem";"Idem."
"81";"2.061";"Marcus Mason";"Nova York";"Aperfeiçoamentos em despolpadores para café.";"idem";"Idem."
"82";"2.062";"Drs. Carlos Cesar de Oliveira Sampaio e Charles Bonneau.";"Capital Federal e Pariz.";"Novo systema de purificação das aguas de esgoto.";"25 de junho";"Idem."
"83";"2.063";"Adolpho George Hoffman";"Berlim.";"Nova tala de juncção denominada - - Trilhos continuos";"Idem";"Idem."
"84";"2.064";"Dr. José Roberto da Cunha Salles";"Capital Federal.";"Novo systema de annuncios pintados e photo graphados em diversas côres sobre vidro e reflectidos em tela opaca, por meio da luz oxydrica ou dynamica em lanterna magica.";"Idem";"Idem."
"85";"2.065";"Dr. Dittmar Finkler";"Bonn (Allemanha).";"Processo de fabricação de substancias albumi- nosas por meio de misturas e de productos animaes e vegetaes.";"Idem";"Idem."
"86";"2.066";"Agostinho Nogueira da Silva";"Ribeirão Preto (S. Paulo).";"Ventilador catador de café e outros grãos, de- nominado - Ventilador Catador Nogueira.";"Idem";"Idem."
