"N";"DATA DA EXPEDIÇÃO";"CONCES'STONARIOS";"RESIDENCIA";"OBJECTO"
"3.324";"18";"Sociedade por acções ""Promethée"".";"Russia.";"Novo explosivo."
"3.325";"15";"Manoel Teixeira de Azevedo";"Capital Federal";"Nova lampada a acetyleno, denominada Lampada Camões ""."
"3.326";"20";"Jorge Augusto Petiz.";"Idem";"Invenção denominada Animaes electricos>."
"3.327";"20";"Bernardo Pereira de Carvalho.";"Capital Federal.";"Novo systema de salva-vidas, denominado "" cadeira salva-vidas"""
"3.328";"29";"Nicola João Floriano.";"Idem";"Processo para conservação de ostras e outros mo- luscos."
"3.329";"30";"Henrique Junot";"Estado da Bahia";"Machina .de refinar assucar, denominada refinador Junot"""
"3.330";"30";"Frank W. Holbrook";"Estado de S. Paulo.";"Machina destinada a separar e classificar o café, denominada "" separador monitor ""."
"3.331";"30";"Thomaz James Clarke Drewett";"Inglaterra.";"Material aperfeiçoado para a producção de moldes estereotypicos."
"3.332";"31";"João Vieira Ferro";"Capital Federal.";"Distribuidor de desinfecção hygienica."
"3.333";"31";"Companhia Nacional Manufactora de Fumos.";"Idem";"Apparelho para imprimir fachas transversaes am- breadas em mortalha continua para cigarros."
"3.334";"31";"John Frieds Wallmann & Comp.";"Allemanhal";"Relogio aperfeiçoado circulado de placas, escutdos, etc., para fins diversos."
"3.335";"31";"Luiz Engelhon.";"E. U. da America do Norte";"Processo para produzir gelo e apparelho para esse fim."
"3.336";"1 junho";"Manoel Joaquim Fernandes";"Capital Federal";"Novo systema de adubo para fertilizar os terrenos cultivados, denominado "" adubo Progresso"
"3.337";"12";"Virgilio da Silva Ramos";"Idem";"Massa para tempero."
"3.338";"12";"João Ribeiro de Carvalho Chaves.";"Idem";"Novo systema de empacotamento de massas ali- menticias."
"3.339";"13";"Hygino Smith Wootley.";"E. U. da America do Norte";"Aperfeiçoamento em fornalhas."
"3.340";"17";"Silva & Pinna.";"Capital Federal.";"Cigarreira denominada cigarreira Brazil >"
"3.341";"17";"Bemvindo Torres de Araujo Brandão";"Idem";"Vassoura mecanica, denominada "" vassoura Bran- dão""."
"3.342";"26";"Leopoldo Nery Vollú e Claudino Nery Vollú.";"Idem";"Novo motor thermico rotatorio, intitulado "" Bateria thermodynamica :"
"3.343";"27 de junho de 1901.";"Torquato Gonçalves Lamarão.";"Capital Federal.";"Apparelho automatico para sondar e registrar as sondagens, denominado "" Sondographo."
"3.344";"27";"Alberto Hayes.";"Estados Unidos da America do Norte.";"Processo para vaporisar e queimar oleos hydrocar- burados e apparelhos para esse fim."
"3.345";"27";"Charles Lewis Pulmann.";"Idem";"Ventilador."
"3.346";"27";"George Westinghouse";"Idem";"Aperfeiçoamento em producção e utilisação do gaz."
"3.347";"27";"Escole Francisco Callissano";"Republica Oriental do Uru- guay.";"Apparelho domestico para o consumo de kerozene em lata."
"3.348";"27";"Cornelio Bouger";"Hollanda";"Aperfeiçoamento em bombas de dragas ou dispo- sitivo de parada em dragas pela aspiração con- tinua e alternada em conductos diversos."
"3.349";"27";"Francisco Munhoz Cortês";"Capital Federal";"Apito denominado : Apito Cortês."
"3.350";"8 julho";"The Cotton Seed Cy. Limited.";"Inglaterra";"Aperfeiçoamentos em apparelhos para seccar al- godão e outros materiaes."
"3,351";"8";"Idem";"Idem";"Aperfeiçoamento em apparelhos para ensaccar fa- rinha e materias analogas."
"3.352";"8";"Idem";"idem";"Aperfeiçoamento em processo de branqueamento de materias oleoginosas."
"3.353";"10";"Dr. John James Marchant.";"Capital Federal.";"Turbina nova denominada Duplex""."
"3,354";"12";"João de Almeida Casaes";"Idem";"Aperfeiçoamento na fabricação de papeis pintados destinados a forração de casas e semelhantes,"
"3.355";"12";"Idem";"Idem";"Novo processo de decoração applicado ás artes e in- dustrias."
"3.356";"12";"Idem.";"Idem";"Novo systema de barras ou guarnições introduzidas na industria de papeis pintados."
"3 357";"12";"Idem";"Idem";"Apparelho .para alimentar de papel as machinas de fabricar confetti e meios destinados á limpeza e separação dos mesmos."
"3.358";"15";"Frank Soldani y San Martin";"Republica Argentina";"Novo processo de cortinados."
"3.359";"15";"Companhia Mecanica e Importadora de S. Paulo.";"Estado de S. Paulo";"Machina destinada a separar café beneficiado de accordo com os tamanhos e formas, denominado <Separador Mechanico""."
"3.360";"15 """;"Idem";"Idem";"Machina destinada a separar café em casquinha (marinheiro), café concha, café coquinho o corpos estranhos, do café beneficiado, denominado ""Se- parador Casquinha""."
"3.361";"15";"Idem";"Idem";"Machina destinada a beneficiar café denominada Machina para beneficiar café Shuhnan""."
"3.362";"15";"Pedro Caminada";"Capital Federal.";"Hydro-carborinite para servir de combustivel em substituição do carvão de pedra importado."
"3.363";"16";"Oliver T. Hungerford";"Estados Unidos da America do Norte.";"Aperfeiçoamento em isolamento electrico."
"3.364";"19";"Dr. Michele Lepangher e Vittorio Ugo Pontini.";"Australia.";"Processo para fabricação de um agente de lavagem desinfectante, denominado "" Desinfectante Albu- via""."
"3.365";"22";"João Christovão Gabrich";"Estado do Rio de Janeiro.";"Novo apparelho para gaz acetyleno."
"3.366";"";"Vicente Sarió e Ottoman Gochrke";"Idem";"Ferro para dar lustre á roupa engommada deno- minado ""Rapido""."
"3.367";"26";"Joseph Fuhrer.";"Austria";"Aperfeiçoamen to em explosivos."
"3.368";"27";"Eduardo Ribeiro da SIlva.";"Estado de S. Paulo";"Fogão electrico aperfeiçoado, denominado Fogão Economico""."
"3.369";"31";"Augusto Severo de Albuquerque Ma- ranhão.";"Estado do Rio Grande do Norte.";"Machina rotativa reversivel a vapor."
"3.370";"2 de agosto de 1901.";"Agenor Augusto da Silva Moreira.";"Capital Federal.";"Aerostato dirigivel "" Ornobis"""
"3.371";"3 """;"Maurice Brochet";"E. U. da America do Norte.";"Estrada aerea de trilhos articulados."
"3.372";"";"Vianna Fonseca & Comp";"Capital Federal.";"Gazogeneo aperfeiçoado para gaz acetyleno."
"3.373";"7";"Leon Mahy e Polydore Halley.";"Belgica";"Caldeira a vapor apefeiçoada denominada "" La Ra- tionnelle :"
"3.374";"7 %";"Hany Livesey";"Inglaterra.";"Aperfeiçoamento em estrados de carros de estradas de ferro."
"3.375";"7.";"Mathew Henry Bush.";"Estado de S. Paulo.";"Bocal de escapamento variavel, com ,lingua movel para locomotivas, etc., denominado Simples ""."
"3.376";"";"Emil Reach.";"E. U. da America do Norte.";"Aperfeiçoamentos em cartas-bilhetes."
"3.377";"";"Ignacio Aranha Meira de Vascon- cellos.";"Capital Federal.";"Carta manual para algibeira, contendo horario e tabellas"
"3.378";"19";"José Loreto.";"Estado de S. Paulo.";"Apparelho girador automatico de gaz acetyleno para ser empregado na illuminação publica e particular, denominado "" Girador Loreto ""."
"3.379";"19";"Oesteneichische Gosglühlicht & Ele- ctrizitatgesellschaft.";"Austria";"Aperfeiçoamentos em supporte para filamento de osmio."
"3.380";"19";"Percy Henry Stkinson";"E. U. da America do Norte.";"Aperfeiçoamentos em lampadas de véo incandes- cente para illuminação a petroleo."
"3.381";"19";"Sociedade Hoffmann's Stackefahiken Ahtiengesellschaft.";"Allemanha.";"Nova machina para engommar."
"3.382";"19";"Antonio Macchioni.";"Capital Federal.";"Apparelho aperfeiçoado para gaz acetyleno, deno- minado "" Gazometro Fluminense ""."
"3.383";"19";"Torquato Gonçalvés Lamarão.";"Capital Federal.";"Tricicle maritimo - Lamarão."
"3.384";"22";"João Auto de Magalhães Castro";"Idem.";"Balão dirigivel por forma e apparelhos differentes dos empregados."
"3.385";"23";"Dr. Carl Freihen Cher von Wels- bach.";"Austria.";"Aperfeiçoamentos em accumuladores electricos e pi- lhas primarias."
"2.386";"23";"Electric Lighting Bords Limited.";"Inglaterra.";"Aperfeiçoamentos em accessorios para estabelecerem o contacto, destinados a lampadas electricas incan- descentes."
"3.387";"23";"Auguste Lumière e Louis Lumière.";"França.";"Apparelho photographico panoramico reversivel."
