"N";"DATA DA EXPEDIÇÃO";"CONCES'STONARIOS";"RESIDENCIA";"OBJECTO"
"3.434";"9";"The Hall Signal Company.";"E. U. da America do Norte.";"Aperfeiçoamento em apparelhos de signaes fixos para estradas de ferro."
"3.435";"9";"James Trezervand Fuller";"Idsm";"Aperfeiçoamentos em prensas para enfardar."
"3.436";"9";"Dr. Adolf Waldlaur.";"Allemanha";"Processo e disposição para o aquecimento de li- quidos."
"3.437";"9";"Thomaz Henry Mc. Cauley";"Canadá";"Lubrificador aperfeiçoado para eixo de carro."
"3.438";"9";"Johannes Christiaan Wegerif.";"Inglaterra";"Aperfeiçoamentos em moinhos de cylindros."
"3.439";"9";"Eduard Schaner";"Allemanha";"Viga de carregação para carregar e descarregar vehiculos, embarcaçons e objectos semelhantes."
"3.440";"9";"Charles Grey Hill.";"Inglaterra";"Aperfeiçoamentos em teares circulares."
"3.441";"9";"William Lawrence Woelker";"Idem";"Processo aperfeiçoado para fabricação de filamentos para lampadas electricas incandescentes."
"3.442";"18";"Honorio Mariante.";"Estadodo Rio Grande do Sul.";"Caixa de rufo, destinada ao serviço militar."
"3.443";"18";"José Antonio Linhares";"Capital Federal.";"Processo de fabrico de sal extrahido da agua do mar, por meio da applicação da electricidade como força e calor, meios necessarios aos fins indus- triaes."
"3.414";"18";"Eduardo B. Kneese.";"Idem";"Aperfeiçoamentos em apparelhos destinados à appli- cação theraupetica da electricidade."
"3.445";"18 """;"John Charles William Stanley";"Inglaterra";"Aperfeiçoamentos no tratamento das caseas de ca- roços de algodão para obtenção de certos productos uteis."
"3.446";"25";"Dr. Thomaz Pereira.";"Montevidéo";"Correame inconsutil."
"3.447";"25";"Rodolpho Schomaker";"Capital Federal.";"Preparado para extincção de formigas, denomi- nado "" Schomaker ""."
"3.448";"26";"Juan M. Burgos";"Republica Argentina";"Novo systema de tracção electrica subterranea de corrente continua, denominada . Eureka: """
"3.449";"26";"Thomaz Clarkson e The Clarkson and Capel Steam bar Syndicate Limited";"Inglaterra";"Melhoramentos relativos ao queimamento de hydro- carbones liquidos, gaz e semelhantes, e geradores para producção de vapor de fumo e semelhantes, proprios para aquecimento por estes queimadores."
"3.450";"";"Thomaz Clarkson e The Clarkson and Capel Steam bar Syndicate Limited";"Idem";"Apparelhos e aperfeiçoamentos relativos à calefacção e refrigeração de fluidos."
"3.451";"";"Nassau Brown Eagen Gerge Taylor Denison Junior e Frank Andrew Fleming.";"Canadá";"Aperfeiçoamentos em meios de rolhar ou tapar gar- rafas."
"3.452";"28 (de novembro de 1901.";"Philippe Dick e coronel Luiz dos Santos.";"Capital Federal e Estado do do Rio de Janeiro";"Novo processo para obter da mandioca productos destinados a alimentação e a fins industriaes e apparelho para executar o mesmo processo."
"3.453";"28 """;"Manoel Gonçalves Arruda e Antonio Gomes Carneiro.";"Capital Federal.";"Oleo brilhante destinado a servir como verniz ou como componente de tintas."
"3.454";"2 dezembro";"The Cotton Seed Oil Syndicate, Limited";"Inglaterra";"Aperfeiçoamentos relativos ao beneficiamento do ca- roço de algodão."
"3.455";"2";"John Harvey Kellogg";"E. U. da America do Norte.";"Composição vegetal alimenticia."
"3.456";"2";"Cornelio Voet.";"Hollanda.";"Processo para soprar ar nas caldeiras a vapor com fornalha de insufflação de ar debaixo da grelha e dispositivo para esse fim."
"3.457";"7 """;"Anysio Abercio Fernandes.";"Capital Federal.";"Automatos reclames para o fim de annúnciar qual- quer genero commercial e industrial."
"3.458";"7";"Bemvindo Torres de Araujo Brandão.";"Idem";"Uma rêde metallica applicada a frascos, garrafas e outros vasilhames, como meio de protecção e em- bellezamento dos mesmos."
"3.459";"";"Martin Koeck";"E. U. da America do Norte.";"Tecidos ou productos obtidos de materias fibrosas."
"3.460";"""";"Michel Lion Lion e Thomaz Cowburn.";"Inglaterra";"Melhoramentos na manufactura de botas e sapatos, ataduras e apparelhos para os mesmos."
"3.461";"9";"The Cotton Seed Oil Syndicate, Li- mited.";"Idem";"Aperfeiçoamentos em apparelhos conductores sec- cadores."
"3.462";"9";"The Cotton Seed Oil Syndicate, Li- mited.";"Idem";"Aperfeiçoamento ao beneficiamento de oleos e gor- duras."
