"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"4.135";"";"Comp. Extractiva Mineral Bra- zileira.";"Capital Federal";"Novo formicida, denominado Formicida Ma- rahú."
"4.136";"";"Olympio de Assis.";"Idem";"Registro de penna de agua, denominado Sim- plex:"
"4.137";"";"Vicente da Cunha Guimarães";"Idem";"Aperfeiçoamento na fabricação de bandeiras nacionaes e extrangeiras."
"4.138";"";"Elias de Camargo Penteado";"Estado de S. Paulo.";"Descacador para arroz, café e trigo, denomi- nado Descascador Penteado."
"4.139";"";"Alexandre Schlemm.";"Estado de Santa Catharina";"Machinas para picar herva-matte."
"4.140";"13 set.";"João Rodrigues Nunes";"Capital Federal";"Nova machina de fazer café, denominada - Fiel."
"4.141";"14";"Carlos Erikson";"Idem";"Novo systema de fechar carteiras para cigarros ou charutos."
"4.142";"";"Planters Compress Company";"Estados Unidos da America";"Prensa para enfardar."
"4.143";"";"Amerigo Lei-Rigoti";"Italia";"Nova espingarda de repetição automatica."
"4.144";"";"James Nathaniel Alsop";"Estados Unidos da America";"Processo para produzir um meio gazoso tirado do ar."
"4.145";"14 de julho de 1904";"Daniel Weil";"França.";"Aperfeiçoamentos em machinas para fabricar cigarros."
"4.146";"";"Idem";"Idem.";"Dispositivo aperfeiçoado para enrolar a mor- talha.e formar sua rotura, em machina de fabricar cigarros."
"4.147";"";"Joseph Bernard Loisou";"Idem";"Classificador para materias seccas de diffe- rentes densidades."
"4.148";"";"Antoine Henri Imbert";"Idem";"Processos para extracções, de seus sulfuretos, especialmente de zinco e de chumbo e em geral de todos os metaes tendo para o en- xofre menos affinidade."
"4.149";"19";"";"Idem";"Preparado denominado Lithol para eleminar a poceira."
"4.150";"22";"José Lolen.";"Capital Federal";"Sanvicida Durand, destinada a distruição de formigas e machina combinada para a sua applicação."
"4.151";"29";"Arthur Durand Nogueira Barboza.";"Estado de S. Paulo";"Novo processo para a extincção de bicho (dito do fumo) em fumo e seus preparados. "
"4.152";"";"Gustavo Pook. José del Cioppe";"Estado do Rio Grande do Sul Estado de S. Paulo.";"Machina aperfeiçoada de beneficiar arroz."
"4.153";"";"José Leite de Cunha Bastos.";"Idem";"Applicação das fibras das hastes do Hibiscus es- culentos (vulgarmente conhecido pelo nome de Quingombô) e da semente do mesmo a fins iudustriaes."
"4.154";""" """;"Carlos Andrade Gama";"Estado de Minas Geraes";"Colorante para manteiga, denominado Colo- rante Muiceio."
"4.155";"3 de out.";"João Simões de Oliveira";"Estado de S. Paulo.";"Siphão Paulista, destinado a occlusão hydrau- lica dos apparelhos sanitarios em domicilio."
"4.156";"5 A """;"Dr. José Caetano de Almeida Gomes";"Capital Federal";"Utilisação da especie botanica Funifera-Utilis vulgarmente imbira branca para o fabrico do papel de qualquer qualidade."
"4.157";""" """;"Idem";"Idem";"Papel de paina de qualquer qualidade."
"4.158";"n";"Idem";"Idem";"Papel de fibras de cascas e outros orgãos de especies vegetaes indigenas ou acclimados no Brazil."
"4.159";"10 """;"Ramon Blarcon";"Idem";"Acondicionamento para o café moido ou tor- rado."
"4.160";"13";"Dustsche Daunerbeet-Gesellschaft";"Allemanha";"Processo para fabricação do pão fresco para provisão."
"4.161";"";"George Washington Kretzinger";"Estados Uunidos da Ame- rica";"Apparelho repetidor telephonico."
"4.162";"";"Dr. Luiz Rivinius";"Estado de S. Paulo.";"Nova machina de beneficar café, denominada Machina Vencedora, de seus assentamentos e seus detalhes."
"4.163";"";"Luiz Francisco de Oliveira Gago.";"Capital Federal";"Aperfeiçoamento em espanádores."
"4.164";"";"Charles Whiting Baker";"Estados Unidos da America";"Novo systema de transporte particularmente adaptado para linhas de trafego moderado, em regiões montanhosas com declive; muito fortes, comprehendendo um novo typo de linha e de vehiculo para a mesma."
"4.174";"";"Societá in Accommandita per l'Utilizzazione della Invenzioni. Ing. Beer per evitare i disastri ferro-viari e per l'allaceiamento automatico dei vagoni.";"Italia";"Dispositivos automaticos para evitar collisões de trens."
"4.175";"";"Dr. Felix Hecht";"Allemanha";"Meio aperfeiçoado para aquecer latas de con- servas."
"4.176";"";"Electric Boat Company.";"Estados Uuidos da Americe.";"Aperfeiçoamentos nos apparelhos que regulam a fluctuabilidade nos submergiveis."
"4.177";"";"Charles Henri Claudel";"França.";"Gazeificador para combustiveis liquidos."
"4.178";"";"Charles James Busber e George William Baudinet.";"Colonia do Cabo de Boa Esperança.";"Explosivos novos ou aperfeiçoados."
"4.179";"";"John B. Orr";"Capital Federal";"Aperfeiçoamentos em calçamento para climas quentes."
"4.180";"";"William James Davy";"Inglaterra";"Aperfeiçoamento em lampadas electricas de arco."
"4.181";"";"Percy Henry Atkinson";"Capital Federal";"Vitrina aperfeiçoada denominada Vitrina Uni- versal."
"4.182";"12 """;"Herman Charles Wolterech";"Inglaterra";"Processo para produeção de Ammonio - Com- mercial."
"4.183";"";"Ruas & Brandão";"Estado do Rio de Janeiro";"Novo processo de rotular frascos e vasilhames."
"4.184";"17 """;"Gertt & Carvalho.";"Capital Federal.";"Novo vehiculo de remessas e distribuição de bilhetes ou cartões posties para propaganda industrial."
"4.185";"18";"Sebastião Ziani de Fenonti.";"Inglaterra";"Aperfeiçoamento em machinas para fiar, torcer e retorcer."
"4.197";"x";"Idem";"Idem .";"Idem idem denominado Areio-Velo."
"4.198";"x";"Carlos Massena";"Estado de Minas Geraes";"Processo e tratamento de milho e arroz para obtenção de productos destinados a fins in- dustriaes, alimenticios e therapeuticos."
"4.199";"9";"Juan Craveri";"Republica Argentina";"Processo aperfeiçoado para conservar carne."
"4.200";"";"Aubin Ollier";"França.";"Processo para conversão total, em assucar em grãos, de uma massa cosida em grãos de engenho ou refinaria."
"4.201";"15";"Companhia Edificadora.";"Capital Federal";"Pronsa pneumatica para fazer ladrilhos."
"4.202";"20";"Ernesto Pires da Silva";"Estado do Rio de Janeiro";"Apparelho electrocalorimetro Silva, destinado a avisar o principio de incendio no interior dos predios."
"4.263";"27";"George Archibald Lovry.";"Estados Unidos da America";"Aperfeiçoamentos em machinas de colher al- godão."
"4.200";"";"Jolin Burgune.";"Capital Federal";"Apparelho sanitario para desinfectar latrinas, esgottos. etc., denominado o Sanitario J. Burgune."
"4.205";"";"Ewald Goltstein";"Allemanha.";"A pparelho para tapar garrafas por meio de capsulas metallicas."
"4.206";"28";"Alberto Schuslz";"Estado des. Paulo.";"Fórma para a fabricação de bolas de sabão."
"6.207";"31";"Brens & Irmão";"Capital Federal";"Apparelhos de lavar fumaça e extinguir fais- cas, produzidas pela combustão de quaes- quer corpos em fornalha de caldeiras desti- nadas a gerar vapor, produzir ar quente, ou cozinhar, denominado- Extinctor auto- matico de faiscas."
"4.055";"28 de março de 1904";"Galante Gabriele e Campi Fran- cesco.";"Estado de Minas Geraes";"Novo tacheometro, denominado - C omo do- metrico-Distanziale."
"4.056";">>";"Fernando Ferreira de Lemos";"Capital Federal";"Invenção denominada - Balança-Equitos."
"4.057";"5 de abril";"Euzebio Maximiano Pires Ferreira e Augusto Horacio Waldington.";"Idem";"Apparelho destinado a vasilhames, moringues, etc., denominado - Porta-Moringue-Co- lombo."
"4.058";"";"Theodore Rugles Timby.";"Estados Unidos da America";"Machinas e processo para o preparo ou trata- mento do café."
"4.059";"9";"Franz Hummer e Herman Voss";"Capital Federal";"Novo systema do arrolhamento para garrafa."
"4.060";"11";"João José Grimaldi";"Idem";"Novo systema de carteira para cigarros com fecho triangular do lado de baixo."
"4.061";"12";"Maráu, Ferreira & Comp. (Tran- sferida á L. B. de Almeida & Comp.)";"Idem";"Aperfeiçoamento em ferro de engommar."
"4.062";">> > >>";"Idem (Transferida á L. B. de AI- meida & Comp.)";"Idem";"Aperfeiçoamento em fogões de cosinha."
"4.063";">> """;"Luiz Teixeira de Almeida Barros";"Estado de S. Paulo";"Ventilador-separador de pedras, torrões, ter- ras e outras impurezas que contém o café em côco, denominado - Separador Luiz Tei- xeira."
"4.064";"13";"Paulo Benedetti";"Capital Federal";"Combustor especial de gaz acetyleno, denomi- nado - Combustor Benedetti."
"4.076";"28 de abril de 1904.";"Affonso Sergio de Moura Mattos Pedro José de Araujo.";"Capital Federal.";"Processo para esterilisar e solidificar sangue mineral para animal para empregos na Agricultura e Industria."
"4.077";"29 >";"Francisco Martins de Siqueira Genro.";"Estado de S. Paulo.";"Separador para café, denominado Separador Victoria."
"4.078";"14 . maio";"Guilherme Guimarães Junior";"Capital";"Applicação a das cartas de jogar para annuncios que denominou Reclame-Carta."
"4.079";"16";"Victorio Antonio de Perini (Dr.).";"Federal, Idem";"Applicação da fibra de uma planta de sua siliensis Perini, na industria textil e de descoberta, a que denominou Canhamo Bra- uma madeira na industria de papel."
"4.080";"17";"Tiburcio Vaz Pecheco Filho,";"Estado de S.";"Apparelho destinado a tirar a pellicula do café, denominado Despelliculador Brazileiro"
"4.081";"18";"Manoel Marques Pinheiro.";"Paulo. Capital Federal.";"Novo systema de acondicionar fumo em paco-tinhos-carteiras."
"4.082";"";"Jonathas David Price";"Estados Unidos da America";"Block-Systema de Signaos."
"4.083";"";"Window Glass Machine Company.";"Idem";"Aperfeiçosmentos em processo para esticar vidro e apparelho para esse fim."
"4.084";"";"Frank Ambrose Moss e William Bactoce.";"Australia.";"Compostos para destruir os vapores produzidos por explosivos em minas, especialmente minas de grande profundidade."
"4.085";"21";"DuarteL uiz da Fraga";"Estado do Rio de Janeiro.";"Novo processo de extincção de formigas e mais insectos damniculos, depominado-Insecti. cida-Destruidor-Fraga."
"4.165";"13 de out. de 1904.";"Wilhelm Beetz";"Austria";"Systema de fechamento inodoro para mictorios e similares."
"4.166";"";"Francisco José da Fonseca Braga.";"Capital Federal.";"Invenção denominada - Registro - regulador de pennas d'agua inviolavel."
"4.167";"29";"Frederich James Caassuiu";"Inglaterra";"Aperfeiçoamentos em processos e apparelhos para tratamento de aguas de esgoto e outros liquidos."
"4.168";"";"José Lohu";"Capital Federal";"Novo typo de conductor de aguas pluviaes para calçada."
"4.169";"3 de nov.";"Rodolpho Theophilo.";"Estado do Ceará.";"Uma bebida espumosa, denominada Champagne de cajú."
"4.170";"";"Manoel Hilario Pires Ferrão";"Capital Federal";"Novo meio industrial de confeccionar coupons com annuncios impressos com tinta sympa- thica que revelam-se por agentos physicos e chimicos, denominado Coupons Brazil."
"4.171";"7 >";"Bacharel João Marcondes dos Santos.";"Estado do Rio de Janeiro.";"Apparelho mecanico Voador aéreo, deno- minado Helio-Velo."
"4.172";"";"Idem";"Idem";"Apparelho mecanico de navegação aérea, a que denominou - Radio-Velo."
"4.173";"";"Antonio José Pinto";"Capital Federal";"Novo fogareiro."
"4.186";".";"Carlos Gerin";"Estado de Minas Geraes";"Processo formicida aperfeiçoado, denominado Thermo-electrico."
"4.187";"";"Augusto François Reynaud.";"Capital Federal";"Aperfeiçoamentos na coloração e decoração de lithographias, gravuras, bilhetes postaes e ontros artigos semelhantes."
"4.188";"";"Dr. Guilherme Florence";"Estado de S. Paulo";"Novo ingrediente formicida, denominado Pe- jeites-Formicidas."
"4.189";"";"Finto, Lasção & Companhia.";"Capital Federal";"Purificador de sal moinho."
"4.190";"";"Charles C. Worthington";"Estados Unidos da America";"Aperfeiçoamentos em aros do rodas de ve- hiculos."
"4.191";"";"The Hall Signal Company";"Idem";"Aperfeiçoamentos em siguaes para estrada de ferro"
"4.192";"";"The General Cement Company Limited.";"Inglaterra.";"Novo cimento e processo para produzir o mesmo."
"4.193";"29";"Luiz Carlos Franco";"Capital Federal";"Carroça para conducção de lixo, denominada Sanitaria."
"4.194";"1 dezembro";"Willis Roducy Wbitusy.";"Estados Unidos da America ";"Filamentos e processo para fabrical-os. "
"4.195";"2";"Cabral & C.";"Capital Federal";"Estufade movimento para esquentar e seccar fo- lhasde Flandresoude outroqualquer material."
"4.196";"";"João Marcondes dos Santos.";"Estado do Rio de Janeiro";"Apparelho de navegação aerea, denominado Aero-Velo."
"4.208";"31 de dez. de 1904";"Dr. Joaquim Leocadio Freire";"Estado de S. Paulo.";"Caldeira de aspiração de ar para fabricação e refinação de assucar, isolada ou em bateria com transbordamentos automaticos dos liqui- dos em tratamento."
"4.209";"";"Virissimo Barbosa de Souza eLuiz José Monteiro.";"Capital Federal";"Aperfeiçoamentos em motores de gaz ou de ar sob pressão."
"4.210";"";"Pedro Wallig.";"Estado do Rio Grande do Sul";"Aperfeiçoamentos em camas de ferro."
"4.211";"";"Serafim Blasi";"Estado de S. Paulo.";"Descacador aperfeiçoado para café."
"4.212";"";"João Dall Armellina.";"Idem";"Machina de beneficiar arroz, denominada Dall- Armellina."
"4.213";"";"John Burgune.";"Capital Federal.";"Bomba centrifuga helicoidal, denominada Bur- gum's high lift helical pump "
"4.214";"";"Getulio Prado.";"Estado de S. Paulo";"Processo de aperfeiçoado de fabricar joias por meio de fio de metal flexivel. "
"4.215";"";"Jules Maggi";"França.";"Leite em pó e processo para fabricação do mesmo."
"4.216";"";"Dauvill William Starret";"Estados Unidos da America";"Bomba de ar comprimido para elevar a agua a grande altura."
"4.217";"";"Ethelbert Adolphens Stamley e ThomasFram e Thomas.";"Inglaterra.";"Aperfeiçoamentos em carros de ferro-carris e de estradas de ferro ligeiras."
"3.157 A";"20 de maio de 1904.";"João de Brito Chaves.";"Capital Federal";"Melhoramentos introduzidos na invenção do Apparelho de hygiene culinaria, já pri- vilegiada pela patente n. 3157."
"3.259 A";"10 de fevereiro de 1904.";"Com panhia Federal de Fundição.";"Idem";"Melhoramentos introduzidos na invenção de - Aperfeiçoamento na fabricação de pa- nellas de ferro fundido, já privilegiada pela patente n. 3259."
"3.656 A";"11 de fevereiro de 1904.";"Pedro Pellegrino.";"Idem";"Melhoramentos introduzidos na invenção de apparelho denominado Flexomoto "". des- tinado a attenuar o balanço dos vehiculos, quando em movimento, já privilegiada pela patente n. 3656."
"3.666 A";"3 de fevereiro de 1904.";"José Pinto Redrigues de Brito.";"Idem";"Melhoramentos introduzidos na invenção de - Nova peça dos chamados apparelhos sa- nitarios. das habitações, que denominou - "" Cuspideira de lavagem continua "", já pri- vilegiada pela patente n. 3666."
"3.825 A";"16 de setembro de 1904.";"Ricardo Fortine e Eduardo Semprun.";"Hespanha";"Melhoramentos introduzidos na invenção de < Processo industrial de soldadura de alu- minio e suas ligas "", já privilegiada pela patente n. 3825."
"3.876 A";"13 de outubro de 1904.";"Theodor Albrecht.";"Rio Grande do Sul";"Melhoramentos introduzidos na invenção de "" aperfeiçoamento: em latas para banha "", já privilegiada pela patente n. 3876."
