"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"4.013";"7 de janeiro de 1904";"Leonard Schade van Westrum";"Allemanha";"Apefeiçoamentos em processos para regar as estradas, minas ou outras superficies, de modo a impedir a disseminação de p.eira ou pó."
"4.014";"""";"Idem";"Idem";"Processo aperfeiçoado para construcção de es- tradas de rodagens e outras."
"4.015";"8 >> """;"Juan Salabert Santaló";"Capital Federal.";"Apparelho para regular o escoamento das aguas, a qual denominou - Regulador-Na- cional."
"4.016";"14:";"Francisco de Sampaio Barros (Dr.)";"Estado de S. Paulo.";"Processo de dar corconveniente ao café em"
"4.017";"15";"Antonio Ribeiro";"Estado do Rio de Janeiro.";"grão. Novo espanador de cabello."
"4.018";"";"Louis Lazare Auguste Segnier e Jules Francis Georges de Roussy Sales.";"França.";"Processo de fabricação industrial do cautchos."
"4.019";"";"Willard Jay Woodcock.";"Estados Unidosda America.";"Aporfeiçoamentos no fabrico do gelo."
"4.020";"";"Idem";"Idem.";"Aperfeiçoamentos relativos a remoção de gelo das placas congelantes e apparelho para esse fim."
"4.021";"26";"João Baptista Alves de Oliveira";"Capital Federal.";"Areias desinfectantes."
"4.022";"27 >> """;"Antonio Ferreira da Silva Porto.";"Capital Federal.";"Caixa para venda ambulante."
"4.023";">>";"Augusto Baguani.";"Estado de S. Paulo.";"Preparado chimico destinado a retirar tintas de superficies pintadas, denominada - Lim- polina."
"4.024";"4 de fevereiro >>";"Jacintho Thomé de Abrantes.";"Capital Federal.";"Dispositivo de communicação directa entre a fornalha e a chaminé em fogão de cozinha."
"4.025";"6"" >> >>";"David A. Pol e William H. Schart.";"Canadá";"Machina de fundir e compor typos em linha, destinados a impressão (Lino-type-Machine.)"
"4.026";"10 >> """;"Michel Darmancier Aimé Dalzou.";"França.";"Dispositivo de protecção contra a humidade das espoletas de tempo para projectis de todos os calibres."
"4.027";"";"Electric Boat Company.";"EstadosUnidos da America.";"Aperfeiçoamentos em navios submarinos submersiveis."
"4.028";"11 >>";"Robert Mc. Knight.";"Idem";"Apparelho de sucção e condensação para vapores."
"4.029";"12 >> """;"Antonio Francisco de Araujo.";"Capital Federal.";"Preparado chimico denominado Cupulina para extinguir cupins e outros insectos."
"4.030";"";"Charles E. Giddings e Gorge Maschke.";"Estados Unidosda America.";"Paulista café seccador."
"4.031";"";"Antonio Ennes de Souza (Dr).";"Capital Federal.";"Extracção do aluminio tendo como materia prima primordial as argilas diversas e demais silicatos aluminatos que contenham o aluminio, como mineraes isolados em rochas, simlpes e compostas e os productos dellas extrahidos como materia prima inter- mediaria ou immediata para a extracção do metal aluminio."
"4.032";"13";"José Macedo Portugal";"Capital Federal.";"Novo systema de acondicionamento de cigarros."
"4.033";"13 de fev. de 1904";"Manoel Antonio Dias da Cruz.";"Capital Federal";"Aperfeiçoamentos em lampadas para illumi- nação por incandescencia a petroleo."
"4.034";"3 março";"Christiano Baptista Franco.";"Idem";"Roda-tambor hydraulica de pás articulados."
"4.035";"5";"Arthur Metz";"França.";"Novo systema de calçamento."
"4.036";">> """;"Sindulpho Maximo Cancio Junior.";"Estado do Espirito Santo";"Novo apparelho formicida, denominado - Mata formigas."
"4.037";">>";"Palhares, Gruhu & Comp.";"Capital Federal";"Novo systema de cinta ou tira de garantia para garrafas, destinada a evitar falsi- ficações."
"4.038";">>";"Charles Boucher";"França.";"Nova machina para o fabrico mecanico de gar- rafas, botelhas, frascos e outros artigos similares."
"4.039";"";"Heinrich Spühl";"Suissa";"Motor a explosão."
"4.040";"";"Holz & Comp";"Capital Federal";"De uma invenção denominada Dupla- Veloci- dade."
"4.041";"11";"M. Baetz";"Allemanha";"Processo para fazer consistentes ou solidas as soluções saponiferas de Phenol ou Kresol, que são convulsivas ou dissoluveis em agua, para augmento dos seus effeitos."
"4.042";"17";"Carl Kellner";"Austria";"Processo para electrolyse dos chloruretos al- calinos e apparelho para esse fim."
"4.043";">> >> >>";"Manfredo . Meyer";"Estado de S. Paulo.";"Nova applicação de madeiras do Brazil para obtenção de pastas mechanicas ou cellulose, destinadas ao fabrico do papel."
"4.044";"19 >> """;"Lucien Liais";"França.";"Dispositivo de lampadas para illuminação de vagões ou carros, com bico de véo incandes- cente de chamma voltada para baixo."
"4.045";">>";"Idem.";"Idem";"Bico incandescente pelo gaz de hulha ou carvão de pedra e semelhante, alcool, petroleo e outros productos volateis, queimando com chamma invertida ou voltada para baixo."
"4.046";""" """;"João Ribeiro Junior";"Capital Federal";"Novo systema de Registro-regulador de pennas d'agua."
"4.047";"""";"Riedel & Pohlmann.";"Estado de S. Paulo.";"Caixinha feita de uma só peça de madeira."
"4.048";"""";"Maráu Ferreira & Comp.";"Capital Federal";"Supporte isolador de calor para cabo de ferro de engommar."
"4.049";"21";"Jules Paul Lajoie.";"França.";"Distribuidor aquecedor de gaz acido carbonico, applicavel aos motores alimentados por este gaz."
"4.050";"";"Frédéric de Coppet";"Suissa";"Carimbador-Articulado."
"4.051";"28";"Companhia Nova Mechanica";"Capital Federal";"Compressor de ar atmospherico ou misturado."
"4.052";"";"Idem.";"Idem";"Novo apparelho motor a ar atmospherico."
"4.053";"";"Ramiro de Araujo";"Estado de S. Paulo.";"Applicação das argilas diversas no fabrico de giz para escolas e para alfaiates."
"4.054";""" """;"Jonas Ortiz";"Idem";"perfeiçoamentos em descascadores de café do systema dito de chapas e esteiras."
"4.065";""" > > """;"Antonio Julio da Silva Marques";"Idem";"Andaime denominado - Andaime José da Silva Marques."
"4.066";"";"Percy John Ogle";"Inglaterra.";"Aperfeiçoamentos em ou relativos á extracção de metaes de sous minereos."
"4.067";"""";"Harvey Ezra Brown (Transferida The Consolidated Engéneering Company, Limited.)";"Idem";"Aperfeiçoamentos em cylindros de freios de navios ou a elles relativos."
"4.068";"18 A """;"Quintino José de Medeiros e Carlos Gusmão.";"o primeiro residente no Estado do Rio e o segun- do nesta Capital.";"Dispositivo aperfeiçoado para transporte de leite."
"4.069";"19 >";"Charles Simmons.";"Inglaterra.";"Aperfeiçoamento em apparelhos para erguer e revolver brocas destinatas a furar rochas."
"4.070";"";"Silvio Teodoro Tatti (Dr.)";"Republica Argentina";"Suadores para suvacos e solas falsas servindo para absorver, neutralizar e tomar inodoro o suor."
"4.071";"";"Wilson Sons & C.° Limited.";"Inglaterra.";"Boccal aperfeiçoado de escapamento de vapor."
"4.072";"";"Oswaldo de Faria.";"França.";"Transformador de correntes alternadas em corrente continua."
"4.073";"25 """;"Georg Kirkegaad e Fridtj of Jebsen.";"Estados Unidos da America";"Aperfeiçoamentos em rolhas para garrafas, vasos e semelhantes."
"4.074";"27 """;"Georg Maschke e Germano Thieme";"Capital Federal";"Novo systema de baixar a temperatura da agua por meio de evaporação mechanica e evaporar grondes quantidades de agua me- chanicamente e com pequeno dispendio, denominado - Refrigerador Universal."
"4.075";"28";"Joseph Ritscher";"Australia.";"Manivella de articulação para regular impulso para cyclos e outras machinas."
"4.086";"24 "" "" """;"Jeronymo Baptista de de Macedo.";"Idem";"Machina de cortar palitos para phosphoros, denominada Maria Brazil."
"4.087";"";"William Reid.";"Inglaterra";"Aporfeiçoamentos em processos para tratar fibras em fios com liquidos pera tingir, branquear, etc. e apparelho para esse fim."
"4.088";"";"Chaimsonovitz Prosper Elieson.";"França.";"Placasaperfeiçoadasdeaccumuladoreselectricos"
"4.089";"";"Oswald Loffler e o Dr. Wilhelm Weidie.";"Austria";"filtro aspirante."
"4.090";"26";"Carlos Napoleão Posta";"Capital Federal";"Uma peça para registro de penna dagua, desti- nada a regular a quantidade dagua forne- cida, obstando ao mesmo tempo qualquer fraude por parte do consumidor."
"4.091";"";"Henri Bernard";"Estado de Minas Geraes";"Apparelho denominado Carro-Modelo. appli- cado ao transporte, com a devida hvhiene, e em camaras frigorificas da carne verde destinado ao consumo das grandes cidades."
"4.092";"";"Idem";"Idem";"Apparelho denominado Varredor Irrigador, applicado a vassourar e irrigar simulta- neamente as ruas das grandes cidades."
"4.093";"";"Hilary Guortier";"Nova Zelandia";"Machina para excavar. elevar, peneirar e de- positar lastro de cascalho e semelhantes."
"4.094";"";"William Henry Sarwage";"Estados Unidos da America";"Systema de freios accionados por meio de ar cemprimido, para estradas de ferro e seme- lhantes."
"4.095";"I de junho";"Aristides Lustosa de Carvalho.";"Capital Federal.";"N DVO systema de parallelepipedos intitulado - Parallelepipedo-Paranaense."
"4.096";"7";"J. Nicolas & Irmãos.";"Estado de S. Paulo.";"Catador para café denominado Catador-com- pensador"
"4.097";"7 de Junho de 1904.";"David Thomson";"Escossia";"Machinas para dividir substancias liquidas, granulozas ou plasticas."
"4.098";"";"New Century Engine ( Foreigine Patents ) Company Limited.";"Inglaterra";"Aperfeiçoamentos em locomotivas."
"4.099";"23 >";"Charles Waldren Stanton.";"Estados Unidos da America";"Aperfeiçoamentos em apparelhos resfriadores ou purificadores para minerios, metaes, etc."
"4.100";"";"Emilio Richter e Paulo Wolff ";"Capital Federal.";"Novo processo no fabrico de charutos e cigar- rilhos, Boccal-Universal."
"4.101";"27 """;"Affonso Dalle.";" Estado de Minas Geraes";"Aperfeiçoamento na arte de tingir algodão, lã, seda e linho, por meio de uma massa denominada Saponina-Brazileira."
"4.102";">>";"M. L. Bulmaeds & Comp ";"Estado de S. Paulo.";"Systema de pautição para o ensino e a pra- tica de calligraphia, denominado Bulmaeds. "
"4.103";">> >";"Marcos Ayrosa (Dr.)";"Idem";"Methodo de separação das graxas."
"4.104";">> >";"Carlo Durchi e Edmond Berne.";"Italia";"Dispositivo permittindo telephonia e telegra- phia simultaneas pelo mesmo fio. "
"4.105";"";"Socièté Anonyme Westinghouse. Maurice Leblanc";"França";"Nova machina refrigerante."
"4.106";"";"Samuel Neul Mc. Clean. ";"Estados Unidos da America";"Aperfeiçoamentos em meios para contrariar o recúo nas armas de fogo."
"4.107";"4 de julho";"Reginald A. Tessenden.";"Idem";"Aperfeiçoamentos em receptores para ondas electro-magneticas."
"4.108";"";"George Hutchinson";"Nova Zelandia";"Machina aperfeiçoada para ordenhar."
"4.109";"";"Albert. Carter";"Estados Unidos da America";"Fornalha solar."
"4.110";"";"Antonio de Castro Brower e Luiz Felippe Freire de Aguiar.";"Capital Federal.";"Rolha para esterilisação de qualquer liquido ou substancia ou de facil deterioração, deno- minada - Rolha-Systema Brower."
"4.111";"5";"Coronel Ernesto Senna e João Baptista Ballaring.";"Idem";"Applicação de um apparelho destinado a de- terminar o preço e percursp das corridas dos carros de transporte de passageiros."
"4.112";"";"Joaquim Nunes";"Idem";"Aperfeiçoamento que introduziu na confecção de latas metallicas de crivo tubulares ou de outros quaesquer feitios e dimensões quaesquer."
"4.113";"12";"Henrique Sauer";"Inglaterra";"Aperfeiçoamentos na fabricação de tijolos, telhas e pedras artificiaes para edificações e outras applicações apropriadas."
"4.114";"";"J. B. Orr.";"Capital Fedcral.";"Pavimento aperfeiçoado ( systema n. 1 )."
"4.115";"";"Idem";"Idem";"Pavimento aperfeiçoada (systema n. 2)"
"4.116";"";"Idem";"Idem";"Pavimento aperfeiçoado (systema n. 3 )."
"4.117";"";"Harvy C. Koyes.";"Idem";"Systema aperfeiçoado de calçamento."
"4.118";"";"João Baptista de Barros";"Estado de S. Paulo.";"Novo torrador para café, denominado - -Torra- dor-Barros."
"4.119";"19";"Società Italiana di Forni";"Italia";"Novo forno para cosimento continuo."
"4.120";"";"Idem";"Idem.";"Aperfeiçoamentos em ou referentes a fornos de cozer pão ou outras substancias."
"4.121";"1 de agosto";"Fernando Hurleman.";"Estado do Paraná";"Palito a empregar na fabricação de phosphoros."
"4.122";"3 de agosto de 1904";"Francisco Vadolin";"Estado do Paraná";"Systema de apparelhos para malhar centeio e herva-matte."
"4.123";"11";"José de Araujo dos Santos";"Estado de S. Paulo";"Novo processo mecanico, denominado Auxiliar Pneumatico do Vapor."
"4.124";"";"Julio Runjanck";"Capital Federal";"Novo systema de rolha denominado Rolha- parafuso."
"4.125";"";"Jose Guasch";"Chile";"Rolha aperfeiçoada, denominada Ideal."
"4.126";"";"João Baptista Salvador";"Estado de S. Paulo";"Novo catador de café, pedras e corpos estra- nhos, denominado - Salvador."
"4.127";"23";"João Guimarães";"Estado do Rio de Janeiro ";"Systema denominado Hygienico, destinado a esterilisação e conservação das substancias mente das aves, peixes, carnes, gordu- alimentares em estado natural, especial- ras, etc."
"4.128";"25";"Capitão João José de Moraes";"Estado de Matto Grosso";"Systema de arreios ou sellins, denominado Arreios solidos."
"4.129";"";"Juan Charlono e Ignacio Errea.";" Republica Oriental do Uruguay.";"Systema de marcas ou sinetes de bronze fundido para marcar ou assignalar gado, deno- minado Systema Souza."
"4.130";"";"Gustav Adolph Wedekind";"Allemanha";"Processo de tratamento de oxydos e pós metal- licos para poderem ser empregados para não dissolvam em soluções fabrico de electrodios porosos e duros que se o"
"4.131";"27 A A "" """;"Luiz Cuneo";"Capital Federal";"Kerozene inexplosivo."
"4.132";"31";"João Tiburcio Fiuza Lima";"Idem";"Novo systema de metralhadora, denominado- Artilharia Instantanea."
"4.133";"";"Idem.";"Idem";"Motor electrico-circular."
"4.134";"""";"Dr. Cesar Aureliano Caversazzi";"Estado de S. Paulo.";"Applicação do Mispichel como formicida, deno- minada Mineral-Formicida."
